School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,School Percentile (1-99)
Millis: Millis Middle,01870020,Public School,Millis,MA,02054,"06,07,08",Millis,01870000,Public School District,       0,       0,       0,       0,       0,       0,     105,     107,     105,     112,       0,       0,       0,       0,       0,     429,       6,1.4,       2,0.5,      57,13.3, , ,     100,23.3,      52,12.1,1.9,3.3,6.5,85.1,0.0,0.2,3.0,57.1,42.9,     242,18.8,        442,31.1,95.8,     158,94.3,13.8,"      $7,594,589","  $80,451",     94.0,      43,      43, 100.0,  39.5,  60.5,   0.0,   0.0,"          $18,581,069.00","           1,318.2","              $14,095.79","          $20,299,335.00","           1,376.9","              $14,742.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         204,48.0,          14,3.0,         190,45.0,         193,46.0,          25,6.0,         422,499.3,47.0,         407,48.0,         234,55.0,          41,10.0,         193,46.0,         170,40.0,          20,5.0,         424,503.9,58.0,         412,69.0,
Millis: TIES,01870515,Public School,Millis,MA,02054,,Millis,01870000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $7,594,589","  $80,451",     94.0,,,,,,,,"          $18,581,069.00","           1,318.2","              $14,095.79","          $20,299,335.00","           1,376.9","              $14,742.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton: Charles S Pierce Middle,01890410,Public School,Milton,MA,02186,"06,07,08",Milton,01890000,Public School District,       0,       0,       0,       0,       0,       0,       0,     327,     289,     299,       0,       0,       0,       0,       0,     915,      51,5.6,       6,0.7,     146,16.0, , ,     208,22.7,      78,8.5,16.0,4.8,4.7,70.7,0.3,0.3,3.2,50.5,49.5,     523,18.6,        941,68.1,100.0,     364,100.0,13.4,"     $24,583,214","  $83,287",    295.0,      89,      88,  98.9,  18.2,  79.5,   2.3,   0.0,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         554,61.0,          68,7.0,         486,54.0,         304,34.0,          49,5.0,         907,504.7,47.0,         877,71.0,         609,67.0,         111,12.0,         498,55.0,         256,28.0,          40,4.0,         905,507.9,58.5,         876,83.0,
Milton: Collicot,01890005,Public School,Milton,MA,02186,"K,01,02,03,04,05",Milton,01890000,Public School District,      83,     118,      99,     120,      99,      94,      92,       0,       0,       0,       0,       0,       0,       0,       0,     705,      51,7.2,      15,2.1,     121,17.2, , ,     162,23.0,      37,5.2,3.3,7.4,3.0,83.3,0.0,0.1,3.0,54.3,45.7,     106,21.9,        715,39.1,100.0,     208,100.0,18.1,"     $24,583,214","  $83,287",    295.0,      55,      52,  94.5,   9.6,  88.5,   1.9,   0.0,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         192,68.0,          36,13.0,         156,55.0,          81,29.0,          10,4.0,         283,508.4,66.0,         181,85.0,         201,71.0,          36,13.0,         165,58.0,          70,25.0,          12,4.0,         283,510.3,66.0,         181,88.0,
Milton: Cunningham School,01890007,Public School,Milton,MA,02186,"PK,K,01,02,03,04,05",Milton,01890000,Public School District,       0,      91,      77,      88,      75,     100,      74,       0,       0,       0,       0,       0,       0,       0,       0,     505,      41,8.1,      19,3.8,      78,15.4, , ,     120,23.8,      36,7.1,7.9,8.3,3.8,75.8,0.2,0.0,4.0,52.1,47.9,      81,21.6,        508,21.6,100.0,     151,100.0,23.4,"     $24,583,214","  $83,287",    295.0,      45,      44,  97.8,   9.1,  90.9,   0.0,   0.0,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         166,68.0,          21,9.0,         145,60.0,          70,29.0,           7,3.0,         243,508.3,69.0,         159,84.0,         163,67.0,          27,11.0,         136,56.0,          70,29.0,          10,4.0,         243,507.8,63.0,         159,83.0,
Milton: Glover,01890010,Public School,Milton,MA,02186,"K,01,02,03,04,05",Milton,01890000,Public School District,       0,      87,      95,      93,     114,      94,     106,       0,       0,       0,       0,       0,       0,       0,       0,     589,      29,4.9,       5,0.8,      86,14.6, , ,     105,17.8,      23,3.9,8.0,4.4,3.7,79.3,0.0,0.0,4.6,52.3,47.7,     119,21.3,        589,26.1,100.0,     183,97.3,22.6,"     $24,583,214","  $83,287",    295.0,      49,      48,  98.0,  18.8,  79.2,   0.0,   2.1,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         228,74.0,          28,9.0,         200,65.0,          76,25.0,           6,2.0,         310,508.5,51.0,         193,85.0,         230,74.0,          49,16.0,         181,59.0,          72,23.0,           7,2.0,         309,512.2,57.0,         193,93.0,
Milton: Milton High,01890505,Public School,Milton,MA,02186,"09,10,11,12",Milton,01890000,Public School District,      12,       0,       0,       0,       0,       0,       0,       0,       0,       0,     240,     242,     262,     244,       1,"   1,001",      83,8.3,      15,1.5,     119,11.9, , ,     215,21.5,     112,11.2,21.1,7.1,5.1,62.1,0.0,0.4,4.2,49.1,50.9,     509,16.7,"      1,015",66.9,100.0,     372,100.0,15.0,"     $24,583,214","  $83,287",    295.0,      97,      96,  99.0,  10.4,  85.4,   3.1,   1.0,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",       245,96.7,1.6,0.0,0.4,1.2,0.0,     988,7.0,0.7,238.0,211.0,88.7,0.0,42.9,5.9,39.9,5.5,6.7,18.1,82.8,238.0,238.0,100.0,     290,     640,93.0,92.0,66.0,31.0,8.0,17.0,79.0,193.0,207.0,144.0,15.0,85.0,359.0,575.0,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
Milton: Tucker,01890020,Public School,Milton,MA,02186,"PK,K,01,02,03,04,05",Milton,01890000,Public School District,      40,      69,      66,      68,      63,      65,      64,       0,       0,       0,       0,       0,       0,       0,       0,     435,      51,11.7,      23,5.3,      39,9.0, , ,     134,30.8,      94,21.6,40.7,6.0,7.6,38.2,0.0,0.0,7.6,49.4,50.6,      90,19.8,        424,25.4,100.0,     137,96.4,17.1,"     $24,583,214","  $83,287",    295.0,      43,      43, 100.0,   9.3,  88.4,   2.3,   0.0,"          $56,981,635.00","           4,128.4","              $13,802.35","          $62,501,375.00","           4,207.5","              $14,854.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112,62.0,          18,10.0,          94,52.0,          64,35.0,           5,3.0,         181,504.9,65.5,         114,72.0,         125,69.0,          19,10.0,         106,59.0,          49,27.0,           7,4.0,         181,507.3,60.5,         114,81.0,
Minuteman Regional Vocational Technical: Minuteman Regional High,08300605,Public School,Lexington,MA,02421,"09,10,11,12",Minuteman Regional Vocational Technical,08300000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     129,     136,     143,     174,       0,     582,      29,5.0,       5,0.9,     281,48.3, , ,     363,62.4,     152,26.1,6.2,3.3,10.1,76.8,0.3,0.0,3.3,66.5,33.3,     425,11.8,        570,72.5,98.6,     231,99.1,8.0,"      $7,453,098"," $100,042",     75.0,      95,      94,  98.9,  16.0,  84.0,   0.0,   0.0,"          $21,295,271.00",             593.0,"              $35,911.08","          $21,329,838.00",             599.0,"              $35,609.08",       167,92.2,3.0,0.6,0.0,4.2,0.0,     582,12.0,2.1,166.0,93.0,56.0,0.0,20.5,18.1,17.5,16.3,5.4,7.2,38.0,166.0,166.0,100.0,      16,      21,11.0,5.0,0.0,0.0,0.0,3.0,4.0,4.0,6.0,4.0,33.3,66.7,97.0,533.0,511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
Mohawk Trail: Buckland-Shelburne Regional,07170005,Public School,Shelburne Falls,MA,01370,"PK,K,01,02,03,04,05,06",Mohawk Trail,07170000,Public School District,      45,      37,      32,      38,      33,      30,      19,      25,       0,       0,       0,       0,       0,       0,       0,     259,       0,0.0,       0,0.0,      52,20.1, , ,     120,46.3,      91,35.1,0.4,0.0,4.6,90.7,0.8,0.0,3.5,49.8,50.2,      38,24.6,        253,16.4,99.4,      87,94.3,15.8,"      $5,007,829","  $69,844",     72.0,      20,      19,  95.0,  26.3,  73.7,   0.0,   0.0,"          $16,408,788.00",             961.4,"              $17,067.60","          $18,772,595.00","           1,126.2","              $16,668.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          46,47.0,           0,0.0,          46,47.0,          44,45.0,           7,7.0,          97,498.2,42.0,          63,42.0,          43,44.0,           2,2.0,          41,42.0,          47,48.0,           7,7.0,          97,497.3,61.5,          62,41.0,
Mohawk Trail: Colrain Central,07170010,Public School,Colrain,MA,01340,"PK,K,01,02,03,04,05,06",Mohawk Trail,07170000,Public School District,      12,      13,      19,      19,       9,      13,      17,      10,       0,       0,       0,       0,       0,       0,       0,     112,       0,0.0,       0,0.0,      18,16.1, , ,      47,42.0,      37,33.0,1.8,0.0,2.7,94.6,0.0,0.0,0.9,42.0,58.0,      36,12.9,        107,11.1,100.0,      53,100.0,10.1,"      $5,007,829","  $69,844",     72.0,      18,      16,  88.9,  25.0,  50.0,  25.0,   0.0,"          $16,408,788.00",             961.4,"              $17,067.60","          $18,772,595.00","           1,126.2","              $16,668.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          21,45.0,           2,4.0,          19,40.0,          24,51.0,           2,4.0,          47,498.3,40.0,          36,43.0,          18,38.0,           2,4.0,          16,34.0,          25,53.0,           4,9.0,          47,495.6,52.0,          36,35.0,
Mohawk Trail: Mohawk Trail Regional School,07170505,Public School,Shelburne Falls,MA,01370,"07,08,09,10,11,12",Mohawk Trail,07170000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      76,      92,      58,      67,      67,      58,       4,     422,       1,0.2,       1,0.2,      92,21.8, , ,     197,46.7,     146,34.6,0.5,1.2,2.8,91.5,0.2,0.0,3.8,49.8,50.2,     338,11.5,        434,28.4,85.9,     274,90.1,14.9,"      $5,007,829","  $69,844",     72.0,      48,      46,  95.8,   4.3,  84.8,  10.9,   0.0,"          $16,408,788.00",             961.4,"              $17,067.60","          $18,772,595.00","           1,126.2","              $16,668.97",        58,81.0,10.3,0.0,3.4,5.2,0.0,     250,4.0,1.6,50.0,35.0,70.0,0.0,28.0,20.0,22.0,20.0,4.0,12.0,50.0,50.0,50.0,100.0,      70,     107,40.0,24.0,5.0,1.0,0.0,4.0,31.0,34.0,20.0,18.0,32.7,67.3,45.0,597.0,571.0,          74,46.0,          13,8.0,          61,38.0,          77,48.0,          10,6.0,         161,497.6,42.0,         157,41.0,          79,49.0,          13,8.0,          66,41.0,          70,44.0,          11,7.0,         160,499.5,50.5,         156,50.0,
Mohawk Trail: Sanderson Academy,07170020,Public School,Ashfield,MA,01330,"PK,K,01,02,03,04,05,06",Mohawk Trail,07170000,Public School District,      41,      19,      12,      18,      14,      17,      11,      11,       0,       0,       0,       0,       0,       0,       0,     143,       0,0.0,       0,0.0,      20,14.0, , ,      49,34.3,      36,25.2,0.0,0.7,2.8,93.0,0.7,0.7,2.1,56.6,43.4,      37,14.7,        149,9.4,100.0,      46,100.0,15.3,"      $5,007,829","  $69,844",     72.0,      19,      17,  89.5,-,-,-,-,"          $16,408,788.00",             961.4,"              $17,067.60","          $18,772,595.00","           1,126.2","              $16,668.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          28,55.0,           1,2.0,          27,53.0,          23,45.0,           0,0.0,          51,499.8,29.5,          36,51.0,          29,57.0,           1,2.0,          28,55.0,          20,39.0,           2,4.0,          51,497.8,17.0,          37,43.0,
Monomoy Regional School District: Chatham Elementary School,07120001,Public School,Chatham,MA,02633,"PK,K,01,02,03,04",Monomoy Regional School District,07120000,Public School District,      20,      44,      42,      57,      48,      62,       0,       0,       0,       0,       0,       0,       0,       0,       0,     273,      23,8.4,      13,4.8,      57,20.9, , ,     124,45.4,      94,34.4,5.1,0.4,6.2,83.9,0.0,0.7,3.7,48.0,52.0,     161,16.9,        279,22.7,96.3,     131,82.4,12.0,"     $12,783,409","  $74,626",    171.0,      32,      31,  96.9,  25.8,  74.2,   0.0,   0.0,"          $33,778,300.00","           1,865.2","              $18,109.75","          $37,203,950.00","           2,171.3","              $17,134.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          60,55.0,           8,7.0,          52,48.0,          39,36.0,          10,9.0,         109,502.1,54.5,          60,61.0,          48,44.0,           2,2.0,          46,42.0,          46,42.0,          15,14.0,         109,494.2,65.5,          60,30.0,
Monomoy Regional School District: Harwich Elementary School,07120002,Public School,Harwich,MA,02645,"PK,K,01,02,03,04",Monomoy Regional School District,07120000,Public School District,      48,      98,      95,     103,      97,     125,       0,       0,       0,       0,       0,       0,       0,       0,       0,     566,      44,7.8,      33,5.8,      74,13.1, , ,     216,38.2,     141,24.9,4.4,0.5,7.1,81.8,0.7,0.2,5.3,51.4,48.6,     296,18.8,        585,46.5,100.0,     244,100.0,12.2,"     $12,783,409","  $74,626",    171.0,      56,      56, 100.0,  21.4,  75.0,   1.8,   1.8,"          $33,778,300.00","           1,865.2","              $18,109.75","          $37,203,950.00","           2,171.3","              $17,134.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         101,47.0,          11,5.0,          90,42.0,         101,47.0,          12,6.0,         214,499.1,60.0,         117,47.0,         117,54.0,          11,5.0,         106,49.0,          89,41.0,          11,5.0,         217,500.3,66.5,         120,54.0,
Monomoy Regional School District: Monomoy Regional High School,07120515,Public School,Harwich,MA,02645,"08,09,10,11,12",Monomoy Regional School District,07120000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,     130,     119,     110,     111,     120,       9,     599,      42,7.0,      13,2.2,      89,14.9, , ,     185,30.9,     123,20.5,6.5,2.2,3.5,83.0,0.7,0.0,4.2,50.1,49.9,     448,12.1,        600,58.3,96.6,     283,97.5,10.3,"     $12,783,409","  $74,626",    171.0,      70,      69,  98.6,  26.1,  66.7,   4.3,   2.9,"          $33,778,300.00","           1,865.2","              $18,109.75","          $37,203,950.00","           2,171.3","              $17,134.41",       118,92.4,2.5,0.0,0.0,5.1,0.0,     460,9.0,2.0,115.0,81.0,70.4,0.0,26.1,19.1,25.2,18.3,9.6,6.1,51.3,115.0,100.0,87.0,      81,     155,35.0,27.0,13.0,3.0,3.0,18.0,45.0,46.0,35.0,11.0,40.6,59.4,123.0,549.0,538.0,          51,40.0,           5,4.0,          46,37.0,          62,49.0,          13,10.0,         126,494.6,53.0,         118,29.0,          50,40.0,           6,5.0,          44,35.0,          66,52.0,          10,8.0,         126,496.3,40.0,         118,37.0,
Monomoy Regional School District: Monomoy Regional Middle School,07120315,Public School,Chatham,MA,02633,"05,06,07",Monomoy Regional School District,07120000,Public School District,       0,       0,       0,       0,       0,       0,     149,     142,     135,       0,       0,       0,       0,       0,       0,     426,      38,8.9,      13,3.1,      83,19.5, , ,     179,42.0,     104,24.4,4.5,0.9,8.5,80.3,0.7,0.5,4.7,47.9,52.1,     315,16.0,        430,43.9,100.0,     215,100.0,9.7,"     $12,783,409","  $74,626",    171.0,      51,      51, 100.0,  17.6,  80.4,   2.0,   0.0,"          $33,778,300.00","           1,865.2","              $18,109.75","          $37,203,950.00","           2,171.3","              $17,134.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         214,52.0,          22,5.0,         192,47.0,         163,40.0,          34,8.0,         411,500.8,57.5,         390,56.0,         187,46.0,          12,3.0,         175,43.0,         186,45.0,          37,9.0,         410,498.3,54.0,         389,46.0,
Monson: Granite Valley School,01910030,Public School,Monson,MA,01057,"01,02,03,04,05,06",Monson,01910000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $5,101,090","  $59,315",     86.0,,,,,,,,"          $15,144,052.00",             969.8,"              $15,615.64","          $16,839,863.00","           1,032.0","              $16,317.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monson: Monson High School,01910505,Public School,Monson,MA,01057,"07,08,09,10,11,12",Monson,01910000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      63,      73,      68,      83,       0,     287,       4,1.4,       0,0.0,      25,8.7, , ,      65,22.6,      49,17.1,0.7,0.7,1.7,94.1,0.0,0.3,2.4,49.8,50.2,     158,14.3,        287,26.0,88.4,      98,83.7,11.0,"      $5,101,090","  $59,315",     86.0,      32,      27,  84.4,  22.2,  77.8,   0.0,   0.0,"          $15,144,052.00",             969.8,"              $15,615.64","          $16,839,863.00","           1,032.0","              $16,317.70",        86,93.0,0.0,1.2,1.2,4.7,0.0,     287,15.0,5.2,82.0,68.0,82.9,0.0,32.9,20.7,29.3,18.3,13.4,8.5,62.2,82.0,70.0,85.4,      63,      81,49.0,10.0,4.0,0.0,0.0,11.0,24.0,30.0,14.0,2.0,43.2,56.8,69.0,559.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Monson: Quarry Hill Community School,01910010,Public School,Monson,MA,01057,"PK,K",Monson,01910000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $5,101,090","  $59,315",     86.0,,,,,,,,"          $15,144,052.00",             969.8,"              $15,615.64","          $16,839,863.00","           1,032.0","              $16,317.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montachusett Regional Vocational Technical: Montachusett Regional Vocational Technical,08320605,Public School,Fitchburg,MA,01420,"09,10,11,12",Montachusett Regional Vocational Technical,08320000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     368,     357,     342,     362,       0,"   1,429",      55,3.8,       6,0.4,     209,14.6, , ,     492,34.4,     329,23.0,0.9,1.0,13.9,80.1,0.1,0.0,4.1,54.6,45.2,     788,18.4,"      1,410",112.0,100.0,     322,100.0,12.8,"      $9,005,904","  $78,312",    115.0,     131,     130,  99.2,   7.7,  92.3,   0.0,   0.0,"          $27,451,009.00","           1,436.9","              $19,104.33","          $27,794,088.00","           1,495.0","              $18,591.36",       356,98.0,1.1,0.0,0.0,0.8,0.0,"   1,429",4.0,0.3,353.0,202.0,57.2,0.3,11.9,22.4,22.7,21.5,15.0,3.7,34.6,353.0,353.0,100.0,     120,     148,92.0,28.0,0.0,0.0,0.0,26.0,57.0,41.0,16.0,8.0,56.1,43.9,262.0,527.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Mount Greylock: Lanesborough Elementary,07150005,Public School,Lanesborough,MA,01237,"PK,K,01,02,03,04,05,06",Mount Greylock,07150000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $3,939,231","  $88,324",     45.0,,,,,,,,"          $11,135,330.00",             548.2,"              $20,312.53","          $12,419,496.00",             602.2,"              $20,623.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Greylock: Mt Greylock Regional High,07150505,Public School,Williamstown,MA,01267,"07,08,09,10,11,12",Mount Greylock,07150000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      90,     103,      89,     100,      84,      93,       3,     562,       4,0.7,       1,0.2,      83,14.8, , ,     152,27.0,      99,17.6,1.4,1.1,2.5,90.0,0.2,0.0,4.8,49.3,50.7,     330,13.6,        554,44.6,100.0,     210,98.6,12.6,"      $3,939,231","  $88,324",     45.0,      55,      55, 100.0,  12.7,  85.5,   1.8,   0.0,"          $11,135,330.00",             548.2,"              $20,312.53","          $12,419,496.00",             602.2,"              $20,623.54",        92,93.5,2.2,0.0,0.0,4.3,0.0,     366,3.0,0.8,88.0,69.0,78.4,0.0,44.3,12.5,21.6,12.5,10.2,3.4,65.9,88.0,19.0,21.6,     122,     249,51.0,29.0,28.0,14.0,0.0,23.0,49.0,72.0,64.0,41.0,28.9,71.1,89.0,620.0,604.0,         141,75.0,          43,23.0,          98,52.0,          38,20.0,           9,5.0,         188,514.9,63.5,         176,98.0,         116,62.0,          17,9.0,          99,53.0,          58,31.0,          13,7.0,         187,504.7,32.0,         171,73.0,
Mount Greylock: Williamstown Elementary,07150010,Public School,Williamstown,MA,01267,"PK,K,01,02,03,04,05,06",Mount Greylock,07150000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $3,939,231","  $88,324",     45.0,,,,,,,,"          $11,135,330.00",             548.2,"              $20,312.53","          $12,419,496.00",             602.2,"              $20,623.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School,04700105,Charter School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08,09,10,11,12",Mystic Valley Regional Charter (District),04700000,Charter District,       0,     124,     120,     120,     129,     135,     143,     126,     105,      97,     106,      95,      90,      96,       0,"   1,486",     499,33.6,      24,1.6,     196,13.2, , ,     435,29.3,     255,17.2,17.0,17.2,7.8,53.4,0.3,0.0,4.4,48.5,51.5,     755,22.8,"      1,479",103.1,66.0,     612,89.2,14.4,,,,,,,,,,,"          $18,472,574.00","           1,485.9","              $12,432.16","          $18,472,574.00","           1,485.9","              $12,432.16",        96,100.0,0.0,0.0,0.0,0.0,0.0,     387,0.0,0.0,96.0,84.0,87.5,0.0,39.6,5.2,42.7,5.2,10.4,22.9,82.30000000000001,96.0,96.0,100.0,,,,,,,,,,,,,,,129.0,559.0,579.0,         475,64.0,          67,9.0,         408,55.0,         254,34.0,           8,1.0,         737,506.2,63.0,         594,77.0,         472,64.0,          73,10.0,         399,54.0,         251,34.0,          14,2.0,         737,506.3,58.0,         593,79.0,
Nahant: Johnson,01960010,Public School,Nahant,MA,01908,"PK,K,01,02,03,04,05,06",Nahant,01960000,Public School District,      19,      17,      23,      18,      12,      22,      17,      14,       0,       0,       0,       0,       0,       0,       0,     142,       2,1.4,       0,0.0,      12,8.5, , ,      37,26.1,      28,19.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.7,49.3,      17,16.6,        150,11.0,100.0,      50,100.0,12.9,"        $698,557","  $63,505",     11.0,      14,       9,  64.3,  11.1,  88.9,   0.0,   0.0,"           $2,448,876.00",             146.9,"              $16,670.36","           $4,496,265.00",             287.6,"              $15,633.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          35,51.0,           5,7.0,          30,44.0,          31,46.0,           2,3.0,          68,502.6,30.0,          51,64.0,          33,49.0,           2,3.0,          31,46.0,          29,43.0,           5,7.0,          67,498.4,29.0,          50,49.0,
Nantucket: Cyrus Peirce,01970010,Public School,Nantucket,MA,02554,"06,07,08",Nantucket,01970000,Public School District,       0,       0,       0,       0,       0,       0,       0,     120,     103,     105,       0,       0,       0,       0,       0,     328,      80,24.4,      37,11.3,      41,12.5, , ,     120,36.6,      57,17.4,11.9,1.2,23.2,57.9,0.0,0.3,5.5,49.4,50.6,     221,15.2,        336,31.9,92.5,     165,86.7,10.3,"     $12,388,021","  $89,833",    138.0,      43,      43, 100.0,  14.0,  69.8,  11.6,   4.7,"          $33,712,284.00","           1,571.9","              $21,446.84","          $34,682,993.00","           1,582.5","              $21,916.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         126,40.0,           6,2.0,         120,38.0,         141,44.0,          51,16.0,         318,491.8,45.0,         291,20.0,         101,32.0,           8,3.0,          93,29.0,         167,53.0,          48,15.0,         316,490.1,45.0,         289,18.0,
Nantucket: Nantucket Elementary,01970005,Public School,Nantucket,MA,02554,"PK,K,01,02",Nantucket,01970000,Public School District,      35,      84,     117,     121,     134,     112,     114,       0,       0,       0,       0,       0,       0,       0,       0,     717,     255,35.6,     155,21.6,      75,10.5, , ,     313,43.7,     144,20.1,9.6,2.0,33.6,51.9,0.0,0.1,2.8,51.6,48.4,     409,20.1,        744,61.5,96.7,     332,88.9,11.7,"     $12,388,021","  $89,833",    138.0,      71,      71, 100.0,  19.7,  74.6,   5.6,   0.0,"          $33,712,284.00","           1,571.9","              $21,446.84","          $34,682,993.00","           1,582.5","              $21,916.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         121,35.0,          11,3.0,         110,32.0,         177,51.0,          46,13.0,         344,492.9,51.0,         198,24.0,         125,36.0,           7,2.0,         118,34.0,         162,47.0,          57,17.0,         344,491.7,44.0,         197,23.0,
