School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced
Mashpee: Mashpee Middle-High School,01720505,Public School,Mashpee,MA,02649,"07,08,09,10,11,12",Mashpee,01720000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     119,     116,     113,     106,       0,     454,      22,4.8,       2,0.4,      58,12.8,     153,33.7,     119,26.2,5.5,3.1,4.2,76.0,5.7,0.2,5.3,50.2,49.8,0.0,     312,12.4,        460,41.6,100.0,  10.9 to 1,83.7,90.7,77.4,"     $10,984,363","  $78,685",    139.6,      66,      62,  93.9,  27.4,  69.4,   3.2,   0.0,"          $30,574,185.25","           1,579.9","              $19,351.97","          $33,941,581.26","           1,754.9","              $19,341.03",112.0,92.9,1.8,0.0,0.9,4.5,0.0,     454,4.0,0.9,107.0,76.0,71.0,0.0,35.5,27.6,36.8,26.3,9.2,11.8,107.0,107.0,100.0,     116,     202,64.0,24.0,23.0,4.0,1.0,26.0,53.0,52.0,52.0,19.0,39.1,60.9,108.0,541.0,529.0,         226,         167,73.9
Mashpee: Quashnet School,01720035,Public School,Mashpee,MA,02649,"03,04,05,06",Mashpee,01720000,Public School District,       0,       0,       0,       0,     100,     120,     117,     123,       0,       0,       0,       0,       0,       0,       0,     460,      36,7.8,       8,1.7,      73,15.9,     218,47.4,     165,35.9,4.6,1.5,6.1,72.0,7.2,0.0,8.7,48.7,51.3,0.0,     340,17.1,        476,40.9,100.0,  11.2 to 1,95.1,90.2,97.6,"     $10,984,363","  $78,685",    139.6,      48,      48, 100.0,  37.5,  62.5,   0.0,   0.0,"          $30,574,185.25","           1,579.9","              $19,351.97","          $33,941,581.26","           1,754.9","              $19,341.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Charter Public School (District): Match Charter Public School,04690505,Charter School,Boston,MA,02215,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Match Charter Public School (District),04690000,Charter District,      51,      92,      98,      98,      95,     100,      95,      95,      90,      94,      87,      83,      70,      75,       0,"   1,223",     708,57.9,     235,19.2,     277,22.6,     997,81.5,     761,62.2,48.1,0.5,46.9,1.6,0.4,0.2,2.2,47.8,52.2,0.0,     355,20.4,"      1,219",113.9,75.0,  10.7 to 1,42.9,87.2,48.1,"      $7,951,214","  $69,315",    114.7,,,,,,,,"          $27,673,158.00","           1,216.3","              $22,752.85","          $27,673,158.00","           1,216.3","              $22,752.85",72.0,87.5,8.3,0.0,1.4,2.8,0.0,     315,1.0,0.3,73.0,55.0,75.3,0.0,41.8,10.9,47.3,10.9,12.7,32.7,73.0,0.0,0.0,     136,     238,88.0,17.0,12.0,15.0,4.0,57.0,75.0,59.0,37.0,10.0,55.5,44.5,33.0,470.0,521.0,         144,         129,89.6
Mattapoisett: Center,01730005,Public School,Mattapoisett,MA,02739,"PK,K,01,02,03",Mattapoisett,01730000,Public School District,      23,      52,      58,      60,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     250,       0,0.0,       0,0.0,      37,14.8,      66,26.4,      45,18.0,0.0,0.8,4.0,88.8,0.0,0.0,6.4,51.2,48.8,0.0,     109,18.7,        254,20.3,100.0,  12.3 to 1,99.2,99.2,95.8,"      $3,381,549","  $91,147",     37.1,      30,       2,   6.7,-,-,-,-,"           $8,562,532.00",             438.9,"              $19,509.07","           $9,315,178.60",             445.9,"              $20,890.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattapoisett: Old Hammondtown,01730010,Public School,Mattapoisett,MA,02739,"04,05,06",Mattapoisett,01730000,Public School District,       0,       0,       0,       0,       0,      62,      55,      75,       0,       0,       0,       0,       0,       0,       0,     192,       4,2.1,       1,0.5,      27,14.1,      58,30.2,      39,20.3,1.0,1.6,4.2,89.6,0.0,0.0,3.6,54.2,45.8,0.0,      92,19.3,        190,16.8,100.0,  11.4 to 1,90.2,99.1,100.0,"      $3,381,549","  $91,147",     37.1,      26,       2,   7.7,-,-,-,-,"           $8,562,532.00",             438.9,"              $19,509.07","           $9,315,178.60",             445.9,"              $20,890.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynard: Fowler School,01740305,Public School,Maynard,MA,01754,"04,05,06,07,08",Maynard,01740000,Public School District,       0,       0,       0,       0,       0,     100,      88,      99,      94,      85,       0,       0,       0,       0,       0,     466,      49,10.5,      14,3.0,      90,19.3,     162,34.8,      88,18.9,2.4,1.5,12.4,78.5,0.2,0.0,4.9,49.1,50.6,0.2,     302,19.4,        465,40.7,95.1,  11.5 to 1,89.8,99.5,88.1,"      $9,326,836","  $83,424",    111.8,      52,      50,  96.2,-,-,-,-,"          $23,330,336.05","           1,263.0","              $18,472.16","          $28,470,329.36","           1,433.4","              $19,862.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynard: Green Meadow,01740010,Public School,Maynard,MA,01754,"PK,K,01,02,03",Maynard,01740000,Public School District,      50,     101,     100,     112,      99,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     462,      48,10.4,      35,7.6,      73,15.8,     161,34.8,      84,18.2,1.5,1.5,14.5,77.5,0.0,0.0,5.0,54.5,45.5,0.0,     303,18.3,        454,38.3,94.8,  12.1 to 1,83.3,94.8,87.9,"      $9,326,836","  $83,424",    111.8,      41,      41, 100.0,-,-,-,-,"          $23,330,336.05","           1,263.0","              $18,472.16","          $28,470,329.36","           1,433.4","              $19,862.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynard: Maynard High,01740505,Public School,Maynard,MA,01754,"09,10,11,12",Maynard,01740000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      71,      90,      81,      94,       1,     337,      37,11.0,      12,3.6,      54,16.0,      95,28.2,      54,16.0,2.4,3.3,11.3,80.1,0.3,0.0,2.7,51.0,48.7,0.3,     192,13.5,        337,32.9,97.0,  10.2 to 1,90.7,93.9,80.5,"      $9,326,836","  $83,424",    111.8,      42,      42, 100.0,-,-,-,-,"          $23,330,336.05","           1,263.0","              $18,472.16","          $28,470,329.36","           1,433.4","              $19,862.10",95.0,89.5,1.1,1.1,2.1,6.3,0.0,     336,7.0,2.1,88.0,58.0,65.9,0.0,41.4,6.9,51.7,6.9,12.1,27.6,88.0,88.0,100.0,      98,     134,69.0,22.0,7.0,0.0,0.0,8.0,29.0,47.0,30.0,20.0,27.6,72.4,46.0,565.0,542.0,         170,         118,69.4
Medfield: Dale Street,01750005,Public School,Medfield,MA,02052,"04,05",Medfield,01750000,Public School District,       0,       0,       0,       0,       0,     204,     194,       0,       0,       0,       0,       0,       0,       0,       0,     398,      10,2.5,       2,0.5,      56,14.1,      72,18.1,      15,3.8,1.8,4.8,4.5,85.4,0.8,0.0,2.8,54.8,45.2,0.0,     247,18.4,        401,30.2,100.0,  13.2 to 1,79.1,95.8,100.0,"     $19,363,750","  $98,997",    195.6,      47,       0,   0.0,-,-,-,-,"          $41,844,419.13","           2,603.7","              $16,071.14","          $44,347,560.74","           2,628.8","              $16,869.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield: Medfield Senior High,01750505,Public School,Medfield,MA,02052,"09,10,11,12",Medfield,01750000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     199,     198,     201,     206,       0,     804,      17,2.1,       3,0.4,      78,9.7,     115,14.3,      42,5.2,1.0,5.5,2.4,87.9,0.1,0.0,3.1,49.6,50.4,0.0,     394,17.4,        806,59.5,98.3,  13.5 to 1,87.2,89.7,92.2,"     $19,363,750","  $98,997",    195.6,      92,       0,   0.0,-,-,-,-,"          $41,844,419.13","           2,603.7","              $16,071.14","          $44,347,560.74","           2,628.8","              $16,869.89",209.0,97.1,0.5,0.0,0.0,2.4,0.0,     804,7.0,0.9,204.0,176.0,86.3,0.0,61.9,3.4,34.1,2.3,1.7,8.0,204.0,204.0,100.0,     286,     514,148.0,77.0,39.0,17.0,5.0,34.0,70.0,137.0,154.0,119.0,20.2,79.8,118.0,605.0,616.0,         405,         338,83.5
Medfield: Memorial School,01750003,Public School,Medfield,MA,02052,"PK,K,01",Medfield,01750000,Public School District,      50,     195,     191,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     436,      16,3.7,       7,1.6,      46,10.6,      71,16.3,      26,6.0,1.8,2.8,2.3,89.7,0.2,0.0,3.2,49.8,50.2,0.0,     178,20.1,        446,28.9,100.0,  15.1 to 1,82.7,100.0,97.0,"     $19,363,750","  $98,997",    195.6,      43,       0,   0.0,-,-,-,-,"          $41,844,419.13","           2,603.7","              $16,071.14","          $44,347,560.74","           2,628.8","              $16,869.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield: Ralph Wheelock School,01750007,Public School,Medfield,MA,02052,"02,03",Medfield,01750000,Public School District,       0,       0,       0,     187,     201,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     388,      17,4.4,       5,1.3,      52,13.4,      68,17.5,      22,5.7,1.3,2.8,4.1,87.4,0.0,0.0,4.4,50.0,50.0,0.0,     191,20.2,        386,27.1,96.3,  14.3 to 1,87.1,100.0,93.3,"     $19,363,750","  $98,997",    195.6,      40,       0,   0.0,-,-,-,-,"          $41,844,419.13","           2,603.7","              $16,071.14","          $44,347,560.74","           2,628.8","              $16,869.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield: Thomas Blake Middle,01750305,Public School,Medfield,MA,02052,"06,07,08",Medfield,01750000,Public School District,       0,       0,       0,       0,       0,       0,       0,     193,     186,     196,       0,       0,       0,       0,       0,     575,      17,3.0,       2,0.3,      79,13.7,     104,18.1,      24,4.2,0.7,3.7,5.0,85.7,0.3,0.0,4.5,52.0,48.0,0.0,     498,15.3,        578,50.0,100.0,  11.5 to 1,97.5,98.0,90.9,"     $19,363,750","  $98,997",    195.6,      80,       0,   0.0,-,-,-,-,"          $41,844,419.13","           2,603.7","              $16,071.14","          $44,347,560.74","           2,628.8","              $16,869.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: Brooks School,01760130,Public School,Medford,MA,02155,"PK,K,01,02,03,04,05",Medford,01760000,Public School District,      17,      89,      80,      94,      77,      84,      72,       0,       0,       0,       0,       0,       0,       0,       0,     513,      79,15.4,      44,8.6,      91,17.7,     165,32.2,      74,14.4,6.8,4.5,9.0,73.9,0.6,0.0,5.3,50.5,49.5,0.0,     138,18.4,        522,43.5,100.0,  11.8 to 1,79.3,100.0,100.0,"     $34,536,308","  $86,949",    397.2,      50,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: Curtis-Tufts,01760510,Public School,Medford,MA,02155,"09,10,11,12",Medford,01760000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       6,       5,       3,       0,      14,       1,7.1,       0,0.0,      14,100.0,      14,100.0,       8,57.1,21.4,0.0,7.1,57.1,0.0,0.0,14.3,71.4,28.6,0.0,      22,5.2,         18,5.5,100.0,   2.6 to 1,59.6,100.0,71.4,"     $34,536,308","  $86,949",    397.2,       8,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",8.0,62.5,25.0,0.0,0.0,12.5,0.0,      14,2.0,14.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           7,           4,57.1
Medford: John J McGlynn Elementary School,01760068,Public School,Medford,MA,02155,"PK,K,01,02,03,04,05",Medford,01760000,Public School District,      35,      79,      66,      81,      73,      77,      86,       0,       0,       0,       0,       0,       0,       0,       0,     497,     220,44.3,      84,16.9,      83,16.7,     304,61.2,     207,41.6,15.1,15.1,14.9,47.1,1.0,0.2,6.6,47.3,52.7,0.0,     129,17.2,        473,39.9,100.0,  12.5 to 1,77.4,97.5,97.6,"     $34,536,308","  $86,949",    397.2,      51,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: John J. McGlynn Middle School,01760320,Public School,Medford,MA,02155,"06,07,08",Medford,01760000,Public School District,       0,       0,       0,       0,       0,       0,       0,     163,     152,     139,       0,       0,       0,       0,       0,     454,     188,41.4,      81,17.8,      91,20.0,     280,61.7,     190,41.9,19.6,10.1,17.0,48.5,0.4,0.2,4.2,52.4,47.6,0.0,     303,14.6,        439,52.1,98.1,   8.7 to 1,77.9,96.2,84.5,"     $34,536,308","  $86,949",    397.2,      64,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: Madeleine Dugger Andrews,01760315,Public School,Medford,MA,02155,"06,07,08",Medford,01760000,Public School District,       0,       0,       0,       0,       0,       0,       0,     161,     142,     164,       0,       0,       0,       0,       0,     467,      53,11.3,       0,0.0,      93,19.9,     186,39.8,     118,25.3,7.9,7.9,9.2,68.1,0.4,0.0,6.4,54.2,45.8,0.0,     362,15.8,        470,45.2,100.0,  10.3 to 1,86.7,93.4,94.1,"     $34,536,308","  $86,949",    397.2,      56,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: Medford High,01760505,Public School,Medford,MA,02155,"PK,09,10,11,12",Medford,01760000,Public School District,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,     343,     307,     302,     299,       7,"   1,315",     315,24.0,      92,7.0,     264,20.1,     648,49.3,     421,32.0,14.0,10.7,12.7,58.6,0.1,0.1,3.9,52.5,47.5,0.0,     699,14.3,"      1,339",131.1,97.0,  10.0 to 1,77.4,86.7,87.1,"     $34,536,308","  $86,949",    397.2,     163,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",316.0,90.5,5.1,0.0,1.3,3.2,0.0,"   1,251",12.0,1.0,297.0,176.0,59.3,0.0,31.8,25.6,42.6,25.6,10.2,23.3,297.0,297.0,100.0,     139,     239,72.0,44.0,18.0,2.0,3.0,6.0,32.0,61.0,86.0,54.0,15.9,84.1,136.0,548.0,543.0,         601,         341,56.7
Medford: Milton Fuller Roberts,01760150,Public School,Medford,MA,02155,"PK,K,01,02,03,04,05",Medford,01760000,Public School District,      15,      82,      90,      78,      88,      95,     118,       0,       0,       0,       0,       0,       0,       0,       0,     566,     171,30.2,      88,15.5,      95,16.8,     276,48.8,     160,28.3,9.5,10.8,11.5,62.2,1.2,0.0,4.8,53.7,46.3,0.0,     161,16.9,        556,42.7,100.0,  13.3 to 1,88.3,100.0,100.0,"     $34,536,308","  $86,949",    397.2,      48,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford: Missituk Elementary School,01760140,Public School,Medford,MA,02155,"PK,K,01,02,03,04,05",Medford,01760000,Public School District,      15,      63,      68,      53,      76,      48,      54,       0,       0,       0,       0,       0,       0,       0,       0,     377,     127,33.7,      65,17.2,      72,19.1,     200,53.1,     135,35.8,12.7,7.2,20.2,53.8,0.5,0.0,5.6,55.4,44.6,0.0,     125,15.1,        376,37.2,100.0,  10.1 to 1,86.6,95.3,97.4,"     $34,536,308","  $86,949",    397.2,      48,       0,   0.0,-,-,-,-,"          $85,807,565.00","           4,206.4","              $20,399.29","          $97,019,284.00","           4,719.2","              $20,558.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medway: Burke/Memorial Elementary School,01770015,Public School,Medway,MA,02053,"02,03,04",Medway,01770000,Public School District,       0,       0,       0,     154,     151,     172,       0,       0,       0,       0,       0,       0,       0,       0,       0,     477,      20,4.2,      15,3.1,      88,18.4,     127,26.6,      49,10.3,2.5,1.7,3.8,89.5,0.2,0.2,2.1,48.0,52.0,0.0,     224,19.8,        476,34.5,100.0,  13.8 to 1,85.5,97.1,94.3,"     $13,193,043","  $82,251",    160.4,      43,      14,  32.6,-,-,-,-,"          $33,379,685.46","           2,178.8","              $15,320.22","          $36,976,927.58","           2,274.9","              $16,254.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medway: John D Mc Govern Elementary,01770013,Public School,Medway,MA,02053,"PK,K,01",Medway,01770000,Public School District,      40,     145,     149,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     334,      14,4.2,      13,3.9,      34,10.2,      69,20.7,      38,11.4,1.5,2.1,7.2,87.1,0.3,0.0,1.8,54.5,45.5,0.0,     122,18.6,        345,23.5,100.0,  14.2 to 1,87.2,100.0,100.0,"     $13,193,043","  $82,251",    160.4,      32,       9,  28.1,-,-,-,-,"          $33,379,685.46","           2,178.8","              $15,320.22","          $36,976,927.58","           2,274.9","              $16,254.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medway: Medway High,01770505,Public School,Medway,MA,02053,"09,10,11,12",Medway,01770000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     162,     178,     154,     189,       0,     683,       8,1.2,       1,0.1,      90,13.2,     134,19.6,      55,8.1,1.0,4.0,4.1,89.3,0.3,0.0,1.3,49.6,50.4,0.0,     339,14.9,        685,48.9,100.0,  14.0 to 1,89.7,95.9,96.2,"     $13,193,043","  $82,251",    160.4,      70,      13,  18.6,   0.0,  84.6,   7.7,   7.7,"          $33,379,685.46","           2,178.8","              $15,320.22","          $36,976,927.58","           2,274.9","              $16,254.31",191.0,97.4,1.0,0.0,1.0,0.5,0.0,     683,1.0,0.1,188.0,154.0,81.9,0.0,57.8,3.9,38.3,3.9,13.0,3.9,188.0,188.0,100.0,     251,     490,119.0,71.0,38.0,6.0,17.0,40.0,85.0,144.0,137.0,84.0,25.5,74.5,111.0,568.0,575.0,         345,         308,89.3
Medway: Medway Middle,01770305,Public School,Medway,MA,02053,"05,06,07,08",Medway,01770000,Public School District,       0,       0,       0,       0,       0,       0,     161,     186,     171,     166,       0,       0,       0,       0,       0,     684,       8,1.2,       2,0.3,     135,19.7,     190,27.8,      78,11.4,1.8,2.9,6.0,86.4,0.1,0.3,2.5,47.4,52.6,0.0,     354,17.5,        685,53.5,100.0,  12.8 to 1,93.5,98.1,100.0,"     $13,193,043","  $82,251",    160.4,      69,      13,  18.8,-,-,-,-,"          $33,379,685.46","           2,178.8","              $15,320.22","          $36,976,927.58","           2,274.9","              $16,254.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Early Childhood Center,01780003,Public School,Melrose,MA,02176,"PK,K",Melrose,01780000,Public School District,     281,      28,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     309,      27,8.7,       0,0.0,      51,16.5,      58,18.8,      16,5.2,3.6,7.4,3.9,79.3,0.0,0.0,5.8,55.0,45.0,0.0,      36,15.3,        325,16.5,100.0,  18.7 to 1,86.7,87.9,95.7,"     $18,906,000","  $69,025",    273.9,      25,      23,  92.0,   8.7,  73.9,  17.4,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Herbert Clark Hoover,01780017,Public School,Melrose,MA,02176,"K,01,02,03,04,05",Melrose,01780000,Public School District,       0,      61,      67,      58,      45,      42,      45,       0,       0,       0,       0,       0,       0,       0,       0,     318,      48,15.1,      31,9.7,      32,10.1,      90,28.3,      42,13.2,5.3,8.2,7.2,75.8,0.0,0.0,3.5,50.0,50.0,0.0,     135,21.5,        323,21.7,100.0,  14.6 to 1,55.6,100.0,89.7,"     $18,906,000","  $69,025",    273.9,      32,      29,  90.6,  20.7,  51.7,  27.6,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Horace Mann,01780025,Public School,Melrose,MA,02176,"K,01,02,03,04,05",Melrose,01780000,Public School District,       0,      48,      48,      48,      49,      44,      47,       0,       0,       0,       0,       0,       0,       0,       0,     284,       7,2.5,       0,0.0,      36,12.7,      43,15.1,       9,3.2,1.4,0.7,2.5,89.4,0.0,0.0,6.0,45.4,54.6,0.0,     108,23.8,        284,17.1,100.0,  16.6 to 1,89.8,100.0,90.5,"     $18,906,000","  $69,025",    273.9,      24,      21,  87.5,  14.3,  76.2,   9.5,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Lincoln,01780020,Public School,Melrose,MA,02176,"K,01,02,03,04,05",Melrose,01780000,Public School District,       0,      54,      67,      68,      82,      75,      68,       0,       0,       0,       0,       0,       0,       0,       0,     414,     131,31.6,      92,22.2,      60,14.5,     184,44.4,      88,21.3,7.7,15.0,8.5,60.4,0.0,0.0,8.5,46.4,53.6,0.0,     180,21.2,        425,31.1,100.0,  13.3 to 1,78.3,100.0,96.9,"     $18,906,000","  $69,025",    273.9,      35,      33,  94.3,   9.1,  78.8,  12.1,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Melrose High,01780505,Public School,Melrose,MA,02176,"09,10,11,12",Melrose,01780000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     221,     242,     244,     274,       5,     986,     135,13.7,      14,1.4,     141,14.3,     238,24.1,     106,10.8,6.1,5.5,4.2,80.1,0.0,0.0,4.2,47.5,52.5,0.0,     406,16.9,        984,74.9,100.0,  13.2 to 1,85.2,92.0,96.4,"     $18,906,000","  $69,025",    273.9,     100,      96,  96.0,   9.4,  77.1,  13.5,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",272.0,98.2,1.1,0.0,0.0,0.7,0.0,     981,3.0,0.3,268.0,215.0,80.2,0.0,48.4,5.1,46.5,5.1,7.9,12.6,268.0,265.0,98.9,     314,     695,128.0,74.0,55.0,38.0,19.0,52.0,131.0,206.0,190.0,116.0,26.3,73.7,174.0,578.0,558.0,         508,         356,70.1
Melrose: Melrose Middle,01780305,Public School,Melrose,MA,02176,"06,07,08",Melrose,01780000,Public School District,       0,       0,       0,       0,       0,       0,       0,     287,     273,     258,       0,       0,       0,       0,       0,     818,     101,12.3,      24,2.9,     135,16.5,     239,29.2,     101,12.3,7.6,5.0,5.6,77.9,0.0,0.0,3.9,50.5,49.5,0.0,     456,22.0,        827,57.8,100.0,  14.2 to 1,82.2,96.5,97.0,"     $18,906,000","  $69,025",    273.9,      81,      76,  93.8,  15.8,  71.1,  13.2,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Roosevelt,01780035,Public School,Melrose,MA,02176,"K,01,02,03,04,05",Melrose,01780000,Public School District,       0,      61,      68,      69,      87,      80,      67,       0,       0,       0,       0,       0,       0,       0,       0,     432,      65,15.0,      31,7.2,      58,13.4,     119,27.5,      55,12.7,6.0,5.3,4.6,78.2,0.0,0.0,5.8,50.7,49.3,0.0,     180,21.9,        438,30.4,100.0,  14.2 to 1,78.6,96.7,96.8,"     $18,906,000","  $69,025",    273.9,      35,      31,  88.6,   6.5,  90.3,   3.2,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose: Winthrop,01780050,Public School,Melrose,MA,02176,"K,01,02,03,04,05",Melrose,01780000,Public School District,       0,      68,      66,      83,      68,      68,      63,       0,       0,       0,       0,       0,       0,       0,       0,     416,      23,5.5,       4,1.0,      50,12.0,      67,16.1,      16,3.8,1.9,4.3,3.6,83.4,0.0,0.0,6.7,51.7,48.3,0.0,     171,22.2,        422,24.4,100.0,  17.1 to 1,72.3,95.9,96.4,"     $18,906,000","  $69,025",    273.9,      32,      30,  93.8,  16.7,  80.0,   3.3,   0.0,"          $47,362,889.53","           3,994.4","              $11,857.32","          $54,463,574.56","           4,300.3","              $12,665.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendon-Upton: Henry P Clough,07100179,Public School,Mendon,MA,01756,"PK,K,01,02,03,04",Mendon-Upton,07100000,Public School District,      28,      62,      65,      73,      75,      75,       0,       0,       0,       0,       0,       0,       0,       0,       0,     378,      15,4.0,      12,3.2,      53,14.0,      84,22.2,      34,9.0,0.0,0.0,2.1,97.1,0.0,0.0,0.8,46.6,53.4,0.0,     144,19.4,        373,26.5,96.2,  14.3 to 1,84.9,100.0,96.3,"     $13,473,622","  $86,148",    156.4,      30,      29,  96.7,  17.2,  82.8,   0.0,   0.0,"          $35,085,292.00","           2,249.8","              $15,594.85","          $39,475,297.09","           2,367.3","              $16,675.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
