School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Hamilton-Wenham: Miles River Middle,06750310,Public School,Hamilton,MA,01982,"06,07,08",Hamilton-Wenham,06750000,Public School District,       0,       0,       0,       0,       0,       0,       0,     151,     144,     152,       0,       0,       0,       0,0.0,     447,      13,   2.9,       8,   1.8,      78,  17.4,      35,   7.8, , , , ,   0.4,   4.0,   0.7,  91.3,   0.2,   0.9,   2.5,  46.1,  53.9,     160,21.2,        449,37.8,100.0,     186,100.0,11.8,"     $11,555,185","  $72,310",    159.8,"          $27,190,113.70","           1,962.0","              $13,858.37","          $28,976,489.95","           1,992.1","              $14,545.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton-Wenham: Winthrop School,06750015,Public School,South Hamilton,MA,01982,"PK,K,01,02,03,04,05",Hamilton-Wenham,06750000,Public School District,      11,      53,      40,      43,      48,      52,      40,       0,       0,       0,       0,       0,       0,       0,0.0,     287,       5,   1.7,       3,   1.0,      41,  14.3,      16,   5.6, , , , ,   0.0,   4.2,   0.0,  95.1,   0.0,   0.0,   0.7,  56.8,  43.2,      53,21.3,        291,22.4,100.0,      84,100.0,12.8,"     $11,555,185","  $72,310",    159.8,"          $27,190,113.70","           1,962.0","              $13,858.37","          $28,976,489.95","           1,992.1","              $14,545.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden Charter School of Science East (District): Hampden Charter School of Science East,04990305,Charter School,Chicopee,MA,01022,"06,07,08,09,10,11,12",Hampden Charter School of Science East (District),04990000,Charter District,       0,       0,       0,       0,       0,       0,       0,      51,      49,      52,      44,      38,       0,       0,0.0,     234,      29,  12.4,      13,   5.6,      24,  10.3,     128,  54.7, , , , ,  27.4,   4.3,  21.8,  46.2,   0.0,   0.4,   0.0,  47.9,  52.1,     134,16.9,        234,18.7,36.0,      96,77.1,12.5,,,,,,,,,,,,,,,,,      82,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden Charter School of Science West (District): Hampden Charter School of Science West,35160305,Charter School,West Springfield,MA,01089,"06,07,08,09,10,11,12",Hampden Charter School of Science West (District),35160000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham: Green Meadows Elementary,06800005,Public School,Hampden,MA,01036,"PK,K,01,02,03,04,05,06,07,08",Hampden-Wilbraham,06800000,Public School District,      19,      50,      55,      56,      73,      76,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     329,       3,   0.9,       2,   0.6,      63,  19.1,      53,  16.1, , , , ,   1.8,   1.8,   4.6,  89.1,   0.0,   0.0,   2.7,  55.0,  45.0,      78,20.1,        329,25.2,100.0,     125,100.0,13.1,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham: Mile Tree Elementary,06800025,Public School,Wilbraham,MA,01095,"PK,K,01",Hampden-Wilbraham,06800000,Public School District,      30,     157,     179,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     366,      21,   5.7,       4,   1.1,      29,   7.9,      37,  10.1, , , , ,   1.4,   3.6,   5.2,  87.7,   0.3,   0.0,   1.9,  51.9,  48.1,      69,21.9,        363,22.6,100.0,     111,100.0,16.2,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham: Minnechaug Regional High,06800505,Public School,Wilbraham,MA,01095,"09,10,11,12",Hampden-Wilbraham,06800000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     331,     328,     310,     288,0.0,"   1,257",      29,   2.3,       3,   0.2,     252,  20.0,     108,   8.6, , , , ,   4.2,   2.5,   3.4,  88.3,   0.2,   0.2,   1.3,  51.3,  48.7,     291,17.9,"      1,241",82.0,99.2,     358,95.5,15.3,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",       307,93.5,1.6,0.0,0.7,3.3,1.0,"   1,257",8.0,0.6,290.0,249.0,85.9,0.0,35.9062,29.9791,20.0147,29.6355,11.081100000000001,5.8412,55.9209,290.0,290.0,100.0,97.0,     141,62.0,28.0,5.0,2.0,0.0,3.0,13.0,41.0,36.0,48.0,11.3,88.7,242.0,524.0,551.0
Hampden-Wilbraham: Soule Road,06800030,Public School,Wilbraham,MA,01095,"04,05",Hampden-Wilbraham,06800000,Public School District,       0,       0,       0,       0,       0,     193,     201,       0,       0,       0,       0,       0,       0,       0,0.0,     394,      11,   2.8,       4,   1.0,      65,  16.5,      43,  10.9, , , , ,   0.8,   2.5,   3.6,  91.1,   0.0,   1.0,   1.0,  48.7,  51.3,      80,24.4,        391,23.6,100.0,      98,100.0,16.7,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham: Stony Hill School,06800050,Public School,Wilbraham,MA,01095,"02,03",Hampden-Wilbraham,06800000,Public School District,       0,       0,       0,     154,     160,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     314,      16,   5.1,       7,   2.2,      47,  15.0,       0,   0.0, , , , ,   1.6,   5.1,   3.5,  87.6,   0.0,   0.0,   2.2,  46.5,  53.5,      70,22.4,        314,19.9,100.0,     112,100.0,15.8,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden-Wilbraham: Wilbraham Middle,06800310,Public School,Wilbraham,MA,01095,"06,07,08",Hampden-Wilbraham,06800000,Public School District,       0,       0,       0,       0,       0,       0,       0,     195,     216,     223,       0,       0,       0,       0,0.0,     634,      15,   2.4,       4,   0.6,     127,  20.0,      61,   9.6, , , , ,   2.7,   3.6,   3.6,  88.5,   0.0,   0.2,   1.4,  49.8,  50.2,     229,18.3,        634,42.6,100.0,     235,100.0,14.9,"     $15,123,469","  $63,491",    238.2,"          $38,395,206.76","           3,573.9","              $10,743.22","          $42,125,676.76","           3,660.7","              $11,507.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampshire: Hampshire Regional High,06830505,Public School,Westhampton,MA,01027,"07,08,09,10,11,12",Hampshire,06830000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     146,     150,     131,     109,     141,     133,0.0,     810,       8,   1.0,       2,   0.2,     130,  16.0,      96,  11.9, , , , ,   0.4,   1.1,   2.0,  95.3,   0.0,   0.0,   1.2,  45.6,  54.4,     329,15.4,        808,63.4,100.0,     274,100.0,12.8,"      $4,215,516","  $66,491",     63.4,"          $11,167,174.00",             810.2,"              $13,783.23","          $12,707,463.00",             919.4,"              $13,821.47",       136,90.4,2.9,0.0,2.2,4.4,0.0,     514,5.0,1.0,128.0,111.0,86.7,1.5606,18.727200000000003,39.015,27.3105,39.015,12.4848,9.363600000000002,46.0377,128.0,1.0,0.8,40.0,      44,36.0,4.0,0.0,0.0,0.0,9.0,7.0,6.0,11.0,11.0,36.4,63.6,101.0,521.0,520.0
Hancock: Hancock Elementary,01210005,Public School,Hancock,MA,01237,"PK,K,01,02,03,04,05,06",Hancock,01210000,Public School District,      11,       6,       5,       8,       4,       6,       4,       4,       0,       0,       0,       0,       0,       0,0.0,      48,       0,   0.0,       0,   0.0,       4,   8.3,       5,  10.4, , , , ,   2.1,   0.0,   2.1,  95.8,   0.0,   0.0,   0.0,  50.0,  50.0,      15,10.6,         48,6.0,83.3,      26,92.3,8.0,"        $368,948","  $61,491",      6.0,"             $611,518.00",              48.4,"              $12,634.67","           $1,238,199.00",             116.5,"              $10,628.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover: Cedar Elementary,01220004,Public School,Hanover,MA,02339,"PK,K,01",Hanover,01220000,Public School District,      28,      55,      91,     105,      92,     109,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     480,      12,   2.5,      12,   2.5,      74,  15.4,      28,   5.8, , , , ,   0.6,   2.5,   1.7,  95.2,   0.0,   0.0,   0.0,  50.6,  49.4,,,,34.2,99.3,     148,100.0,14.0,"     $13,673,841","  $68,747",    198.9,"          $29,003,619.00","           2,704.0","              $10,726.19","          $30,230,244.00","           2,757.0","              $10,964.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover: Center Elementary,01220005,Public School,Hanover,MA,02339,"02,03,04",Hanover,01220000,Public School District,      21,      95,     110,     128,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     354,       1,   0.3,       1,   0.3,      52,  14.7,      18,   5.1, , , , ,   0.3,   2.3,   1.1,  96.3,   0.0,   0.0,   0.0,  55.4,  44.6,,,,24.9,98.1,     110,100.0,14.2,"     $13,673,841","  $68,747",    198.9,"          $29,003,619.00","           2,704.0","              $10,726.19","          $30,230,244.00","           2,757.0","              $10,964.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover: Hanover High,01220505,Public School,Hanover,MA,02339,"09,10,11,12",Hanover,01220000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     199,     181,     163,     154,2.0,     699,       2,   0.3,       1,   0.1,      94,  13.4,      36,   5.2, , , , ,   1.1,   1.4,   0.6,  96.7,   0.1,   0.0,   0.0,  50.5,  49.5,,,,61.0,100.0,     229,100.0,11.5,"     $13,673,841","  $68,747",    198.9,"          $29,003,619.00","           2,704.0","              $10,726.19","          $30,230,244.00","           2,757.0","              $10,964.91",       153,97.4,2.6,0.0,0.0,0.0,0.0,     697,1.0,0.1,150.0,137.0,91.3,0.0,39.989399999999996,11.3212,39.989399999999996,11.3212,6.6649,19.994699999999998,79.97879999999999,150.0,150.0,100.0,134.0,     208,82.0,34.0,15.0,2.0,1.0,34.0,53.0,65.0,26.0,30.0,41.8,58.2,149.0,506.0,511.0
Hanover: Hanover Middle,01220305,Public School,Hanover,MA,02339,"05,06,07,08",Hanover,01220000,Public School District,       0,       0,       0,       0,       0,       0,     223,     232,     233,     225,       0,       0,       0,       0,0.0,     913,       2,   0.2,       0,   0.0,     151,  16.5,      58,   6.4, , , , ,   1.0,   1.1,   0.9,  96.9,   0.1,   0.0,   0.0,  52.5,  47.5,,,,62.0,100.0,     277,100.0,14.7,"     $13,673,841","  $68,747",    198.9,"          $29,003,619.00","           2,704.0","              $10,726.19","          $30,230,244.00","           2,757.0","              $10,964.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard: Bromfield,01250505,Public School,Harvard,MA,01451,"06,07,08,09,10,11,12",Harvard,01250000,Public School District,       0,       0,       0,       0,       0,       0,       0,     108,      98,     113,     105,     113,     108,     104,0.0,     749,      16,   2.1,       2,   0.3,     115,  15.4,       1,   0.1, , , , ,   1.9,   6.1,   0.9,  90.3,   0.1,   0.1,   0.5,  47.0,  53.0,     314,17.4,        742,51.7,96.8,     238,97.5,14.5,"      $6,730,320","  $79,461",     84.7,"          $15,543,213.18","           1,261.3","              $12,323.17","          $17,751,507.06","           1,317.3","              $13,475.68",       107,97.2,0.9,0.0,0.0,1.9,0.0,     430,3.0,0.7,104.0,92.0,88.5,0.0,57.702,5.7525,25.0455,4.779,3.8055000000000003,10.62,82.7475,104.0,104.0,100.0,137.0,     270,61.0,41.0,19.0,12.0,4.0,9.0,20.0,48.0,83.0,110.0,10.7,89.3,100.0,600.0,607.0
Harvard: Hildreth Elementary School,01250005,Public School,Harvard,MA,01451,"PK,K,01,02,03,04,05",Harvard,01250000,Public School District,      24,      66,      76,      81,      81,      83,     107,       0,       0,       0,       0,       0,       0,       0,0.0,     518,      16,   3.1,       1,   0.2,      47,   9.1,       0,   0.0, , , , ,   3.9,   7.9,   2.7,  83.2,   0.0,   0.0,   2.3,  53.3,  46.7,     101,19.8,        518,33.0,100.0,     205,100.0,15.7,"      $6,730,320","  $79,461",     84.7,"          $15,543,213.18","           1,261.3","              $12,323.17","          $17,751,507.06","           1,317.3","              $13,475.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield: Hatfield Elementary,01270005,Public School,Hatfield,MA,01038,"PK,K,01,02,03,04,05,06",Hatfield,01270000,Public School District,      41,      31,      42,      26,      33,      32,      24,      33,       0,       0,       0,       0,       0,       0,0.0,     262,       8,   3.1,       1,   0.4,      23,   8.8,      28,  10.7, , , , ,   0.4,   0.0,   2.7,  93.5,   0.0,   1.5,   1.9,  51.9,  48.1,     145,15.5,        264,19.5,100.0,     110,100.0,13.4,"      $1,956,087","  $50,028",     39.1,"           $5,059,034.00",             466.5,"              $10,844.66","           $5,929,267.00",             528.0,"              $11,229.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield: Smith Academy,01270505,Public School,Hatfield,MA,01038,"07,08,09,10,11,12",Hatfield,01270000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      39,      46,      33,      34,      35,      20,0.0,     207,       1,   0.5,       0,   0.0,      37,  17.9,      26,  12.6, , , , ,   1.4,   1.0,   1.4,  94.7,   0.0,   0.5,   1.0,  49.8,  50.2,     121,12.5,        202,19.6,100.0,     132,100.0,10.6,"      $1,956,087","  $50,028",     39.1,"           $5,059,034.00",             466.5,"              $10,844.66","           $5,929,267.00",             528.0,"              $11,229.67",        23,82.6,0.0,0.0,0.0,17.4,0.0,     122,2.0,1.6,19.0,18.0,94.7,0.0,26.326600000000003,36.8383,31.535099999999996,36.8383,5.3031999999999995,15.8149,57.8617,19.0,19.0,100.0,20.0,      20,20.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,1.0,2.0,80.0,20.0,19.0,519.0,529.0
Haverhill: Bartlett School and Assessment Center,01280073,Public School,Haverhill,MA,01830,"01,02,03,04,05,06,07,08,09,10,12",Haverhill,01280000,Public School District,       0,       0,       1,       2,       0,       2,       0,       1,       1,       4,       1,       7,       4,      14,3.0,      40,       5,  12.5,       1,   2.5,      39,  97.5,      15,  37.5, , , , ,   5.0,   2.5,  30.0,  62.5,   0.0,   0.0,   0.0,  85.0,  15.0,       3,13.7,         41,6.0,66.7,       0,0.0,6.7,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,      26,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Bradford Elementary,01280008,Public School,Bradford,MA,01835,"K,01,02,03,04",Haverhill,01280000,Public School District,       0,      44,      69,      76,     142,     146,     146,       0,       0,       0,       0,       0,       0,       0,0.0,     623,      40,   6.4,      20,   3.2,     139,  22.3,     148,  23.8, , , , ,   3.9,   1.9,   9.3,  84.6,   0.0,   0.2,   0.2,  52.3,  47.7,     286,21.2,        623,40.9,97.6,     242,97.5,15.2,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Caleb Dustin Hunking School,01280030,Public School,Haverhill,MA,01835,"K,01,02,03,04,05,06,07,08",Haverhill,01280000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Consentino Middle School,01280100,Public School,Haverhill,MA,01832,"05,06,07,08",Haverhill,01280000,Public School District,       0,       0,       0,       0,       0,       0,     119,     203,     203,     170,       0,       0,       0,       0,0.0,     695,     137,  19.7,      40,   5.8,     123,  17.7,     382,  55.0, , , , ,   3.5,   1.2,  30.4,  64.3,   0.0,   0.0,   0.7,  51.8,  48.2,     232,25.2,        695,40.4,95.0,     211,91.5,17.2,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Dr Paul Nettle,01280050,Public School,Haverhill,MA,01830,"05,06,07,08",Haverhill,01280000,Public School District,       0,       0,       0,       0,       0,       0,     102,     128,     132,     133,       0,       0,       0,       0,0.0,     495,     111,  22.4,      68,  13.7,     130,  26.3,     260,  52.5, , , , ,   5.3,   2.0,  30.5,  61.8,   0.0,   0.0,   0.4,  52.5,  47.5,     199,20.9,        494,30.7,100.0,     193,84.5,16.1,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Gateway Academy,01280515,Public School,Haverhill,MA,01830,"07,08,09,10,11,12",Haverhill,01280000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Golden Hill,01280026,Public School,Haverhill,MA,01830,"K,01,02,03,04",Haverhill,01280000,Public School District,       0,      84,      90,      83,     108,     101,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     466,     127,  27.3,      82,  17.6,      68,  14.6,     173,  37.1, , , , ,   4.3,   1.3,  36.9,  57.1,   0.0,   0.0,   0.4,  53.6,  46.4,     264,19.1,        463,36.7,97.3,     223,100.0,12.7,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Greenleaf Academy,01280033,Public School,Bradford,MA,01835,"06,07,08,09,10,11,12",Haverhill,01280000,Public School District,       0,       0,       0,       0,       0,       0,       0,       4,       2,       7,      10,      13,       8,       4,0.0,      48,       2,   4.2,       1,   2.1,      46,  95.8,      36,  75.0, , , , ,   8.3,   0.0,  29.2,  62.5,   0.0,   0.0,   0.0,  91.7,   8.3,      51,5.9,         48,9.0,66.7,      44,68.2,5.3,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",         9,22.2,33.3,0.0,11.1,33.3,0.0,      35,5.0,14.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Haverhill High,01280505,Public School,Haverhill,MA,01832,"09,10,11,12",Haverhill,01280000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     518,     437,     420,     359,14.0,"   1,748",     274,  15.7,     109,   6.2,     346,  19.8,     718,  41.1, , , , ,   4.8,   2.3,  22.9,  69.5,   0.1,   0.0,   0.3,  52.2,  47.8,     698,16.8,"      1,750",126.6,94.1,     626,88.7,13.8,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",       464,69.2,11.2,1.3,3.2,15.1,0.0,"   1,734",114.0,6.6,372.0,258.0,69.4,0.27760000000000007,15.059800000000001,31.9934,22.069200000000002,30.674800000000005,4.025200000000001,14.0188,37.129000000000005,372.0,140.0,37.6,235.0,     369,145.0,58.0,24.0,6.0,2.0,67.0,80.0,110.0,75.0,37.0,39.8,60.2,228.0,510.0,513.0
Haverhill: John G Whittier,01280085,Public School,Haverhill,MA,01830,"05,06,07,08",Haverhill,01280000,Public School District,       0,       0,       0,       0,       0,       0,     115,     125,     121,     116,       0,       0,       0,       0,0.0,     477,      57,  11.9,      20,   4.2,      82,  17.2,     206,  43.2, , , , ,   4.2,   1.0,  20.1,  74.0,   0.0,   0.0,   0.6,  53.9,  46.1,     138,29.1,        478,25.2,84.1,     130,87.7,18.9,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Moody,01280045,Public School,Haverhill,MA,01832,"PK,K",Haverhill,01280000,Public School District,     184,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     184,       7,   3.8,       0,   0.0,      96,  52.2,       3,   1.6, , , , ,   4.3,   0.5,  20.1,  75.0,   0.0,   0.0,   0.0,  62.5,  37.5,     207,8.0,        183,12.1,100.0,     120,100.0,15.2,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Moody Preschool Extension,01280001,Public School,Haverhill,MA,01830,PK,Haverhill,01280000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Pentucket Lake Elementary,01280054,Public School,Haverhill,MA,01830,"K,01,02,03,04,05",Haverhill,01280000,Public School District,       0,      72,      80,      86,     133,     126,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     497,      86,  17.3,      37,   7.4,     133,  26.8,     195,  39.2, , , , ,   3.8,   1.6,  27.2,  66.6,   0.2,   0.4,   0.2,  56.9,  43.1,     312,16.3,        497,37.7,97.3,     249,92.0,13.2,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Silver Hill Elementary School,01280067,Public School,Haverhill,MA,01832,"K,01,02,03,04,05",Haverhill,01280000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Tilton,01280075,Public School,Haverhill,MA,01832,"K,01,02,03",Haverhill,01280000,Public School District,       0,     103,     126,     129,     137,     130,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     625,     162,  25.9,      80,  12.8,      86,  13.8,     396,  63.4, , , , ,   4.3,   1.3,  45.8,  47.2,   0.0,   0.2,   1.3,  49.9,  50.1,     311,20.8,        625,44.9,97.8,     248,100.0,13.9,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Tilton Upper Middle School,01280105,Public School,Haverhill,MA,01830,"04,05",Haverhill,01280000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill: Walnut Square,01280080,Public School,Haverhill,MA,01830,"K,01,02",Haverhill,01280000,Public School District,       0,      46,      59,      39,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     144,       8,   5.6,       0,   0.0,       4,   2.8,      14,   9.7, , , , ,   0.7,   2.1,   8.3,  88.9,   0.0,   0.0,   0.0,  45.8,  54.2,      85,17.9,        144,7.8,100.0,      65,100.0,18.5,"     $30,557,385","  $66,213",    461.5,"          $80,623,113.00","           6,906.1","              $11,674.19","          $93,790,944.00","           8,136.2","              $11,527.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawlemont: Hawlemont Regional,06850005,Public School,Charlemont,MA,01339,"PK,K,01,02,03,04,05,06",Hawlemont,06850000,Public School District,      11,       5,      10,      15,      11,      18,      14,      14,       0,       0,       0,       0,       0,       0,0.0,      98,       1,   1.0,       1,   1.0,      24,  24.5,      47,  48.0, , , , ,   0.0,   2.0,   4.1,  92.9,   0.0,   0.0,   1.0,  49.0,  51.0,      26,13.2,         97,10.4,100.0,      50,100.0,9.5,"        $514,035","  $49,426",     10.4,"           $1,636,145.83",              96.1,"              $17,025.45","           $1,826,143.83",             113.1,"              $16,146.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District): Helen Y. Davis Leadership Academy Charter Public School,04190305,Charter School,Boston,MA,02122,"06,07,08",Helen Y. Davis Leadership Academy Charter Public (District),04190000,Charter District,       0,       0,       0,       0,       0,       0,       0,      87,      63,      57,       0,       0,       0,       0,0.0,     207,       5,   2.4,       5,   2.4,      36,  17.4,     181,  87.4, , , , ,  83.6,   0.0,  15.0,   0.0,   0.0,   1.0,   0.5,  48.3,  51.7,      84,17.2,        207,17.9,35.2,     169,95.3,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
