School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH
Hill View Montessori Charter Public (District): Hill View Montessori Charter Public School,04550050,Charter School,Haverhill,MA,01835,"K,01,02,03,04,05,06,07,08",Hill View Montessori Charter Public (District),04550000,Charter District,       0,      35,      32,      33,      34,      40,      34,      31,      32,      32,       0,       0,       0,       0,       0,     303,      36,  11.9,      18,   5.9,      58,  19.1, , ,     150,  49.5,      95,  31.4,5.0,0.3,27.4,63.4,0.0,0.0,4.0,48.5,51.5,0.0,     122,20.7,        304,24.0,79.2,12.6,66.7,87.5,66.7,"      $1,528,087","  $63,670",     24.0,,,,,,,,"           $4,790,730.43",             305.1,"              $15,700.62","           $4,790,730.43",             305.1,"              $15,700.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          72,37.0,           5,3.0,          67,34.0,          98,50.0,          27,14.0,         197,97.0,492.0,34.0,         124,          15,8.0,           1,1.0,          14,7.0,          95,49.0,          84,43.0,         194,96.0,473.0,22.0,         124
Hilltown Cooperative Charter Public (District): Hilltown Cooperative Charter Public School,04500105,Charter School,Easthampton,MA,01027,"K,01,02,03,04,05,06,07,08",Hilltown Cooperative Charter Public (District),04500000,Charter District,       0,      20,      20,      20,      21,      22,      22,      30,      31,      32,       0,       0,       0,       0,       0,     218,       3,   1.4,       0,   0.0,      33,  15.1, , ,      56,  25.7,      35,  16.1,0.9,2.8,3.2,79.8,0.0,0.0,13.3,50.9,48.6,0.5,      53,25.7,        218,20.0,90.5,10.9,77.4,100.0,68.2,"      $1,352,913","  $67,815",     20.0,,,,,,,,"           $3,451,158.99",             218.0,"              $15,831.00","           $3,451,158.99",             218.0,"              $15,831.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          94,65.0,          21,14.0,          73,50.0,          41,28.0,          10,7.0,         145,92.0,507.0,46.0,          93,          63,45.0,          10,7.0,          53,38.0,          65,46.0,          12,9.0,         140,89.0,498.0,36.0,          94
Hingham: East Elementary School,01310005,Public School,Hingham,MA,02043,"PK,K,01,02,03,04,05",Hingham,01310000,Public School District,      27,      47,      51,      60,      63,      68,      81,       0,       0,       0,       0,       0,       0,       0,       0,     397,       5,   1.3,       0,   0.0,      68,  17.1, , ,      84,  21.2,      28,   7.1,1.8,1.3,3.5,90.2,0.0,0.0,3.3,50.1,49.9,0.0,     193,15.9,        431,35.9,97.3,11.1,86.2,100.0,93.5,"     $29,708,811","  $99,261",    299.3,      53,      46,  86.8,  15.2,  84.8,   0.0,   0.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         140,68.0,          23,11.0,         117,57.0,          65,32.0,           0,0.0,         205,99.0,509.0,40.0,          74,         113,55.0,          18,9.0,          95,46.0,          84,41.0,           8,4.0,         205,99.0,502.0,48.0,          74
Hingham: Hingham High,01310505,Public School,Hingham,MA,02043,"09,10,11,12",Hingham,01310000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     306,     332,     327,     317,       4,"   1,286",      20,   1.6,       4,   0.3,     117,   9.1, , ,     186,  14.5,      93,   7.2,1.6,2.7,3.5,89.2,0.0,0.0,3.0,51.6,48.4,0.1,"   1,088",7.9,"      1,282",89.9,100.0,14.3,92.3,95.6,98.0,"     $29,708,811","  $99,261",    299.3,     115,     105,  91.3,  15.2,  81.9,   1.9,   1.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",316.0,95.9,2.2,0.0,0.6,1.3,0.0,"   1,282",2.0,0.2,304.0,253.0,83.2,0.0,43.1,2.6,37.5,2.3,2.6,8.6,80.6,304.0,304.0,100.0,     304,     588,131.0,85.0,70.0,14.0,4.0,15.0,62.0,170.0,196.0,145.0,13.1,86.9,365.0,619.0,615.0,         639,         539,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: Hingham Middle School,01310410,Public School,Hingham,MA,02043,"06,07,08",Hingham,01310000,Public School District,       0,       0,       0,       0,       0,       0,       0,     298,     336,     291,       0,       0,       0,       0,       0,     925,      18,   1.9,       1,   0.1,     132,  14.3, , ,     176,  19.0,      55,   5.9,2.2,3.4,3.8,87.7,0.1,0.0,2.9,50.8,49.1,0.1,     467,18.4,        928,73.5,100.0,12.6,94.6,98.6,94.9,"     $29,708,811","  $99,261",    299.3,      93,      91,  97.8,  12.1,  86.8,   1.1,   0.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         710,80.0,         284,32.0,         426,48.0,         156,18.0,          24,3.0,         890,98.0,520.0,53.0,         841,         534,60.0,          90,10.0,         444,50.0,         312,35.0,          38,4.0,         884,97.0,506.0,30.0,         836
Hingham: Plymouth River,01310019,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      46,      60,      54,      65,      63,      75,       0,       0,       0,       0,       0,       0,       0,       0,     363,      12,   3.3,       4,   1.1,      53,  14.6, , ,      72,  19.8,      21,   5.8,3.6,2.5,4.4,87.1,0.3,0.0,2.2,46.8,53.2,0.0,     159,18.3,        364,31.1,100.0,11.7,100.0,100.0,100.0,"     $29,708,811","  $99,261",    299.3,      45,      40,  88.9,  55.0,  42.5,   2.5,   0.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         148,75.0,          33,17.0,         115,58.0,          49,25.0,           1,1.0,         198,100.0,512.0,42.0,          74,         126,64.0,          26,13.0,         100,51.0,          62,31.0,          10,5.0,         198,100.0,507.0,44.0,          74
Hingham: South Elementary,01310020,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      64,      71,      87,      88,      82,      86,       0,       0,       0,       0,       0,       0,       0,       0,     478,       7,   1.5,       0,   0.0,      60,  12.6, , ,      71,  14.9,      18,   3.8,1.3,4.6,2.1,88.5,0.0,0.0,3.6,49.8,50.2,0.0,     191,20.3,        485,32.8,93.9,14.6,81.7,100.0,95.3,"     $29,708,811","  $99,261",    299.3,      51,      44,  86.3,  52.3,  47.7,   0.0,   0.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         204,81.0,          71,28.0,         133,53.0,          44,17.0,           5,2.0,         253,100.0,517.0,51.0,          78,         173,68.0,          32,13.0,         141,56.0,          74,29.0,           6,2.0,         253,100.0,510.0,49.0,          78
Hingham: Wm L Foster Elementary,01310010,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      58,      72,      74,      76,      86,      79,       0,       0,       0,       0,       0,       0,       0,       0,     445,      10,   2.2,       3,   0.7,      72,  16.2, , ,     101,  22.7,      35,   7.9,1.6,1.8,5.6,84.3,0.0,0.0,6.7,54.2,45.8,0.0,     195,18.6,        456,36.2,100.0,12.3,88.9,100.0,100.0,"     $29,708,811","  $99,261",    299.3,      50,      41,  82.0,  29.3,  70.7,   0.0,   0.0,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         179,76.0,          54,23.0,         125,53.0,          51,22.0,           5,2.0,         235,100.0,515.0,40.0,          74,         156,67.0,          25,11.0,         131,56.0,          71,30.0,           7,3.0,         234,99.0,507.0,47.0,          74
Holbrook: Holbrook Middle High School,01330505,Public School,Holbrook,MA,02343,"06,07,08,09,10,11,12",Holbrook,01330000,Public School District,       0,       0,       0,       0,       0,       0,       0,      89,     101,      96,      96,      78,      67,      57,       5,     589,     119,  20.2,      25,   4.2,      99,  16.8, , ,     296,  50.3,     212,  36.0,23.4,6.3,14.6,47.9,0.3,0.0,7.5,51.1,48.7,0.2,     340,14.7,        598,44.7,100.0,13.2,74.3,85.7,98.0,"      $7,261,155","  $75,090",     96.7,      56,      53,  94.6,-,-,-,-,"          $18,997,520.20","           1,264.7","              $15,021.36","          $22,215,706.48","           1,355.1","              $16,394.15",68.0,88.2,0.0,1.5,1.5,8.8,0.0,     298,5.0,1.7,60.0,35.0,58.3,0.0,20.0,15.0,23.3,15.0,10.0,11.7,43.3,60.0,60.0,100.0,      41,      74,23.0,7.0,7.0,4.0,0.0,7.0,33.0,18.0,10.0,6.0,54.1,45.9,4.0,,,         125,          76,60.8,         110,42.0,          12,5.0,          98,38.0,         108,41.0,          43,16.0,         261,96.0,494.0,31.0,         246,          65,25.0,           2,1.0,          63,24.0,         138,52.0,          60,23.0,         263,97.0,485.0,20.0,         248
Holbrook: John F Kennedy,01330018,Public School,Holbrook,MA,02343,"PK,K,01,02,03,04,05",Holbrook,01330000,Public School District,      37,      87,     110,     117,     106,     116,     106,       0,       0,       0,       0,       0,       0,       0,       0,     679,     136,  20.0,      44,   6.5,     119,  17.5, , ,     335,  49.3,     222,  32.7,19.7,5.0,14.9,52.6,0.3,0.0,7.5,54.2,45.8,0.0,     355,15.8,        683,52.0,100.0,13.1,88.5,100.0,98.1,"      $7,261,155","  $75,090",     96.7,      61,      59,  96.7,   8.5,  88.1,   3.4,   0.0,"          $18,997,520.20","           1,264.7","              $15,021.36","          $22,215,706.48","           1,355.1","              $16,394.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         144,45.0,          14,4.0,         130,41.0,         149,47.0,          26,8.0,         319,99.0,498.0,34.0,          95,          86,27.0,           2,1.0,          84,26.0,         163,51.0,          70,22.0,         319,99.0,486.0,26.0,          95
Holland: Holland Elementary,01350005,Public School,Holland,MA,01521,"PK,K,01,02,03,04,05,06",Holland,01350000,Public School District,      11,      20,      18,      26,      33,      29,      26,      31,       0,       0,       0,       0,       0,       0,       0,     194,       0,   0.0,       0,   0.0,      26,  13.4, , ,      78,  40.2,      63,  32.5,0.5,1.5,7.7,87.6,0.5,0.0,2.1,56.7,43.3,0.0,      77,15.7,        202,17.4,97.7,11.1,86.2,94.3,94.7,"      $1,339,221","  $74,817",     17.9,      23,      21,  91.3,  14.3,  81.0,   4.8,   0.0,"           $3,337,239.00",             198.9,"              $16,778.48","           $3,897,968.00",             212.4,"              $18,352.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          63,51.0,           9,7.0,          54,44.0,          46,37.0,          15,12.0,         124,100.0,498.0,50.0,          54,          44,35.0,           2,2.0,          42,34.0,          55,44.0,          25,20.0,         124,100.0,489.0,53.0,          54
Holliston: Holliston High,01360505,Public School,Holliston,MA,01746,"09,10,11,12",Holliston,01360000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     194,     199,     212,     201,       5,     811,      80,   9.9,       7,   0.9,     121,  14.9, , ,     167,  20.6,      62,   7.6,1.1,8.6,5.4,82.4,0.6,0.0,1.8,50.2,49.8,0.0,     508,15.3,        816,63.4,100.0,12.8,92.1,96.3,98.5,"     $18,184,066","  $87,172",    208.6,      80,      79,  98.8,  12.7,  86.1,   1.3,   0.0,"          $40,459,641.82","           2,770.6","              $14,603.21","          $45,478,237.05","           2,874.3","              $15,822.37",195.0,95.9,3.1,0.0,0.0,1.0,0.0,     806,5.0,0.6,189.0,161.0,85.2,0.0,40.2,4.8,40.2,4.8,6.9,7.4,80.4,189.0,179.0,94.7,     254,     452,121.0,80.0,42.0,10.0,1.0,67.0,103.0,117.0,98.0,67.0,37.6,62.4,204.0,601.0,601.0,         413,         316,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston: Miller School,01360007,Public School,Holliston,MA,01746,"03,04,05",Holliston,01360000,Public School District,       0,       0,       0,       0,     213,     224,     229,       0,       0,       0,       0,       0,       0,       0,       0,     666,      88,  13.2,      16,   2.4,     110,  16.5, , ,     184,  27.6,      61,   9.2,0.9,10.1,5.1,78.5,0.8,0.2,4.5,53.0,47.0,0.0,     158,39.8,        664,49.5,99.5,13.4,93.2,97.2,100.0,"     $18,184,066","  $87,172",    208.6,      66,      64,  97.0,   6.3,  92.2,   1.6,   0.0,"          $40,459,641.82","           2,770.6","              $14,603.21","          $45,478,237.05","           2,874.3","              $15,822.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         408,63.0,          64,10.0,         344,53.0,         205,32.0,          32,5.0,         645,98.0,505.0,37.0,         217,         336,52.0,          50,8.0,         286,44.0,         246,38.0,          64,10.0,         646,99.0,500.0,55.0,         217
Holliston: Placentino Elementary,01360010,Public School,Holliston,MA,01746,"PK,K,01,02",Holliston,01360000,Public School District,      61,     176,     192,     169,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     598,      57,   9.5,      32,   5.4,      74,  12.4, , ,     128,  21.4,      39,   6.5,1.8,11.0,3.2,81.6,0.0,0.5,1.8,54.8,45.0,0.2,      71,43.7,        614,44.2,98.9,13.5,82.2,93.5,98.0,"     $18,184,066","  $87,172",    208.6,      63,      61,  96.8,   4.9,  93.4,   1.6,   0.0,"          $40,459,641.82","           2,770.6","              $14,603.21","          $45,478,237.05","           2,874.3","              $15,822.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston: Robert H. Adams Middle School,01360305,Public School,Holliston,MA,01746,"06,07,08",Holliston,01360000,Public School District,       0,       0,       0,       0,       0,       0,       0,     227,     222,     230,       0,       0,       0,       0,       0,     679,      93,  13.7,      13,   1.9,     131,  19.3, , ,     196,  28.9,      70,  10.3,0.9,8.4,6.2,81.1,0.0,0.1,3.2,50.5,49.5,0.0,     473,19.3,        682,51.4,98.1,13.2,86.4,94.2,91.1,"     $18,184,066","  $87,172",    208.6,      65,      60,  92.3,   6.7,  91.7,   1.7,   0.0,"          $40,459,641.82","           2,770.6","              $14,603.21","          $45,478,237.05","           2,874.3","              $15,822.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         401,60.0,          75,11.0,         326,49.0,         204,31.0,          58,9.0,         663,99.0,505.0,47.0,         637,         334,50.0,          49,7.0,         285,43.0,         271,41.0,          58,9.0,         663,99.0,501.0,45.0,         636
Holyoke: E N White Elementary,01370045,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,      76,      64,      68,      69,      48,      54,      50,       0,       0,       0,       0,       0,       0,       0,       0,     429,      98,  22.8,      35,   8.2,     106,  24.7, , ,     328,  76.5,     302,  70.4,3.3,0.7,71.1,22.4,0.0,0.0,2.6,54.3,45.7,0.0,     127,21.0,        426,26.8,92.5,16.0,77.6,96.3,90.0,"     $29,659,366","  $72,819",    407.3,      39,      38,  97.4,  18.4,  81.6,   0.0,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          23,18.0,           1,1.0,          22,17.0,          77,60.0,          29,22.0,         129,89.0,484.0,35.0,          40,           9,7.0,           0,0.0,           9,7.0,          52,40.0,          68,53.0,         129,89.0,469.0,45.0,          40
Holyoke: H.B. Lawrence School,01370070,Public School,Holyoke,MA,01040,"PK,K,01,02,03",Holyoke,01370000,Public School District,       0,      39,      52,      45,      42,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     178,      44,  24.7,      22,  12.4,      34,  19.1, , ,     172,  96.6,     171,  96.1,7.9,0.6,79.2,9.6,0.0,0.0,2.8,52.2,47.8,0.0,      66,14.6,        192,17.9,94.4,9.9,50.8,95.5,90.0,"     $29,659,366","  $72,819",    407.3,      27,      27, 100.0,   3.7,  85.2,  11.1,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           3,8.0,           0,0.0,           3,8.0,          24,63.0,          11,29.0,          38,95.0,477.0,,,           1,3.0,           0,0.0,           1,3.0,          16,41.0,          22,56.0,          39,98.0,464.0,,
Holyoke: Holyoke High,01370505,Public School,Holyoke,MA,01040,"09,10,11,12",Holyoke,01370000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     361,     380,     378,     447,       0,"   1,566",     711,  45.4,     344,  22.0,     377,  24.1, , ,"   1,276",  81.5,"   1,206",  77.0,3.1,0.3,80.0,15.5,0.1,0.1,0.9,52.4,47.4,0.1,     978,16.4,"      1,443",107.5,92.6,14.6,64.3,84.2,88.9,"     $29,659,366","  $72,819",    407.3,     154,     150,  97.4,  22.7,  68.0,   9.3,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",417.0,75.8,10.3,1.2,0.5,12.2,0.0,"   1,566",119.0,7.6,360.0,108.0,30.0,0.0,9.4,14.7,5.8,13.9,2.2,2.5,15.2,360.0,147.0,40.8,      71,     109,44.0,18.0,7.0,2.0,0.0,44.0,35.0,13.0,10.0,7.0,72.5,27.5,30.0,542.0,493.0,         827,         334,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Holyoke Middle School,01370325,Public School,Holyoke,MA,01040,"06,07,08",Holyoke,01370000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,659,366","  $72,819",    407.3,,,,,,,,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Holyoke STEM Academy,01370320,Public School,Holyoke,MA,01040,"06,07,08",Holyoke,01370000,Public School District,       0,       0,       0,       0,       0,       0,       0,      95,      56,      97,       0,       0,       0,       0,       0,     248,     108,  43.5,      65,  26.2,      69,  27.8, , ,     219,  88.3,     203,  81.9,3.6,0.8,82.7,11.7,0.0,0.0,1.2,54.4,45.6,0.0,     113,18.6,        265,21.3,95.3,11.6,47.0,95.3,79.2,"     $29,659,366","  $72,819",    407.3,      27,      27, 100.0,   7.4,  88.9,   3.7,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          18,8.0,           1,0.0,          17,7.0,          91,40.0,         118,52.0,         227,94.0,471.0,29.0,         206,           8,4.0,           0,0.0,           8,4.0,          81,36.0,         136,60.0,         225,93.0,467.0,23.0,         203
Holyoke: Joseph Metcalf School,01370003,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,      31,      39,      42,      41,      38,      41,      34,      32,       0,       0,       0,       0,       0,       0,       0,     298,     116,  38.9,      50,  16.8,      56,  18.8, , ,     200,  67.1,     179,  60.1,2.0,0.0,71.1,24.5,0.0,0.0,2.3,45.3,54.7,0.0,     111,18.5,        293,23.6,78.8,12.6,44.6,91.5,74.1,"     $29,659,366","  $72,819",    407.3,      33,      32,  97.0,   9.4,  81.3,   9.4,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          39,31.0,           3,2.0,          36,29.0,          57,45.0,          30,24.0,         126,94.0,488.0,30.0,          54,          19,15.0,           0,0.0,          19,15.0,          54,43.0,          52,42.0,         125,93.0,474.0,14.0,          54
Holyoke: Kelly Elementary,01370040,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,      17,      52,      58,      53,      51,      57,       0,       0,       0,      48,       0,       0,       0,       0,       0,     336,     145,  43.2,      76,  22.6,      71,  21.1, , ,     323,  96.1,     313,  93.2,3.0,0.0,94.6,2.1,0.0,0.0,0.3,53.6,46.4,0.0,     120,17.8,        342,27.2,92.7,12.3,57.8,92.6,87.1,"     $29,659,366","  $72,819",    407.3,      36,      36, 100.0,   8.3,  77.8,  13.9,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           8,6.0,           0,0.0,           8,6.0,          70,51.0,          58,43.0,         136,95.0,473.0,39.0,          37,           2,1.0,           0,0.0,           2,1.0,          30,21.0,         108,77.0,         140,97.0,460.0,32.0,          38
Holyoke: Lt Clayre Sullivan Elementary,01370055,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,      23,      34,      45,      45,      37,      64,      51,      52,      60,      50,       0,       0,       0,       0,       0,     461,     171,  37.1,      82,  17.8,     118,  25.6, , ,     406,  88.1,     387,  83.9,1.3,1.7,86.3,9.5,0.0,0.0,1.1,56.4,43.6,0.0,     200,15.1,        469,36.1,100.0,12.8,63.7,80.3,97.4,"     $29,659,366","  $72,819",    407.3,      48,      47,  97.9,   4.3,  80.9,  14.9,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40,14.0,           1,0.0,          39,13.0,         129,44.0,         124,42.0,         293,97.0,476.0,22.0,         173,          18,6.0,           0,0.0,          18,6.0,         126,43.0,         148,51.0,         292,96.0,471.0,29.0,         173
Holyoke: Lt Elmer J McMahon Elementary,01370015,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,      25,      27,      40,      27,      43,      45,      29,      41,      43,      43,       0,       0,       0,       0,       0,     363,      85,  23.4,      45,  12.4,     114,  31.4, , ,     291,  80.2,     261,  71.9,2.5,2.5,59.0,33.9,0.0,0.0,2.2,52.1,47.9,0.0,     134,18.2,        358,30.0,100.0,12.1,63.3,96.7,100.0,"     $29,659,366","  $72,819",    407.3,      36,      35,  97.2,   2.9,  94.3,   2.9,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          42,19.0,           4,2.0,          38,17.0,         116,52.0,          65,29.0,         223,96.0,481.0,37.0,         134,           9,4.0,           1,0.0,           8,4.0,         116,52.0,          97,44.0,         222,96.0,471.0,34.0,         134
Holyoke: Maurice A Donahue Elementary,01370060,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,      32,      51,      46,      58,      53,      50,      47,       0,      42,      44,       0,       0,       0,       0,       0,     423,     139,  32.9,      80,  18.9,     141,  33.3, , ,     388,  91.7,     373,  88.2,4.0,0.5,82.3,11.8,0.0,0.2,1.2,54.8,45.2,0.0,     197,15.2,        432,37.5,92.0,11.3,64.5,89.3,82.9,"     $29,659,366","  $72,819",    407.3,      48,      47,  97.9,  25.5,  74.5,   0.0,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          23,11.0,           0,0.0,          23,11.0,          96,45.0,          93,44.0,         212,96.0,476.0,30.0,         111,           4,2.0,           0,0.0,           4,2.0,          69,33.0,         139,66.0,         212,95.0,464.0,31.0,         114
Holyoke: Morgan Full Service Community School,01370025,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,      62,      43,      49,      41,      39,      42,       0,       0,       0,       0,       0,       0,       0,       0,       0,     276,      94,  34.1,      49,  17.8,      73,  26.4, , ,     266,  96.4,     261,  94.6,5.1,0.0,92.0,2.9,0.0,0.0,0.0,49.6,50.4,0.0,      58,19.8,        287,19.3,100.0,14.3,71.6,94.8,90.9,"     $29,659,366","  $72,819",    407.3,      29,      28,  96.6,   0.0,  89.3,  10.7,   0.0,"          $98,334,119.35","           5,175.7","              $18,999.19","         $121,010,496.50","           6,460.1","              $18,731.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           9,12.0,           1,1.0,           8,11.0,          42,55.0,          25,33.0,          76,98.0,478.0,,,           0,0.0,           0,0.0,           0,0.0,          16,21.0,          60,79.0,          76,98.0,458.0,,
