School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Overall Improvement Toward Improvement Targets (%)
Mount Greylock: Lanesborough Elementary,07150005,Public School,Lanesborough,MA,01237,"PK,K,01,02,03,04,05,06",Mount Greylock,07150000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $3,620,181","  $79,564",     46.0,,,,,,,,"          $10,348,495.00",             531.5,"              $19,470.36","          $11,509,124.72",             579.3,"              $19,867.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Greylock: Mt Greylock Regional High,07150505,Public School,Williamstown,MA,01267,"07,08,09,10,11,12",Mount Greylock,07150000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      94,      90,      94,      82,      92,      81,       3,     536,       3,0.6,       1,0.2,      73,13.6,     132,24.6,      87,16.2,1.1,1.9,2.6,90.1,0.0,0.0,4.3,48.1,51.9,     333,13.1,        536,45.5,100.0,  11.8 to 1,93.4,95.6,"      $3,620,181","  $79,564",     46.0,55.0,52.0,94.5,   7.7,  92.3,   0.0,   0.0,"          $10,348,495.00",             531.5,"              $19,470.36","          $11,509,124.72",             579.3,"              $19,867.30",        82,95.1,1.2,0.0,1.2,2.4,0.0,     349,3.0,0.9,79.0,61.0,77.2,0.0,63.9,19.7,16.4,16.4,4.9,4.9,79.0,24.0,30.4,     143,     282,62.0,40.0,27.0,11.0,3.0,21.0,62.0,59.0,74.0,66.0,29.4,70.6,109.0,616.0,598.0,         171,         131,76.6,         135,75.0,          61,34.0,          74,41.0,          41,23.0,           4,2.0,         180,519.0,62.5,         168,98.0,         114,64.0,          17,9.0,          97,54.0,          58,32.0,           7,4.0,         179,506.1,36.7,         166,78.0,Not requiring assistance or intervention,Partially meeting targets,61.0,73.0
Mount Greylock: Williamstown Elementary,07150010,Public School,Williamstown,MA,01267,"PK,K,01,02,03,04,05,06",Mount Greylock,07150000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $3,620,181","  $79,564",     46.0,,,,,,,,"          $10,348,495.00",             531.5,"              $19,470.36","          $11,509,124.72",             579.3,"              $19,867.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School,04700105,Charter School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08,09,10,11,12",Mystic Valley Regional Charter (District),04700000,Charter District,       0,     156,     127,     128,     127,     148,     150,     149,     128,      93,      91,      96,      89,      89,       0,"   1,571",     608,38.7,      39,2.5,     200,12.7,     492,31.3,     301,19.2,17.3,19.6,9.3,49.3,0.3,0.0,4.3,49.9,50.1,     754,23.8,"      1,555",100.5,53.2,  15.6 to 1,41.8,76.6,,,,,,,,,,,"          $20,118,558.00","           1,563.7","              $12,866.24","          $20,118,558.00","           1,563.7","              $12,866.24",        92,96.7,0.0,0.0,0.0,3.3,0.0,     365,0.0,0.0,89.0,85.0,95.5,0.0,49.4,3.5,47.1,3.5,5.9,27.1,89.0,89.0,100.0,       1,,,,,,,,,,,,,,125.0,583.0,596.0,         178,         174,97.8,         476,61.0,          63,8.0,         413,53.0,         299,38.0,           7,1.0,         782,505.8,50.9,         631,67.0,         436,56.0,          57,7.0,         379,48.0,         325,42.0,          21,3.0,         782,503.4,46.8,         631,67.0,Not requiring assistance or intervention,Partially meeting targets,89.0,51.0
Nahant: Johnson,01960010,Public School,Nahant,MA,01908,"PK,K,01,02,03,04,05,06",Nahant,01960000,Public School District,      22,      13,      19,      19,      20,      12,      23,      19,       0,       0,       0,       0,       0,       0,       0,     147,       1,0.7,       0,0.0,       9,6.1,      37,25.2,      29,19.7,0.0,0.7,4.8,93.9,0.0,0.0,0.7,49.0,51.0,      57,17.6,        149,9.5,97.9,  15.5 to 1,91.1,97.9,"        $708,408","  $74,569",     10.0,16.0,16.0,100.0,  18.8,  68.8,   6.3,   6.3,"           $2,733,406.22",             148.2,"              $18,444.04","           $4,484,315.22",             270.1,"              $16,602.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40,55.0,           5,7.0,          35,48.0,          32,44.0,           1,1.0,          73,504.9,37.5,          52,64.0,          38,53.0,           2,3.0,          36,50.0,          30,42.0,           4,6.0,          72,497.7,44.4,          51,45.0,Not requiring assistance or intervention,Partially meeting targets,51.0,52.0
Nantucket: Cyrus Peirce,01970010,Public School,Nantucket,MA,02554,"06,07,08",Nantucket,01970000,Public School District,       0,       0,       0,       0,       0,       0,       0,     114,     127,     107,       0,       0,       0,       0,       0,     348,      91,26.1,      44,12.6,      51,14.7,     147,42.2,      86,24.7,10.9,1.1,27.0,56.0,0.0,0.0,4.9,48.0,52.0,     216,18.9,        367,33.0,93.9,  10.5 to 1,69.7,87.9,"     $12,580,316","  $87,729",    143.0,42.0,42.0,100.0,   9.5,  78.6,  11.9,   0.0,"          $35,658,480.00","           1,625.4","              $21,938.28","          $36,670,824.84","           1,636.0","              $22,414.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         141,42.0,          27,8.0,         114,34.0,         139,41.0,          55,16.0,         335,495.8,62.8,         312,28.0,         107,32.0,           6,2.0,         101,30.0,         171,51.0,          56,17.0,         334,490.3,51.5,         311,20.0,Not requiring assistance or intervention,Partially meeting targets,30.0,64.0
Nantucket: Nantucket Elementary,01970005,Public School,Nantucket,MA,02554,"PK,K,01,02",Nantucket,01970000,Public School District,      36,     118,      94,     115,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     363,     168,46.3,     108,29.8,      43,11.8,     187,51.5,     104,28.7,7.4,1.4,38.3,49.0,0.0,0.0,3.9,51.8,48.2,     193,18.6,        377,32.9,97.0,  11.0 to 1,72.6,84.8,"     $12,580,316","  $87,729",    143.0,41.0,41.0,100.0,  12.2,  82.9,   4.9,   0.0,"          $35,658,480.00","           1,625.4","              $21,938.28","          $36,670,824.84","           1,636.0","              $22,414.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Nantucket: Nantucket High,01970505,Public School,Nantucket,MA,02554,"09,10,11,12",Nantucket,01970000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     120,     149,     136,     126,       2,     533,     124,23.3,      65,12.2,      85,15.9,     207,38.8,     117,22.0,13.7,1.5,22.9,58.3,0.4,0.2,3.0,51.6,48.4,     296,15.2,        545,47.0,96.6,  11.3 to 1,70.6,65.9,"     $12,580,316","  $87,729",    143.0,59.0,59.0,100.0,  16.9,  72.9,  10.2,   0.0,"          $35,658,480.00","           1,625.4","              $21,938.28","          $36,670,824.84","           1,636.0","              $22,414.93",       149,80.5,6.7,4.7,0.7,7.4,0.0,     531,11.0,2.1,121.0,81.0,66.9,0.0,53.1,4.9,42.0,4.9,11.1,8.6,121.0,121.0,100.0,     115,     197,62.0,29.0,20.0,3.0,1.0,14.0,52.0,63.0,36.0,32.0,33.5,66.5,163.0,540.0,516.0,         265,         164,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,42.0,44.0
Nantucket: Nantucket Intermediate School,01970020,Public School,Nantucket,MA,02554,"03,04,05",Nantucket,01970000,Public School District,       0,       0,       0,       0,     124,     136,     115,       0,       0,       0,       0,       0,       0,       0,       0,     375,     134,35.7,      89,23.7,      33,8.8,     174,46.4,     102,27.2,9.1,1.9,37.1,49.3,0.0,0.0,2.7,52.8,47.2,     192,21.8,        388,29.5,96.6,  12.7 to 1,83.1,93.2,"     $12,580,316","  $87,729",    143.0,40.0,40.0,100.0,  10.0,  82.5,   7.5,   0.0,"          $35,658,480.00","           1,625.4","              $21,938.28","          $36,670,824.84","           1,636.0","              $22,414.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         151,43.0,          24,7.0,         127,36.0,         177,50.0,          27,8.0,         355,497.5,56.7,         223,33.0,         110,31.0,          11,3.0,          99,28.0,         195,55.0,          50,14.0,         355,491.4,50.1,         222,23.0,Not requiring assistance or intervention,Meeting targets,36.0,78.0
Narragansett: Narragansett Middle,07200305,Public School,Baldwinville,MA,01436,"05,06,07",Narragansett,07200000,Public School District,       0,       0,       0,       0,       0,       0,     116,     118,     104,     119,       0,       0,       0,       0,       0,     457,       3,0.7,       1,0.2,      71,15.5,     169,37.0,     133,29.1,0.9,0.0,6.6,89.5,0.0,0.2,2.8,51.4,48.6,     147,23.9,        468,29.3,100.0,  15.6 to 1,93.2,88.0,"      $7,111,842","  $72,942",     98.0,38.0,36.0,94.7,  19.4,  75.0,   2.8,   2.8,"          $18,335,704.00","           1,449.3","              $12,651.42","          $20,848,449.80","           1,606.0","              $12,981.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         176,39.0,          13,3.0,         163,37.0,         215,48.0,          55,12.0,         446,494.5,46.5,         426,23.0,         193,43.0,          10,2.0,         183,41.0,         212,48.0,          40,9.0,         445,496.2,50.2,         425,39.0,Not requiring assistance or intervention,Partially meeting targets,31.0,12.0
Narragansett: Narragansett Regional High,07200505,Public School,Baldwinville,MA,01436,"08,09,10,11,12",Narragansett,07200000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      73,      90,      84,      94,       4,     345,       3,0.9,       1,0.3,      54,15.7,     112,32.5,      83,24.1,1.2,0.3,7.8,88.1,0.0,0.0,2.6,48.4,51.6,     224,13.0,        362,31.3,93.6,  11.0 to 1,77.6,85.6,"      $7,111,842","  $72,942",     98.0,39.0,39.0,100.0,  10.3,  82.1,   7.7,   0.0,"          $18,335,704.00","           1,449.3","              $12,651.42","          $20,848,449.80","           1,606.0","              $12,981.60",        99,86.9,3.0,0.0,5.1,5.1,0.0,     341,7.0,2.1,88.0,55.0,62.5,0.0,23.6,29.1,47.3,29.1,27.3,10.9,88.0,88.0,100.0,     108,     180,59.0,32.0,13.0,2.0,2.0,42.0,72.0,33.0,17.0,16.0,63.3,36.7,71.0,553.0,548.0,         173,         138,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,49.0,59.0
Narragansett: Templeton Elementary School,07200020,Public School,Templeton,MA,01468,"PK,K,01,02,03,04",Narragansett,07200000,Public School District,       0,      82,      88,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     170,       0,0.0,       0,0.0,      25,14.7,      64,37.6,      46,27.1,0.0,0.6,8.2,87.6,0.0,0.0,3.5,54.1,45.9,      72,21.9,        175,10.8,100.0,  15.7 to 1,100.0,97.0,"      $7,111,842","  $72,942",     98.0,17.0,17.0,100.0,-,-,-,-,"          $18,335,704.00","           1,449.3","              $12,651.42","          $20,848,449.80","           1,606.0","              $12,981.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Nashoba: Center School,07250020,Public School,Stow,MA,01775,"PK,K,01,02,03,04,05",Nashoba,07250000,Public School District,      38,      67,      81,      81,     107,      94,      99,       0,       0,       0,       0,       0,       0,       0,       0,     567,      25,4.4,      19,3.4,      82,14.5,     114,20.1,      27,4.8,0.5,5.5,4.1,87.3,0.4,0.0,2.3,52.0,48.0,     189,20.1,        563,41.7,100.0,  13.6 to 1,79.4,98.6,"     $21,516,393","  $80,165",    268.0,52.0,50.0,96.2,-,-,-,-,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         223,76.0,          44,15.0,         179,61.0,          65,22.0,           6,2.0,         294,512.5,57.7,         189,89.0,         220,75.0,          53,18.0,         167,57.0,          70,24.0,           3,1.0,         293,511.8,58.2,         188,92.0,Not requiring assistance or intervention,Meeting targets,94.0,91.0
Nashoba: Florence Sawyer School,07250025,Public School,Bolton,MA,01740,"PK,K,01,02,03,04,05,06,07,08",Nashoba,07250000,Public School District,      48,      69,      74,      92,      66,      76,      95,      66,      82,      99,       0,       0,       0,       0,       0,     767,       8,1.0,       7,0.9,     107,14.0,     143,18.6,      45,5.9,0.3,4.3,3.5,88.5,0.0,0.1,3.3,48.8,51.2,     298,20.1,        769,60.6,100.0,  12.6 to 1,82.6,98.4,"     $21,516,393","  $80,165",    268.0,75.0,73.0,97.3,   6.8,  93.2,   0.0,   0.0,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         376,78.0,          73,15.0,         303,63.0,          97,20.0,           7,1.0,         480,513.7,55.8,         397,91.0,         361,75.0,          72,15.0,         289,60.0,         115,24.0,           4,1.0,         480,512.2,55.6,         400,92.0,Not requiring assistance or intervention,Meeting targets,87.0,79.0
Nashoba: Hale,07250310,Public School,Stow,MA,01775,"06,07,08",Nashoba,07250000,Public School District,       0,       0,       0,       0,       0,       0,       0,     104,      84,     113,       0,       0,       0,       0,       0,     301,      14,4.7,       9,3.0,      36,12.0,      51,16.9,      13,4.3,1.0,2.0,3.0,92.4,0.0,0.0,1.7,45.5,54.5,     145,20.5,        298,23.4,100.0,  12.9 to 1,79.0,95.7,"     $21,516,393","  $80,165",    268.0,28.0,26.0,92.9,   0.0,  96.2,   0.0,   3.8,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         224,76.0,          54,18.0,         170,58.0,          60,20.0,           9,3.0,         293,512.4,52.1,         287,88.0,         242,82.0,          49,17.0,         193,66.0,          45,15.0,           7,2.0,         294,513.2,52.0,         285,94.0,Not requiring assistance or intervention,Partially meeting targets,88.0,71.0
Nashoba: Luther Burbank Middle School,07250305,Public School,Lancaster,MA,01523,"06,07,08",Nashoba,07250000,Public School District,       0,       0,       0,       0,       0,       0,       0,      93,      74,      82,       0,       0,       0,       0,       0,     249,      11,4.4,       8,3.2,      58,23.3,      81,32.5,      37,14.9,2.4,2.4,6.0,84.3,0.0,0.8,4.0,53.4,46.6,     137,18.1,        244,23.2,100.0,  10.7 to 1,87.8,91.4,"     $21,516,393","  $80,165",    268.0,30.0,29.0,96.7,  20.7,  75.9,   3.4,   0.0,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         174,73.0,          60,25.0,         114,48.0,          44,18.0,          22,9.0,         240,514.8,58.4,         226,93.0,         166,69.0,          32,13.0,         134,56.0,          53,22.0,          20,8.0,         239,510.1,59.5,         225,88.0,Not requiring assistance or intervention,Meeting targets,87.0,89.0
Nashoba: Mary Rowlandson Elementary,07250010,Public School,Lancaster,MA,01523,"PK,K,01,02,03,04,05",Nashoba,07250000,Public School District,      40,      70,      66,      65,      84,      68,      78,       0,       0,       0,       0,       0,       0,       0,       0,     471,      16,3.4,      16,3.4,      95,20.2,     159,33.8,      75,15.9,1.3,0.6,9.6,85.6,0.4,0.0,2.5,50.7,49.3,     130,26.0,        484,36.3,100.0,  13.0 to 1,87.0,94.5,"     $21,516,393","  $80,165",    268.0,51.0,50.0,98.0,  10.0,  90.0,   0.0,   0.0,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         145,64.0,          21,9.0,         124,55.0,          68,30.0,          14,6.0,         227,507.9,59.3,         134,74.0,         135,59.0,          14,6.0,         121,53.0,          81,35.0,          13,6.0,         229,504.7,48.2,         137,72.0,Not requiring assistance or intervention,Meeting targets,79.0,88.0
Nashoba: Nashoba Regional,07250505,Public School,Bolton,MA,01740,"09,10,11,12",Nashoba,07250000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     241,     221,     246,     268,      12,     988,      14,1.4,       6,0.6,     133,13.5,     172,17.4,      57,5.8,1.4,2.8,3.7,89.1,0.0,0.0,2.9,50.1,49.9,     560,14.1,        979,75.2,98.7,  13.1 to 1,84.8,93.6,"     $21,516,393","  $80,165",    268.0,100.0,93.0,93.0,   9.7,  83.9,   6.5,   0.0,"          $53,555,039.55","           3,314.1","              $16,159.75","          $57,332,650.26","           3,455.9","              $16,589.79",       262,95.4,3.1,0.0,0.8,0.8,0.0,     976,5.0,0.5,254.0,208.0,81.9,0.0,52.4,7.2,40.4,7.2,6.3,14.9,254.0,254.0,100.0,     312,     596,167.0,68.0,31.0,33.0,13.0,25.0,61.0,160.0,170.0,180.0,14.4,85.6,293.0,601.0,609.0,         504,         429,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,81.0,60.0
Nashoba Valley Regional Vocational Technical: Nashoba Valley Technical High School,08520605,Public School,Westford,MA,01886,"09,10,11,12",Nashoba Valley Regional Vocational Technical,08520000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     176,     176,     176,     169,       1,     698,       8,1.1,       3,0.4,     268,38.4,     357,51.1,     141,20.2,1.1,1.6,5.0,89.4,0.6,0.0,2.3,58.3,41.7,     380,13.7,        674,64.0,98.4,  10.9 to 1,73.4,68.8,"      $5,101,124","  $79,705",     64.0,80.0,79.0,98.8,  19.0,  72.2,   8.9,   0.0,"          $14,257,308.19",             695.2,"              $20,508.21","          $14,272,308.45",             695.2,"              $20,529.79",       169,98.2,0.6,0.0,0.0,1.2,0.0,     697,4.0,0.6,167.0,100.0,59.9,0.0,27.0,39.0,34.0,37.0,16.0,15.0,167.0,167.0,100.0,      95,     154,62.0,8.0,24.0,1.0,0.0,49.0,73.0,23.0,6.0,3.0,79.2,20.8,106.0,520.0,514.0,         337,         222,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,62.0,57.0
Natick: Bennett-Hemenway,01980005,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,       0,     108,     119,     118,     118,     131,       0,       0,       0,       0,       0,       0,       0,       0,       0,     594,      45,7.6,      10,1.7,      75,12.6,     120,20.2,      39,6.6,2.5,11.6,2.5,77.4,0.0,0.2,5.7,51.0,49.0,     115,20.8,        594,38.7,100.0,  15.3 to 1,89.7,100.0,"     $31,443,779","  $77,049",    408.0,51.0,46.0,90.2,-,-,-,-,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         165,67.0,          38,15.0,         127,52.0,          71,29.0,          10,4.0,         246,509.9,66.5,         124,81.0,         136,55.0,          33,13.0,         103,42.0,          90,37.0,          20,8.0,         246,504.4,55.1,         126,71.0,Not requiring assistance or intervention,School of Recognition: Exceeding Targets,84.0,96.0
Natick: Brown,01980010,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,       0,      95,     116,     105,      94,     114,       0,       0,       0,       0,       0,       0,       0,       0,       0,     524,     159,30.3,      77,14.7,      58,11.1,     172,32.8,      64,12.2,0.8,26.3,8.4,58.4,0.4,0.0,5.7,51.7,48.3,     113,19.0,        519,37.4,100.0,  14.0 to 1,64.7,86.1,"     $31,443,779","  $77,049",    408.0,46.0,45.0,97.8,  13.3,  77.8,   8.9,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         110,56.0,          25,13.0,          85,43.0,          74,37.0,          14,7.0,         198,502.1,47.6,         104,51.0,         109,55.0,          27,14.0,          82,41.0,          69,35.0,          20,10.0,         198,504.3,39.4,         104,70.0,Not requiring assistance or intervention,Partially meeting targets,59.0,35.0
Natick: J F Kennedy Middle School,01980305,Public School,Natick,MA,01760,"05,06,07,08",Natick,01980000,Public School District,       0,       0,       0,       0,       0,       0,     172,     162,     157,     150,       0,       0,       0,       0,       0,     641,      76,11.9,      22,3.4,      75,11.7,     136,21.2,      50,7.8,2.2,10.6,5.0,78.2,0.2,0.0,3.9,50.9,49.1,     337,20.5,        652,53.0,100.0,  12.1 to 1,90.6,91.5,"     $31,443,779","  $77,049",    408.0,73.0,70.0,95.9,   7.1,  91.4,   1.4,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         411,66.0,          71,11.0,         340,54.0,         193,31.0,          20,3.0,         624,507.9,52.7,         613,74.0,         433,70.0,          81,13.0,         352,57.0,         174,28.0,          16,3.0,         623,508.7,62.1,         611,84.0,Not requiring assistance or intervention,Meeting targets,84.0,80.0
Natick: Johnson,01980031,Public School,Natick,MA,01760,"01,02,03,04",Natick,01980000,Public School District,       0,      50,      48,      45,      39,      47,       0,       0,       0,       0,       0,       0,       0,       0,       0,     229,       9,3.9,       1,0.4,      23,10.0,      48,21.0,      32,14.0,1.3,4.4,7.4,79.9,0.0,0.0,7.0,58.1,41.9,      44,21.1,        232,20.4,98.0,  11.2 to 1,77.7,100.0,"     $31,443,779","  $77,049",    408.0,29.0,29.0,100.0,   3.4,  93.1,   3.4,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          54,64.0,          10,12.0,          44,52.0,          24,28.0,           7,8.0,          85,506.2,58.8,          46,68.0,          53,62.0,          10,12.0,          43,51.0,          20,24.0,          12,14.0,          85,503.7,52.9,          46,68.0,Not requiring assistance or intervention,Partially meeting targets,76.0,68.0
Natick: Lilja Elementary,01980035,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,       0,      95,      73,      88,      86,      89,       0,       0,       0,       0,       0,       0,       0,       0,       0,     431,      53,12.3,      15,3.5,      33,7.7,      86,20.0,      53,12.3,2.1,10.2,8.8,73.8,0.0,0.0,5.1,47.1,52.9,     101,17.5,        436,27.9,100.0,  15.4 to 1,82.1,89.2,"     $31,443,779","  $77,049",    408.0,36.0,34.0,94.4,   0.0,  97.1,   2.9,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         109,63.0,          27,16.0,          82,47.0,          60,35.0,           4,2.0,         173,507.6,50.8,          87,74.0,         106,61.0,          17,10.0,          89,51.0,          60,35.0,           7,4.0,         173,505.7,42.5,          87,76.0,Not requiring assistance or intervention,Partially meeting targets,70.0,62.0
Natick: Memorial,01980043,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,       0,      78,      87,      73,      98,      77,       0,       0,       0,       0,       0,       0,       0,       0,       0,     413,      32,7.7,       3,0.7,      37,9.0,      57,13.8,      20,4.8,1.0,5.6,5.6,83.1,0.0,0.0,4.8,53.0,47.0,      84,19.7,        414,27.8,100.0,  14.9 to 1,83.5,96.4,"     $31,443,779","  $77,049",    408.0,36.0,36.0,100.0,  30.6,  69.4,   0.0,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         131,76.0,          41,24.0,          90,52.0,          41,24.0,           1,1.0,         173,514.3,51.0,          75,92.0,         121,70.0,          30,17.0,          91,53.0,          51,29.0,           1,1.0,         173,511.6,41.7,          75,92.0,Not requiring assistance or intervention,Partially meeting targets,83.0,64.0
Natick: Natick High,01980505,Public School,Natick,MA,01760,"PK,09,10,11,12",Natick,01980000,Public School District,     130,       0,       0,       0,       0,       0,       0,       0,       0,       0,     396,     433,     374,     397,       0,"   1,730",     132,7.6,      37,2.1,     254,14.7,     389,22.5,     158,9.1,3.2,7.2,5.7,79.7,0.0,0.2,4.0,49.7,50.3,"   1,336",17.5,"      1,750",120.8,100.0,  14.3 to 1,82.9,89.2,"     $31,443,779","  $77,049",    408.0,165.0,158.0,95.8,  13.3,  84.8,   1.9,   0.0,"          $84,116,373.62","           5,474.1","              $15,366.25","          $92,303,763.18","           5,630.6","              $16,393.24",       395,97.0,2.3,0.0,0.0,0.8,0.0,"   1,600",7.0,0.4,388.0,331.0,85.3,0.0,48.3,6.9,44.7,6.9,8.5,17.8,388.0,376.0,96.9,     501,     962,246.0,125.0,79.0,31.0,20.0,65.0,137.0,213.0,264.0,283.0,21.0,79.0,448.0,584.0,590.0,         774,         541,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,71.0,66.0
