School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Lexington: Lexington High,01550505,Public School,Lexington,MA,02421,"09,10,11,12",Lexington,01550000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     598,     542,     572,     551,       0,"   2,263",     599,  26.5,      64,   2.8,     235,  10.4, , ,     458,  20.2,     113,   5.0,3.7,38.0,3.7,49.2,0.1,0.0,5.3,50.2,49.8,"   1,210",19.7,"      2,265",177.3,100.0,12.8,89.7,90.4,89.6,"     $54,242,578","  $87,151",    622.4,235.0,234.0,99.6,   0.9,  97.4,   1.7,   0.0,"         $125,915,692.90","           7,261.4","              $17,340.42","         $137,703,036.07","           7,381.8","              $18,654.40",       541,99.8,0.2,0.0,0.0,0.0,0.0,"   2,263",5.0,0.2,544.0,446.0,82.0,0.0,45.4,1.8,34.7,1.7,0.6,17.6,80.1,544.0,544.0,100.0,     895,"   1,825",415.0,229.0,121.0,79.0,51.0,23.0,94.0,244.0,571.0,893.0,6.4,93.6,625.0,649.0,676.0,"       1,119",         978,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting or exceeding targets,98.0,90.0
Lexington: Maria Hastings,01550035,Public School,Lexington,MA,02421,"K,01,02,03,04,05",Lexington,01550000,Public School District,       0,      63,      67,      88,      75,      79,      82,       0,       0,       0,       0,       0,       0,       0,       0,     454,     152,  33.5,      73,  16.1,      84,  18.5, , ,     183,  40.3,      21,   4.6,1.8,44.5,4.4,40.3,0.0,0.0,9.0,53.3,46.7,      98,21.2,        457,39.7,100.0,11.4,81.9,95.0,100.0,"     $54,242,578","  $87,151",    622.4,60.0,59.0,98.3,   1.7,  93.2,   5.1,   0.0,"         $125,915,692.90","           7,261.4","              $17,340.42","         $137,703,036.07","           7,381.8","              $18,654.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         189,81.0,          67,29.0,         122,53.0,          41,18.0,           2,1.0,         232,519.2,62.7,         146,97.0,         191,82.0,          69,30.0,         122,53.0,          39,17.0,           2,1.0,         232,518.0,59.0,         146,97.0,Not requiring assistance or intervention,School of Recognition: High Achievement,98.0,91.0
Lexington: Wm Diamond Middle,01550310,Public School,Lexington,MA,02420,"06,07,08",Lexington,01550000,Public School District,       0,       0,       0,       0,       0,       0,       0,     313,     278,     328,       0,       0,       0,       0,       0,     919,     250,  27.2,      51,   5.5,     127,  13.8, , ,     263,  28.6,      35,   3.8,3.4,40.4,3.8,43.9,0.0,0.0,8.6,47.7,52.3,     545,18.5,        929,88.5,100.0,10.4,77.5,92.1,94.8,"     $54,242,578","  $87,151",    622.4,116.0,116.0,100.0,-,-,-,-,"         $125,915,692.90","           7,261.4","              $17,340.42","         $137,703,036.07","           7,381.8","              $18,654.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         756,84.0,         325,36.0,         431,48.0,         121,14.0,          18,2.0,         895,521.9,56.9,         838,99.0,         790,88.0,         388,43.0,         402,45.0,          94,11.0,          10,1.0,         894,525.9,62.8,         836,99.0,Not requiring assistance or intervention,Meeting or exceeding targets,99.0,90.0
Libertas Academy Charter School (District): Libertas Academy Charter School,35140305,Charter School,Springfield,MA,01103,"06,07,08,09,10",Libertas Academy Charter School (District),35140000,Charter District,       0,       0,       0,       0,       0,       0,       0,      87,      91,       0,       0,       0,       0,       0,       0,     178,      63,  35.4,      44,  24.7,      46,  25.8, , ,     158,  88.8,     147,  82.6,12.4,0.0,84.8,1.7,0.0,0.0,1.1,55.6,44.4,      58,21.0,        176,14.4,75.0,12.4,5.6,50.7,55.6,,,,,,,,,,,"           $3,187,347.00",             167.7,"              $19,005.11","           $3,187,347.00",             167.7,"              $19,005.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,23.0,           0,0.0,          37,23.0,          82,50.0,          44,27.0,         163,482.4,40.1,         140,5.0,          55,34.0,           4,2.0,          51,31.0,          84,52.0,          24,15.0,         163,490.1,52.4,         139,19.0,Requiring assistance or intervention,In need of focused/targeted support,6.0,72.0
Lincoln: Hanscom Middle,01570305,Public School,Hanscom Air Force Base,MA,01731,"04,05,06,07,08",Lincoln,01570000,Public School District,       0,       0,       0,       0,       0,      69,      71,      51,      51,      53,       0,       0,       0,       0,       0,     295,       8,   2.7,       7,   2.4,      49,  16.6, , ,      54,  18.3,       0,   0.0,8.5,1.4,20.0,59.7,0.7,0.7,9.2,48.8,51.2,     166,18.3,        280,26.4,100.0,11.2,80.2,100.0,90.9,"     $10,826,154","  $90,520",    119.6,40.0,40.0,100.0,  17.5,  80.0,   2.5,   0.0,"          $27,755,285.65","           1,201.9","              $23,092.84","          $30,089,224.65","           1,242.7","              $24,212.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         143,54.0,          19,7.0,         124,47.0,         111,42.0,          12,5.0,         266,503.3,54.2,         187,54.0,         128,49.0,          11,4.0,         117,44.0,         115,44.0,          20,8.0,         263,498.9,41.2,         184,47.0,Not requiring assistance or intervention,Moderate progress toward targets,43.0,32.0
Lincoln: Hanscom Primary,01570006,Public School,Hanscom Air Force Base,MA,01731,"PK,K,01,02,03",Lincoln,01570000,Public School District,      36,      65,      70,      66,      68,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     305,      26,   8.5,      24,   7.9,      53,  17.4, , ,      73,  23.9,       3,   1.0,6.6,2.0,23.9,55.1,0.0,0.7,11.8,48.5,51.5,     100,15.9,        302,29.7,100.0,10.3,89.1,100.0,100.0,"     $10,826,154","  $90,520",    119.6,41.0,41.0,100.0,   7.3,  90.2,   2.4,   0.0,"          $27,755,285.65","           1,201.9","              $23,092.84","          $30,089,224.65","           1,242.7","              $24,212.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          25,42.0,           3,5.0,          22,37.0,          29,48.0,           6,10.0,          60,497.1,,,30.0,          26,44.0,           2,3.0,          24,41.0,          24,41.0,           9,15.0,          59,492.4,,,24.0,Not requiring assistance or intervention,Limited or no progress toward targets,,22.0
Lincoln: Lincoln School,01570025,Public School,Lincoln,MA,01773,"PK,K,01,02,03,04,05,06,07,08",Lincoln,01570000,Public School District,      47,      73,      51,      70,      51,      63,      60,      53,      62,      62,       0,       0,       0,       0,       0,     592,      64,  10.8,      29,   4.9,     122,  20.6, , ,     198,  33.4,      64,  10.8,10.3,5.6,9.8,64.0,0.2,0.0,10.1,50.8,49.2,     319,16.1,        599,62.5,100.0,9.5,91.8,97.6,87.1,"     $10,826,154","  $90,520",    119.6,80.0,80.0,100.0,  12.5,  87.5,   0.0,   0.0,"          $27,755,285.65","           1,201.9","              $23,092.84","          $30,089,224.65","           1,242.7","              $24,212.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         247,73.0,          61,18.0,         186,55.0,          86,25.0,           7,2.0,         340,511.5,53.4,         286,83.0,         254,75.0,          58,17.0,         196,58.0,          78,23.0,           8,2.0,         340,511.0,46.7,         287,87.0,Not requiring assistance or intervention,Substantial progress toward targets,82.0,58.0
Lincoln-Sudbury: Lincoln-Sudbury Regional High,06950505,Public School,Sudbury,MA,01776,"09,10,11,12",Lincoln-Sudbury,06950000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     406,     395,     353,     369,       5,"   1,528",      44,   2.9,       7,   0.5,     264,  17.3, , ,     339,  22.2,      97,   6.3,4.8,6.2,4.6,79.8,0.1,0.1,4.4,52.8,47.2,"   1,239",18.3,"      1,537",126.6,99.8,12.1,95.7,97.2,90.8,"     $13,163,325"," $103,976",    126.6,165.0,163.0,98.8,  30.1,  69.9,   0.0,   0.0,"          $30,507,081.42","           1,493.6","              $20,425.20","          $35,484,951.63","           1,559.3","              $22,756.98",       370,98.6,1.4,0.0,0.0,0.0,0.0,"   1,523",1.0,0.1,367.0,321.0,87.5,0.0,54.2,1.9,31.3,1.6,1.6,11.2,85.5,367.0,367.0,100.0,     234,     364,136.0,68.0,28.0,2.0,0.0,4.0,4.0,57.0,110.0,189.0,2.2,97.8,354.0,613.0,632.0,         724,         617,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting or exceeding targets,94.0,75.0
Littleton: Littleton High School,01580505,Public School,Littleton,MA,01460,"09,10,11,12",Littleton,01580000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     105,     111,     119,     115,       0,     450,      17,   3.8,       3,   0.7,      76,  16.9, , ,      99,  22.0,      30,   6.7,0.2,7.6,2.2,85.8,0.4,0.2,3.6,43.1,56.7,     229,13.6,        442,37.0,100.0,12.2,86.9,94.0,92.3,"      $9,139,263","  $71,963",    127.0,42.0,41.0,97.6,  48.8,  48.8,   2.4,   0.0,"          $24,015,657.06","           1,645.7","              $14,592.97","          $28,698,611.06","           1,783.0","              $16,095.69",       113,97.3,1.8,0.0,0.0,0.9,0.0,     450,0.0,0.0,112.0,96.0,85.7,0.0,42.0,9.8,33.9,9.8,4.5,15.2,75.9,112.0,112.0,100.0,     100,     206,42.0,29.0,14.0,11.0,4.0,7.0,14.0,70.0,58.0,57.0,10.2,89.8,138.0,588.0,587.0,         227,         169,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,92.0,71.0
Littleton: Littleton Middle School,01580305,Public School,Littleton,MA,01460,"06,07,08",Littleton,01580000,Public School District,       0,       0,       0,       0,       0,       0,       0,     124,     122,     118,       0,       0,       0,       0,       0,     364,       5,   1.4,       3,   0.8,      64,  17.6, , ,      89,  24.5,      30,   8.2,1.6,6.0,2.2,85.4,0.3,0.0,4.4,48.4,51.6,     191,18.9,        367,28.0,100.0,13.0,70.7,88.6,93.1,"      $9,139,263","  $71,963",    127.0,33.0,30.0,90.9,  33.3,  66.7,   0.0,   0.0,"          $24,015,657.06","           1,645.7","              $14,592.97","          $28,698,611.06","           1,783.0","              $16,095.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         264,73.0,          45,12.0,         219,60.0,          82,23.0,          16,4.0,         362,509.9,49.0,         353,79.0,         242,67.0,          57,16.0,         185,51.0,         106,29.0,          12,3.0,         360,508.8,53.4,         355,82.0,Not requiring assistance or intervention,Substantial progress toward targets,84.0,70.0
Littleton: Russell St Elementary,01580015,Public School,Littleton,MA,01460,"03,04,05",Littleton,01580000,Public School District,       0,       0,       0,       0,     127,     135,     137,       0,       0,       0,       0,       0,       0,       0,       0,     399,      25,   6.3,       4,   1.0,      70,  17.5, , ,     100,  25.1,      31,   7.8,1.8,11.5,1.8,82.2,0.3,0.5,2.0,50.1,49.9,     198,22.2,        399,27.4,100.0,14.6,70.8,94.5,100.0,"      $9,139,263","  $71,963",    127.0,33.0,31.0,93.9,  51.6,  48.4,   0.0,   0.0,"          $24,015,657.06","           1,645.7","              $14,592.97","          $28,698,611.06","           1,783.0","              $16,095.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         250,64.0,          45,12.0,         205,52.0,         132,34.0,           9,2.0,         391,507.4,53.9,         263,70.0,         227,58.0,          35,9.0,         192,49.0,         149,38.0,          14,4.0,         390,504.0,52.5,         262,67.0,Not requiring assistance or intervention,Substantial progress toward targets,72.0,58.0
Littleton: Shaker Lane Elementary,01580005,Public School,Littleton,MA,01460,"PK,K,01,02",Littleton,01580000,Public School District,      68,     120,     136,     116,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     440,      43,   9.8,      24,   5.5,      53,  12.0, , ,     101,  23.0,      23,   5.2,0.2,11.6,0.9,85.7,0.0,0.2,1.4,50.0,50.0,     201,19.7,        451,32.6,100.0,13.5,86.2,92.3,91.7,"      $9,139,263","  $71,963",    127.0,41.0,41.0,100.0,  48.8,  48.8,   2.4,   0.0,"          $24,015,657.06","           1,645.7","              $14,592.97","          $28,698,611.06","           1,783.0","              $16,095.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Longmeadow: Blueberry Hill,01590005,Public School,Longmeadow,MA,01106,"K,01,02,03,04,05",Longmeadow,01590000,Public School District,       0,      68,      64,      74,      74,      64,      94,       0,       0,       0,       0,       0,       0,       0,       0,     438,      36,   8.2,       7,   1.6,      67,  15.3, , ,      92,  21.0,      24,   5.5,0.9,18.5,4.6,70.8,0.0,0.5,4.8,50.5,49.5,     208,19.9,        444,37.9,100.0,11.6,97.4,97.4,100.0,"     $18,549,518","  $75,008",    247.3,46.0,46.0,100.0,  69.6,  30.4,   0.0,   0.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         171,74.0,          38,17.0,         133,58.0,          53,23.0,           6,3.0,         230,513.8,58.6,         155,89.0,         164,71.0,          40,17.0,         124,54.0,          64,28.0,           3,1.0,         231,511.7,59.3,         155,89.0,Not requiring assistance or intervention,Meeting or exceeding targets,94.0,81.0
Longmeadow: Center,01590010,Public School,Longmeadow,MA,01106,"K,01,02,03,04,05",Longmeadow,01590000,Public School District,       0,      69,      64,      70,      62,      66,      87,       0,       0,       0,       0,       0,       0,       0,       0,     418,       8,   1.9,       1,   0.2,      72,  17.2, , ,      89,  21.3,      20,   4.8,2.6,3.3,5.7,83.5,0.0,0.0,4.8,52.9,47.1,     197,19.5,        413,36.4,100.0,11.5,89.3,97.5,100.0,"     $18,549,518","  $75,008",    247.3,47.0,47.0,100.0,  36.2,  63.8,   0.0,   0.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         133,63.0,          20,9.0,         113,53.0,          73,34.0,           6,3.0,         212,506.7,46.2,         143,67.0,         129,61.0,          18,8.0,         111,52.0,          74,35.0,           9,4.0,         212,505.1,49.3,         143,70.0,Not requiring assistance or intervention,Substantial progress toward targets,70.0,60.0
Longmeadow: Glenbrook Middle,01590017,Public School,Longmeadow,MA,01106,"06,07,08",Longmeadow,01590000,Public School District,       0,       0,       0,       0,       0,       0,       0,     112,     116,     112,       0,       0,       0,       0,       0,     340,      30,   8.8,       2,   0.6,      75,  22.1, , ,      98,  28.8,      31,   9.1,3.8,13.5,6.2,72.9,0.0,0.3,3.2,49.7,50.3,     178,18.8,        342,27.5,100.0,12.4,87.8,96.4,96.9,"     $18,549,518","  $75,008",    247.3,38.0,38.0,100.0,  23.7,  76.3,   0.0,   0.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         234,71.0,          73,22.0,         161,49.0,          78,24.0,          19,6.0,         331,511.6,57.1,         322,83.0,         237,72.0,          75,23.0,         162,49.0,          83,25.0,          11,3.0,         331,512.5,60.9,         323,90.0,Not requiring assistance or intervention,Meeting or exceeding targets,88.0,82.0
Longmeadow: Longmeadow High,01590505,Public School,Longmeadow,MA,01106,"09,10,11,12",Longmeadow,01590000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     249,     227,     257,     242,       0,     975,      48,   4.9,       5,   0.5,     164,  16.8, , ,     222,  22.8,      69,   7.1,2.5,8.5,4.1,81.9,0.1,0.0,2.9,49.6,50.4,     412,18.9,        967,82.3,100.0,11.9,93.9,97.6,95.2,"     $18,549,518","  $75,008",    247.3,98.0,98.0,100.0,  54.1,  43.9,   1.0,   1.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",       245,98.0,1.6,0.0,0.0,0.4,0.0,     975,0.0,0.0,243.0,214.0,88.1,0.0,54.7,10.7,22.6,9.1,7.8,7.8,77.30000000000001,243.0,142.0,58.4,     238,     521,100.0,63.0,33.0,27.0,15.0,6.0,58.0,121.0,185.0,151.0,12.3,87.7,268.0,606.0,613.0,         497,         411,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,91.0,64.0
Longmeadow: Williams Middle,01590305,Public School,Longmeadow,MA,01106,"06,07,08",Longmeadow,01590000,Public School District,       0,       0,       0,       0,       0,       0,       0,     106,     108,     100,       0,       0,       0,       0,       0,     314,      13,   4.1,       0,   0.0,      53,  16.9, , ,      69,  22.0,      14,   4.5,1.0,7.6,4.8,83.4,0.0,0.0,3.2,51.0,49.0,     175,18.3,        317,27.0,96.3,11.6,79.1,92.6,100.0,"     $18,549,518","  $75,008",    247.3,39.0,39.0,100.0,  59.0,  41.0,   0.0,   0.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         237,76.0,          66,21.0,         171,55.0,          62,20.0,          12,4.0,         311,513.3,50.9,         303,88.0,         229,74.0,          69,22.0,         160,51.0,          76,24.0,           6,2.0,         311,513.1,45.8,         303,92.0,Not requiring assistance or intervention,Moderate progress toward targets,75.0,46.0
Longmeadow: Wolf Swamp Road,01590025,Public School,Longmeadow,MA,01106,"PK,K,01,02,03,04,05",Longmeadow,01590000,Public School District,      45,      59,      59,      51,      51,      65,      59,       0,       0,       0,       0,       0,       0,       0,       0,     389,      23,   5.9,       7,   1.8,      75,  19.3, , ,     113,  29.0,      43,  11.1,3.9,9.5,6.4,75.3,0.0,0.0,4.9,54.0,46.0,     168,19.2,        398,36.3,100.0,10.7,81.5,100.0,95.1,"     $18,549,518","  $75,008",    247.3,45.0,45.0,100.0,  28.9,  68.9,   2.2,   0.0,"          $43,190,554.01","           2,858.2","              $15,111.10","          $45,745,743.44","           2,920.3","              $15,664.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         123,73.0,          35,21.0,          88,52.0,          38,22.0,           8,5.0,         169,513.0,56.5,         112,87.0,          99,59.0,           7,4.0,          92,54.0,          61,36.0,           9,5.0,         169,503.4,44.2,         112,65.0,Not requiring assistance or intervention,Substantial progress toward targets,73.0,56.0
Lowell: Abraham Lincoln,01600020,Public School,Lowell,MA,01851,"PK,K,01,02,03,04",Lowell,01600000,Public School District,      47,      93,      91,      91,      87,     100,       0,       0,       0,       0,       0,       0,       0,       0,       0,     509,     206,  40.5,     167,  32.8,      87,  17.1, , ,     404,  79.4,     321,  63.1,3.1,49.9,30.8,12.0,0.2,0.0,3.9,54.0,46.0,     273,19.6,        525,36.0,97.2,14.1,88.9,94.4,94.6,"     $80,660,379","  $76,608","  1,052.9",45.0,43.0,95.6,   2.3,  93.0,   4.7,   0.0,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          75,43.0,          15,9.0,          60,34.0,          80,46.0,          20,11.0,         175,498.7,61.7,          89,35.0,          74,42.0,           5,3.0,          69,39.0,          68,39.0,          33,19.0,         175,492.6,57.6,          90,24.0,Not requiring assistance or intervention,Meeting or exceeding targets,34.0,78.0
Lowell: B.F. Butler Middle School,01600310,Public School,Lowell,MA,01852,"05,06,07,08",Lowell,01600000,Public School District,       0,       0,       0,       0,       0,       0,     153,     141,     147,     126,       0,       0,       0,       0,       0,     567,     108,  19.0,      97,  17.1,     108,  19.0, , ,     440,  77.6,     299,  52.7,7.2,26.3,33.5,27.0,0.0,0.0,6.0,48.9,51.1,     317,19.4,        583,41.7,100.0,13.6,75.3,80.8,62.2,"     $80,660,379","  $76,608","  1,052.9",49.0,42.0,85.7,   7.1,  88.1,   4.8,   0.0,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         197,37.0,          20,4.0,         177,33.0,         236,45.0,          97,18.0,         530,491.6,47.5,         507,16.0,         194,37.0,          18,3.0,         176,33.0,         260,49.0,          76,14.0,         530,492.1,50.3,         509,23.0,Requiring assistance or intervention,In need of focused/targeted support,10.0,59.0
Lowell: Bartlett Community Partnership,01600090,Public School,Lowell,MA,01854,"PK,K,01,02,03,04,05,06,07,08",Lowell,01600000,Public School District,      37,      45,      49,      45,      39,      48,      52,      52,      53,      54,       0,       0,       0,       0,       0,     474,     148,  31.2,     129,  27.2,     106,  22.4, , ,     368,  77.6,     268,  56.5,8.2,40.9,31.0,16.9,0.2,0.0,2.7,51.3,48.7,     260,19.5,        493,38.0,100.0,12.5,84.2,89.5,97.5,"     $80,660,379","  $76,608","  1,052.9",52.0,43.0,82.7,  16.3,  83.7,   0.0,   0.0,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          58,20.0,           4,1.0,          54,19.0,         144,50.0,          87,30.0,         289,485.2,40.1,         220,6.0,          76,26.0,           3,1.0,          73,25.0,         148,51.0,          65,22.0,         289,489.6,56.1,         219,18.0,Requiring assistance or intervention,In need of focused/targeted support,9.0,57.0
Lowell: Cardinal O'Connell Early Learning Center,01600001,Public School,Lowell,MA,01852,PK,Lowell,01600000,Public School District,     104,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     104,      37,  35.6,       2,   1.9,      39,  37.5, , ,      77,  74.0,      59,  56.7,6.7,25.0,45.2,19.2,0.0,0.0,3.8,67.3,32.7,      11,10.8,        119,8.5,100.0,12.2,100.0,100.0,100.0,"     $80,660,379","  $76,608","  1,052.9",10.0,7.0,70.0,-,-,-,-,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Lowell: Charles W Morey,01600030,Public School,Lowell,MA,01851,"PK,K,01,02,03,04",Lowell,01600000,Public School District,      49,      93,      89,      88,      92,     100,       0,       0,       0,       0,       0,       0,       0,       0,       0,     511,     223,  43.6,     195,  38.2,      90,  17.6, , ,     357,  69.9,     216,  42.3,4.9,62.4,10.8,17.2,0.4,0.0,4.3,48.7,51.3,     262,19.7,        512,36.7,97.3,13.9,97.3,100.0,100.0,"     $80,660,379","  $76,608","  1,052.9",45.0,43.0,95.6,   2.3,  95.3,   2.3,   0.0,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          97,54.0,          24,13.0,          73,40.0,          73,40.0,          11,6.0,         181,504.8,52.0,          92,60.0,         100,55.0,           6,3.0,          94,52.0,          71,39.0,          11,6.0,         182,501.9,53.9,          93,59.0,Not requiring assistance or intervention,Substantial progress toward targets,63.0,63.0
Lowell: Charlotte M Murkland Elementary,01600080,Public School,Lowell,MA,01854,"PK,K,01,02,03,04",Lowell,01600000,Public School District,      49,      94,      87,      89,      89,     101,       0,       0,       0,       0,       0,       0,       0,       0,       0,     509,     249,  48.9,     194,  38.1,      90,  17.7, , ,     436,  85.7,     359,  70.5,4.7,42.8,33.8,14.3,0.0,0.0,4.3,55.0,45.0,     228,22.9,        510,37.0,100.0,13.8,86.5,97.3,100.0,"     $80,660,379","  $76,608","  1,052.9",44.0,41.0,93.2,-,-,-,-,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          62,36.0,           4,2.0,          58,34.0,          92,54.0,          17,10.0,         171,493.4,44.1,          84,19.0,          76,44.0,           8,5.0,          68,40.0,          80,47.0,          15,9.0,         171,497.9,53.8,          83,43.0,Not requiring assistance or intervention,Substantial progress toward targets,31.0,65.0
Lowell: Dr An Wang School,01600345,Public School,Lowell,MA,01854,"05,06,07,08",Lowell,01600000,Public School District,       0,       0,       0,       0,       0,       0,     180,     166,     189,     153,       0,       0,       0,       0,       0,     688,     188,  27.3,     178,  25.9,     103,  15.0, , ,     482,  70.1,     344,  50.0,7.6,15.8,42.0,29.8,0.0,0.0,4.8,52.0,48.0,     334,22.5,        706,47.1,100.0,14.6,93.6,83.0,92.0,"     $80,660,379","  $76,608","  1,052.9",56.0,55.0,98.2,  29.1,  61.8,   9.1,   0.0,"         $215,310,263.84","          14,618.8","              $14,728.31","         $250,167,865.84","          16,778.3","              $14,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         316,49.0,          48,7.0,         268,41.0,         238,37.0,          94,15.0,         648,497.7,51.0,         624,32.0,         281,43.0,          41,6.0,         240,37.0,         282,44.0,          83,13.0,         646,495.8,53.5,         624,35.0,Not requiring assistance or intervention,Substantial progress toward targets,34.0,56.0
