School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
New Bedford: Charles S Ashley,02010010,Public School,New Bedford,MA,02745,"K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      63,      72,      63,      41,      45,      48,       0,       0,       0,       0,       0,       0,       0,0.0,     332,      28,   8.4,       0,   0.0,      52,  15.7, , , , ,   3.6,   0.0,  12.7,  79.5,   0.3,   0.6,   3.3,  54.8,  45.2,      68,20.8,        333,18.3,99.8,     113,93.8,  18.1 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
New Bedford: Elizabeth Carter Brooks,02010015,Public School,New Bedford,MA,02740,"K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      36,      50,      56,      48,      45,      33,       0,       0,       0,       0,       0,       0,       0,0.0,     268,      44,  16.4,       0,   0.0,      46,  17.2, , , , ,  10.8,   2.2,  31.7,  47.4,   1.1,   1.1,   5.6,  48.1,  51.9,      50,21.7,        268,13.7,100.0,      88,94.3,  19.5 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
New Bedford: Ellen R Hathaway,02010075,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      20,      30,      27,      33,      41,      30,      32,       0,       0,       0,       0,       0,       0,       0,0.0,     213,      29,  13.6,       3,   1.4,      63,  29.6, , , , ,  14.1,   0.9,  28.6,  45.1,   0.9,   0.0,  10.3,  54.5,  45.5,      50,17.3,        213,14.7,100.0,      76,93.4,  14.5 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
New Bedford: Elwyn G Campbell,02010020,Public School,New Bedford,MA,02745,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      36,      42,      37,      48,      27,      34,      29,       0,       0,       0,       0,       0,       0,       0,0.0,     253,      40,  15.8,       0,   0.0,      48,  19.0, , , , ,   4.0,   0.4,  34.8,  54.9,   0.0,   1.2,   4.7,  53.0,  47.0,      43,21.1,        254,13.6,98.5,      75,80.0,  18.6 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
New Bedford: Hayden/McFadden,02010078,Public School,New Bedford,MA,02746,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,     119,     121,     102,      91,      93,      95,     110,       0,       0,       0,       0,       0,       0,       0,0.0,     731,     253,  34.6,      80,  10.9,     203,  27.8, , , , ,  12.6,   0.5,  49.0,  31.3,   0.5,   0.4,   5.6,  52.4,  47.6,     140,18.2,        776,44.2,100.0,     243,100.0,  16.5 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
New Bedford: Irwin M. Jacobs Elementary School,02010070,Public School,New Bedford,MA,02744,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,       0,      47,      51,      53,      36,      35,       0,       0,       0,       0,       0,       0,       0,0.0,     222,      67,  30.2,       0,   0.0,      36,  16.2, , , , ,   8.1,   0.0,  53.2,  30.6,   0.5,   0.5,   7.2,  54.5,  45.5,      40,22.5,        222,12.7,100.0,      70,92.9,  17.5 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
New Bedford: James B Congdon,02010040,Public School,New Bedford,MA,02740,"K,01,02,03,04,05,06",New Bedford,02010000,Public School District,       0,      61,      69,      40,      42,      38,      24,       0,       0,       0,       0,       0,       0,       0,0.0,     274,      51,  18.6,      29,  10.6,      30,  10.9, , , , ,   8.0,   0.0,  24.1,  61.7,   0.0,   1.1,   5.1,  48.5,  51.5,      72,19.2,        278,17.3,100.0,     106,95.3,  15.9 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
New Bedford: Jireh Swift,02010130,Public School,New Bedford,MA,02745,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      40,      45,      47,      35,      38,      31,       0,       0,       0,       0,       0,       0,       0,0.0,     236,      17,   7.2,       0,   0.0,      31,  13.1, , , , ,   5.1,   0.4,  12.7,  77.5,   0.4,   0.4,   3.4,  49.6,  50.4,      60,19.1,        235,13.3,100.0,      76,75.0,  17.8 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
New Bedford: John Avery Parker,02010115,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      20,      39,      41,      42,      45,      54,      29,       0,       0,       0,       0,       0,       0,       0,0.0,     270,      50,  18.5,       0,   0.0,      65,  24.1, , , , ,  15.9,   0.7,  33.7,  39.3,   0.7,   0.4,   9.3,  52.2,  47.8,      63,17.3,        272,18.1,100.0,     105,92.4,  14.9 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
New Bedford: John B Devalles,02010050,Public School,New Bedford,MA,02744,"K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      62,      83,      88,      77,      64,      59,       0,       0,       0,       0,       0,       0,       0,0.0,     433,     155,  35.8,      57,  13.2,      73,  16.9, , , , ,  11.1,   0.5,  32.3,  49.9,   0.5,   0.0,   5.8,  50.1,  49.9,      94,19.8,        436,22.8,100.0,     150,83.3,  19.0 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
New Bedford: Keith Middle School,02010405,Public School,New Bedford,MA,02740,"06,07,08",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     247,     341,     331,       0,       0,       0,       0,0.0,     919,     171,  18.6,       0,   0.0,     184,  20.0, , , , ,  15.1,   0.4,  34.2,  42.2,   0.9,   0.2,   7.0,  53.6,  46.4,     360,19.5,        924,80.0,97.5,     303,82.2,  11.5 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
New Bedford: New Bedford High,02010505,Public School,New Bedford,MA,02740,"09,10,11,12",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     783,     461,     740,     473,0.0,"   2,457",     597,  24.3,     164,   6.7,     409,  16.6, , , , ,  15.5,   1.1,  26.4,  46.7,   1.7,   0.9,   7.9,  51.6,  48.4,     780,16.4,"      2,421",189.6,97.9,     942,86.9,  13.0 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",       639,58.5,13.9,5.3,1.6,20.7,0.0,"   2,457",130.0,5.3,,,,,,,,,,,417.0,99.0,23.7,170.0,     251,103.0,55.0,10.0,2.0,0.0,78.0,62.0,54.0,43.0,14.0,55.8,44.2,247.0,446.0,443.0,4.0
New Bedford: Normandin Middle School,02010410,Public School,New Bedford,MA,02745,"06,07,08",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     332,     350,     339,       0,       0,       0,       0,0.0,"   1,021",     158,  15.5,       1,   0.1,     203,  19.9, , , , ,   6.5,   0.8,  22.5,  64.3,   0.4,   0.7,   4.9,  51.1,  48.9,     579,18.0,"      1,022",83.2,98.8,     435,93.3,  12.3 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
New Bedford: Renaissance Community Innovation School,02010124,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Roosevelt Middle School,02010415,Public School,New Bedford,MA,02744,"06,07,08",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     244,     267,     304,       0,       0,       0,       0,0.0,     815,     322,  39.5,     113,  13.9,     144,  17.7, , , , ,   9.7,   0.9,  37.9,  46.0,   0.1,   0.6,   4.8,  52.6,  47.4,     392,19.4,        815,68.1,94.1,     473,85.6,  12.0 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
New Bedford: Sgt Wm H Carney Academy,02010045,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      63,     117,     117,      90,      91,     101,      91,       0,       0,       0,       0,       0,       0,       0,0.0,     670,      64,   9.6,       0,   0.0,     185,  27.6, , , , ,  19.9,   1.6,  26.6,  44.2,   0.7,   0.1,   6.9,  54.9,  45.1,     135,20.3,        671,37.4,100.0,     168,95.2,  17.9 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
New Bedford: Thomas R Rodman,02010125,Public School,New Bedford,MA,02740,"K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      31,      27,      21,      23,      23,      13,       0,       0,       0,       0,       0,       0,       0,0.0,     138,      25,  18.1,       0,   0.0,      27,  19.6, , , , ,  17.4,   0.0,  32.6,  47.1,   0.7,   0.0,   2.2,  54.3,  45.7,      30,19.1,        140,8.5,100.0,      47,100.0,  16.2 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
New Bedford: Trinity Day Academy,02010510,Public School,New Bedford,MA,02740,"04,05,06,07,08,09,10,11,12",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       1,       1,       9,       5,       7,      12,       4,0.0,      39,       3,   7.7,       0,   0.0,      38,  97.4, , , , ,  15.4,   0.0,  20.5,  53.8,   0.0,   0.0,  10.3,  76.9,  23.1,      51,5.1,         38,8.9,67.4,      70,84.3,   4.4 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",        20,10.0,10.0,0.0,15.0,65.0,0.0,      28,8.0,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Whaling City Junior/Senior High School,02010515,Public School,New Bedford,MA,02740,"06,07,08,09,10,11,12",New Bedford,02010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       1,       5,      23,      16,      14,      11,0.0,      70,      11,  15.7,       0,   0.0,      24,  34.3, , , , ,  28.6,   0.0,  30.0,  31.4,   0.0,   5.7,   4.3,  84.3,  15.7,      58,5.7,         71,10.9,100.0,     119,70.6,   6.4 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",        23,13.0,17.4,8.7,0.0,60.9,0.0,      64,29.0,45.3,,,,,,,,,,,9.0,6.0,66.7,,,,,,,,,,,,,,,,,,
New Bedford: William H Taylor,02010135,Public School,New Bedford,MA,02744,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,       0,      48,      51,      37,      52,      43,      28,       0,       0,       0,       0,       0,       0,       0,0.0,     259,      38,  14.7,       0,   0.0,      48,  18.5, , , , ,   3.9,   0.4,  15.8,  72.2,   0.0,   0.4,   7.3,  56.8,  43.2,      50,22.2,        259,14.3,98.0,      83,83.1,  18.1 to 1,"     $60,283,425","  $70,056",    860.5,"         $159,194,669.00","          12,541.4","              $12,693.53","         $170,499,098.80","          13,262.0","              $12,856.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
New Heights Charter School of Brockton (District): New Heights Charter School of Brockton,35130305,Charter School,Brockton,MA,02301,"06,07,08,09,10,11,12",New Heights Charter School of Brockton (District),35130000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Salem-Wendell: Swift River,07280015,Public School,New Salem,MA,01355,"PK,K,01,02,03,04,05,06",New Salem-Wendell,07280000,Public School District,      17,      18,      17,      15,      20,      18,      14,      21,       0,       0,       0,       0,       0,       0,0.0,     140,       2,   1.4,       0,   0.0,      22,  15.7, , , , ,   0.0,   2.1,   4.3,  90.0,   0.0,   0.0,   3.6,  52.1,  47.9,      29,17.0,        140,12.2,100.0,      26,100.0,  11.5 to 1,"        $622,900","  $51,057",     12.2,"           $2,120,401.00",             131.9,"              $16,075.82","           $2,206,038.00",             143.8,"              $15,341.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
Newburyport: Edward G. Molin Elementary School,02040030,Public School,Newburyport,MA,01950,"04,05",Newburyport,02040000,Public School District,       0,       0,       0,       0,       0,     157,     195,       0,       0,       0,       0,       0,       0,       0,0.0,     352,      11,   3.1,       3,   0.9,      53,  15.1, , , , ,   1.1,   1.7,   2.6,  92.9,   0.0,   0.0,   1.7,  47.7,  52.3,      92,23.4,        352,25.1,100.0,     125,100.0,  14.0 to 1,"     $12,616,311","  $72,969",    172.9,"          $30,915,033.66","           2,325.9","              $13,291.64","          $35,226,729.04","           2,586.0","              $13,622.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Newburyport: Francis T Bresnahan Elementary,02040005,Public School,Newburyport,MA,01950,"PK,K,01,02,03",Newburyport,02040000,Public School District,       0,       0,     179,     155,     168,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     502,       8,   1.6,       6,   1.2,      73,  14.5, , , , ,   0.8,   0.8,   1.4,  94.8,   0.0,   0.0,   2.2,  54.2,  45.8,     109,19.0,        502,38.1,100.0,     204,100.0,  13.2 to 1,"     $12,616,311","  $72,969",    172.9,"          $30,915,033.66","           2,325.9","              $13,291.64","          $35,226,729.04","           2,586.0","              $13,622.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport: Newburyport High,02040505,Public School,Newburyport,MA,01950,"09,10,11,12",Newburyport,02040000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     189,     164,     186,     166,2.0,     707,       9,   1.3,       2,   0.3,      92,  13.0, , , , ,   0.6,   1.7,   2.4,  93.5,   0.0,   0.0,   1.8,  48.1,  51.9,     279,16.5,        707,57.4,99.3,     457,99.6,  12.3 to 1,"     $12,616,311","  $72,969",    172.9,"          $30,915,033.66","           2,325.9","              $13,291.64","          $35,226,729.04","           2,586.0","              $13,622.09",       166,94.6,2.4,0.0,1.2,1.8,0.0,     705,3.0,0.4,,,,,,,,,,,156.0,156.0,100.0,101.0,     188,53.0,22.0,16.0,7.0,3.0,7.0,22.0,37.0,66.0,56.0,15.4,84.6,145.0,551.0,563.0,82.0
Newburyport: Rupert A Nock Middle,02040305,Public School,Newburyport,MA,01950,"06,07,08",Newburyport,02040000,Public School District,       0,       0,       0,       0,       0,       0,       0,     180,     174,     176,       0,       0,       0,       0,0.0,     530,       6,   1.1,       2,   0.4,      70,  13.2, , , , ,   1.1,   1.1,   2.5,  92.6,   0.2,   0.0,   2.5,  52.1,  47.9,     167,26.7,        530,36.4,100.0,     187,100.0,  14.6 to 1,"     $12,616,311","  $72,969",    172.9,"          $30,915,033.66","           2,325.9","              $13,291.64","          $35,226,729.04","           2,586.0","              $13,622.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
Newton: A E Angier,02070005,Public School,Waban,MA,02468,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      61,      71,      60,      65,      70,      66,       0,       0,       0,       0,       0,       0,       0,0.0,     393,      70,  17.8,      30,   7.6,      78,  19.8, , , , ,   6.9,  12.0,   6.6,  68.4,   0.3,   0.0,   5.9,  53.4,  46.6,     122,21.8,        393,19.8,100.0,     104,100.0,  19.8 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0
Newton: Bigelow Middle,02070305,Public School,Newton,MA,02458,"06,07,08",Newton,02070000,Public School District,       0,       0,       0,       0,       0,       0,       0,     191,     167,     175,       0,       0,       0,       0,0.0,     533,      89,  16.7,      20,   3.8,     128,  24.0, , , , ,   6.9,  13.3,   7.9,  64.4,   0.0,   0.0,   7.5,  49.2,  50.8,     225,20.2,        533,44.1,100.0,     200,100.0,  12.1 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
Newton: Bowen,02070015,Public School,Newton Centre,MA,02459,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      66,      71,      75,      75,      84,      76,       0,       0,       0,       0,       0,       0,       0,0.0,     447,     130,  29.1,      49,  11.0,      62,  13.9, , , , ,   6.0,  23.0,   6.0,  56.8,   0.0,   0.0,   8.1,  50.8,  49.2,     133,23.5,        447,21.3,100.0,     114,100.0,  21.0 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0
Newton: C C Burr,02070020,Public School,Auburndale,MA,02466,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      68,      64,      71,      66,      70,      70,       0,       0,       0,       0,       0,       0,       0,0.0,     409,     105,  25.7,      42,  10.3,      50,  12.2, , , , ,   2.4,  17.1,   6.8,  67.0,   0.0,   0.0,   6.6,  52.1,  47.9,     126,22.7,        409,19.9,100.0,     108,100.0,  20.6 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0
Newton: Cabot,02070025,Public School,Newtonville,MA,02460,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      63,      78,      77,      74,      72,      76,       0,       0,       0,       0,       0,       0,       0,0.0,     440,      57,  13.0,      17,   3.9,      55,  12.5, , , , ,   5.5,   8.4,   7.7,  74.5,   0.0,   0.0,   3.9,  53.9,  46.1,     140,22.0,        440,22.7,100.0,     120,100.0,  19.3 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0
Newton: Charles E Brown Middle,02070310,Public School,Newton Centre,MA,02459,"06,07,08",Newton,02070000,Public School District,       0,       0,       0,       0,       0,       0,       0,     232,     220,     225,       0,       0,       0,       0,0.0,     677,     142,  21.0,      34,   5.0,     150,  22.2, , , , ,   3.4,  18.2,   7.1,  65.9,   0.1,   0.0,   5.3,  48.3,  51.7,     256,20.1,        677,55.3,100.0,     236,94.9,  12.2 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Newton: Countryside,02070040,Public School,Newton Highlands,MA,02461,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      62,      87,      92,      81,      92,      75,       0,       0,       0,       0,       0,       0,       0,0.0,     489,     159,  32.5,      58,  11.9,      85,  17.4, , , , ,   3.5,  27.2,   7.2,  53.8,   0.4,   0.0,   8.0,  52.4,  47.6,     154,22.2,        489,24.6,100.0,     132,100.0,  19.9 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
Newton: F A Day Middle,02070315,Public School,Newtonville,MA,02460,"06,07,08",Newton,02070000,Public School District,       0,       0,       0,       0,       0,       0,       0,     300,     275,     263,       0,       0,       0,       0,0.0,     838,     128,  15.3,      23,   2.7,     182,  21.7, , , , ,   4.9,  11.3,   8.6,  71.6,   0.0,   0.1,   3.5,  49.5,  50.5,     309,20.9,        838,62.9,98.3,     275,96.0,  13.3 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
Newton: Franklin,02070055,Public School,West Newton,MA,02465,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      72,      47,      71,      62,      78,      71,       0,       0,       0,       0,       0,       0,       0,0.0,     401,      79,  19.7,      41,  10.2,      73,  18.2, , , , ,   5.7,  10.2,  11.0,  67.1,   0.5,   0.0,   5.5,  47.9,  52.1,     119,23.6,        401,18.9,100.0,     102,100.0,  21.3 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
Newton: Horace Mann,02070075,Public School,Newtonville,MA,02460,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      80,      64,      59,      66,      54,      63,       0,       0,       0,       0,       0,       0,       0,0.0,     386,     100,  25.9,      42,  10.9,      60,  15.5, , , , ,   4.9,  14.5,   9.1,  66.3,   0.5,   0.0,   4.7,  53.4,  46.6,     125,21.4,        386,19.8,100.0,     107,100.0,  19.5 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Newton: John Ward,02070120,Public School,Newton Centre,MA,02459,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      46,      46,      46,      49,      58,      33,       0,       0,       0,       0,       0,       0,       0,0.0,     278,      51,  18.3,      17,   6.1,      36,  12.9, , , , ,   2.2,  11.2,   4.3,  77.0,   0.7,   0.0,   4.7,  43.5,  56.5,      98,19.9,        278,13.7,100.0,      84,100.0,  20.4 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
Newton: Lincoln-Eliot,02070070,Public School,Newton,MA,02458,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      55,      62,      51,      42,      60,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     317,     106,  33.4,      55,  17.4,      57,  18.0, , , , ,  12.0,  14.8,  10.4,  59.0,   0.0,   0.0,   3.8,  43.8,  56.2,     105,21.1,        317,16.7,100.0,      90,100.0,  19.0 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
Newton: Mason-Rice,02070080,Public School,Newton Centre,MA,02459,"K,01,02,03,04,05",Newton,02070000,Public School District,       0,      64,      72,      75,      73,      82,      71,       0,       0,       0,       0,       0,       0,       0,0.0,     437,      58,  13.3,      31,   7.1,      46,  10.5, , , , ,   1.1,  10.5,   2.5,  78.3,   0.0,   0.0,   7.6,  51.3,  48.7,     133,23.0,        437,21.9,100.0,     114,100.0,  19.9 to 1,"     $70,136,643","  $79,152",    886.1,"         $186,678,086.00","          12,024.8","              $15,524.42","         $200,063,957.00","          12,199.1","              $16,399.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0
