School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Hopedale: Memorial,01380010,Public School,Hopedale,MA,01747,"K,01,02,03,04,05,06",Hopedale,01380000,Public School District,       0,      66,      87,      83,      85,      90,      98,      91,       0,       0,       0,       0,       0,       0,       0,     600,      29,4.8,      13,2.2,     108,18.0, , ,     149,24.8,      54,9.0,0.8,2.7,3.8,90.5,0.3,0.3,1.5,55.3,44.7,     223,23.0,        597,41.6,100.0,     165,100.0,14.4,"      $5,635,272","  $65,526",     86.0,45.0,      45, 100.0,   8.9,  91.1,   0.0,   0.0,"          $14,125,076.00","           1,221.0","              $11,568.45","          $15,284,889.00","           1,291.3","              $11,836.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
Hopedale: Park Street School,01380003,Public School,Hopedale,MA,01747,PK,Hopedale,01380000,Public School District,      90,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      90,       1,1.1,       0,0.0,      13,14.4, , ,      18,20.0,       7,7.8,0.0,0.0,3.3,88.9,0.0,0.0,7.8,54.4,45.6,       7,13.1,         92,3.5,88.6,       6,100.0,25.7,"      $5,635,272","  $65,526",     86.0,6.0,       6, 100.0,-,-,-,-,"          $14,125,076.00","           1,221.0","              $11,568.45","          $15,284,889.00","           1,291.3","              $11,836.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton: Elmwood,01390010,Public School,Hopkinton,MA,01748,"02,03",Hopkinton,01390000,Public School District,       0,       0,       0,     241,     224,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     465,      23,4.9,      18,3.9,      53,11.4, , ,      84,18.1,      15,3.2,0.9,10.8,3.0,81.5,0.2,0.0,3.7,51.6,48.4,     139,21.1,        471,33.7,100.0,     135,100.0,13.8,"     $20,872,912","  $82,436",    253.2,46.0,      46, 100.0,  15.2,  82.6,   2.2,   0.0,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton: Hopkins Elementary School,01390015,Public School,Hopkinton,MA,01748,"04,05",Hopkinton,01390000,Public School District,       0,       0,       0,       0,       0,     274,     265,       0,       0,       0,       0,       0,       0,       0,       0,     539,      21,3.9,       9,1.7,      74,13.7, , ,      93,17.3,      10,1.9,0.6,10.0,1.9,84.8,0.4,0.0,2.4,48.4,51.6,     257,22.9,        540,39.1,100.0,     176,100.0,13.8,"     $20,872,912","  $82,436",    253.2,50.0,      50, 100.0,  18.0,  74.0,   8.0,   0.0,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
Hopkinton: Hopkinton High,01390505,Public School,Hopkinton,MA,01748,"09,10,11,12",Hopkinton,01390000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     266,     268,     293,     293,       2,"   1,122",      24,2.1,       4,0.4,     135,12.0, , ,     166,14.8,      35,3.1,1.2,6.2,1.5,90.3,0.3,0.0,0.4,46.8,53.2,     848,17.7,"      1,124",80.6,100.0,     656,99.7,13.9,"     $20,872,912","  $82,436",    253.2,101.0,     101, 100.0,   9.9,  84.2,   5.9,   0.0,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",293.0,98.0,0.7,0.7,0.0,0.7,0.0,"   1,120",0.0,0.0,288.0,255.0,88.5,0.0,37.5,5.2,45.8,4.5,6.9,16.7,83.3,288.0,278.0,96.5,449.0,     841,231.0,101.0,70.0,39.0,8.0,43.0,92.0,199.0,261.0,246.0,16.1,83.9,265.0,557.0,578.0,93.0
Hopkinton: Hopkinton Middle School,01390305,Public School,Hopkinton,MA,01748,"06,07,08",Hopkinton,01390000,Public School District,       0,       0,       0,       0,       0,       0,       0,     307,     271,     267,       0,       0,       0,       0,       0,     845,      26,3.1,       3,0.4,     115,13.6, , ,     142,16.8,      20,2.4,0.5,8.2,1.3,88.4,0.2,0.0,1.4,50.2,49.8,     559,21.9,        851,65.8,100.0,     345,100.0,12.8,"     $20,872,912","  $82,436",    253.2,80.0,      80, 100.0,  15.0,  85.0,   0.0,   0.0,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0
Hopkinton: Hopkinton Pre-School,01390003,Public School,Hopkinton,MA,01748,PK,Hopkinton,01390000,Public School District,      49,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      49,       2,4.1,       2,4.1,      18,36.7, , ,      18,36.7,       0,0.0,0.0,4.1,0.0,95.9,0.0,0.0,0.0,42.9,57.1,       7,9.7,         61,3.0,100.0,       6,100.0,16.3,"     $20,872,912","  $82,436",    253.2,7.0,       7, 100.0,-,-,-,-,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton: Marathon Elementary School,01390005,Public School,Hopkinton,MA,01748,"K,01",Hopkinton,01390000,Public School District,       0,     216,     227,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     443,      14,3.2,      13,2.9,      33,7.4, , ,      54,12.2,      11,2.5,0.9,11.3,3.8,78.6,0.2,0.2,5.0,51.0,49.0,      96,20.4,        447,30.0,100.0,     140,100.0,14.8,"     $20,872,912","  $82,436",    253.2,41.0,      41, 100.0,   0.0,  95.1,   4.9,   0.0,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson: C A Farley,01410030,Public School,Hudson,MA,01749,"PK,K,01,02,03,04",Hudson,01410000,Public School District,      12,      78,     113,     108,     103,      98,       0,       0,       0,       0,       0,       0,       0,       0,       0,     512,      74,14.5,      32,6.3,      67,13.1, , ,     172,33.6,     100,19.5,1.6,3.5,6.8,85.7,0.0,0.0,2.3,48.8,51.2,     215,20.2,        513,39.7,100.0,     155,100.0,12.9,"     $17,895,923","  $73,889",    242.2,48.0,      48, 100.0,   0.0,  93.8,   6.3,   0.0,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
Hudson: David J. Quinn Middle School,01410410,Public School,Hudson,MA,01749,"05,06,07",Hudson,01410000,Public School District,       0,       0,       0,       0,       0,       0,     228,     212,     243,       0,       0,       0,       0,       0,       0,     683,      91,13.3,      23,3.4,     129,18.9, , ,     236,34.6,     119,17.4,1.8,0.7,6.1,88.7,0.4,0.1,2.0,49.8,50.2,     450,19.4,        695,58.0,100.0,     290,100.0,11.8,"     $17,895,923","  $73,889",    242.2,68.0,      68, 100.0,   2.9,  94.1,   1.5,   1.5,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
Hudson: Forest Avenue Elementary,01410015,Public School,Hudson,MA,01749,"K,01,02,03,04",Hudson,01410000,Public School District,       0,      56,      56,      66,      73,      63,       0,       0,       0,       0,       0,       0,       0,       0,       0,     314,      56,17.8,      34,10.8,      34,10.8, , ,      89,28.3,      46,14.6,0.6,2.5,6.7,86.9,0.0,0.0,3.2,49.0,51.0,     148,19.2,        324,25.9,100.0,     104,100.0,12.1,"     $17,895,923","  $73,889",    242.2,31.0,      31, 100.0,   3.2,  93.5,   3.2,   0.0,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
Hudson: Hudson High,01410505,Public School,Hudson,MA,01749,"08,09,10,11,12",Hudson,01410000,Public School District,      88,       0,       0,       0,       0,       0,       0,       0,       0,     234,     207,     171,     208,     179,       0,"   1,087",     147,13.5,      31,2.9,     172,15.8, , ,     341,31.4,     175,16.1,1.4,2.6,5.5,88.4,0.1,0.0,2.0,48.7,51.3,     554,15.6,"      1,100",92.7,94.6,     432,94.2,11.7,"     $17,895,923","  $73,889",    242.2,115.0,     115, 100.0,   5.2,  90.4,   4.3,   0.0,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",195.0,86.2,4.6,1.5,1.0,6.7,0.0,     765,15.0,2.0,171.0,144.0,84.2,0.0,34.5,13.5,36.3,12.3,13.5,14.0,70.8,171.0,171.0,100.0,177.0,     296,90.0,64.0,15.0,7.0,1.0,37.0,59.0,98.0,71.0,31.0,32.4,67.6,156.0,524.0,527.0,45.0
Hudson: Mulready Elementary,01410007,Public School,Hudson,MA,01749,"PK,K,01,02,03,04",Hudson,01410000,Public School District,       8,      46,      57,      57,      51,      61,       0,       0,       0,       0,       0,       0,       0,       0,       0,     280,      45,16.1,      21,7.5,      47,16.8, , ,      96,34.3,      47,16.8,1.4,1.1,7.1,86.1,0.0,0.0,4.3,52.5,47.5,     132,17.8,        280,24.0,100.0,      99,100.0,11.7,"     $17,895,923","  $73,889",    242.2,31.0,      31, 100.0,-,-,-,-,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Hull: Hull High,01420505,Public School,Hull,MA,02045,"09,10,11,12",Hull,01420000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      66,      85,      91,     100,       0,     342,       8,2.3,       2,0.6,      51,14.9, , ,     125,36.5,      91,26.6,2.0,0.6,3.2,91.8,0.3,0.6,1.5,55.0,45.0,     259,11.7,        335,31.6,96.8,     154,99.4,10.8,"      $6,961,852","  $80,206",     86.8,37.0,      32,  86.5,   3.1,  90.6,   6.3,   0.0,"          $17,437,822.00","           1,023.1","              $17,044.10","          $19,208,079.00","           1,087.0","              $17,670.73",91.0,92.3,4.4,0.0,0.0,3.3,0.0,     342,7.0,2.0,86.0,59.0,68.6,0.0,19.8,4.7,44.2,2.3,19.8,15.1,64.0,86.0,86.0,100.0,77.0,     132,34.0,31.0,12.0,0.0,0.0,22.0,41.0,39.0,25.0,5.0,47.7,52.3,72.0,488.0,504.0,60.0
Hull: Lillian M Jacobs,01420015,Public School,Hull,MA,02045,"PK,K,01,02,03,04,05",Hull,01420000,Public School District,      45,      57,      74,      65,      63,      68,      71,       0,       0,       0,       0,       0,       0,       0,       0,     443,       0,0.0,       0,0.0,      59,13.3, , ,     143,32.3,     110,24.8,0.7,0.2,0.0,98.6,0.0,0.2,0.2,56.9,43.1,     181,17.8,        449,36.5,100.0,     141,100.0,12.2,"      $6,961,852","  $80,206",     86.8,44.0,      42,  95.5,   0.0,  95.2,   4.8,   0.0,"          $17,437,822.00","           1,023.1","              $17,044.10","          $19,208,079.00","           1,087.0","              $17,670.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Hull: Memorial Middle,01420305,Public School,Hull,MA,02045,"06,07,08",Hull,01420000,Public School District,       0,       0,       0,       0,       0,       0,       0,      79,      85,      85,       0,       0,       0,       0,       0,     249,       0,0.0,       0,0.0,      34,13.7, , ,      90,36.1,      72,28.9,2.0,0.8,0.8,94.4,0.0,0.0,2.0,51.4,48.6,     124,18.2,        247,18.8,100.0,      80,100.0,13.3,"      $6,961,852","  $80,206",     86.8,25.0,      24,  96.0,   0.0,  87.5,  12.5,   0.0,"          $17,437,822.00","           1,023.1","              $17,044.10","          $19,208,079.00","           1,087.0","              $17,670.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
Innovation Academy Charter (District): Innovation Academy Charter School,04350305,Charter School,Tyngsboro,MA,01879,"05,06,07,08,09,10,11,12",Innovation Academy Charter (District),04350000,Charter District,       0,       0,       0,       0,       0,       0,     105,     100,     100,     100,     111,     100,      82,      68,       0,     766,      13,1.7,      13,1.7,     152,19.8, , ,     208,27.2,      74,9.7,3.9,6.4,4.7,81.3,0.3,0.0,3.4,49.9,50.1,     441,19.2,        765,67.1,85.5,     355,90.4,11.4,,,,,,,,,,,,,,,,,67.0,92.5,4.5,0.0,1.5,1.5,0.0,     361,4.0,1.1,65.0,54.0,83.1,0.0,43.1,10.8,29.2,10.8,10.8,12.3,72.3,65.0,58.0,89.2,6.0,,,,,,,,,,,,,,61.0,551.0,552.0,74.0
Institutional Schools: Central Area,03700012,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: East Area,03700040,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: Pappas Rehabilitation Hospital for Children,03700026,Public School,Canton,MA,02021,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: Southeast Area,03700015,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: West Area,03700013,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipswich: Ipswich High,01440505,Public School,Ipswich,MA,01938,"09,10,11,12",Ipswich,01440000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     124,     160,     132,     152,       2,     570,      13,2.3,       5,0.9,      63,11.1, , ,     112,19.6,      62,10.9,0.9,2.1,2.3,91.9,0.2,0.0,2.6,48.2,51.8,     362,13.7,        563,41.6,100.0,     312,100.0,13.7,"      $9,882,874","  $68,727",    143.8,55.0,      53,  96.4,   5.7,  94.3,   0.0,   0.0,"          $25,312,753.00","           1,893.5","              $13,368.23","          $27,470,249.00","           1,952.5","              $14,069.27",151.0,96.7,2.6,0.0,0.0,0.7,0.0,     568,3.0,0.5,146.0,118.0,80.8,0.0,33.6,10.3,37.0,9.6,9.6,13.0,70.6,146.0,146.0,100.0,104.0,     174,54.0,32.0,16.0,2.0,0.0,13.0,35.0,47.0,41.0,38.0,27.6,72.4,137.0,549.0,541.0,72.0
Ipswich: Ipswich Middle School,01440305,Public School,Ipswich,MA,01938,"06,07,08",Ipswich,01440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     169,     165,     148,       0,       0,       0,       0,       0,     482,      14,2.9,      10,2.1,      69,14.3, , ,     113,23.4,      52,10.8,0.4,2.3,3.7,90.2,0.0,0.0,3.3,51.2,48.8,     192,23.8,        482,34.1,100.0,     138,100.0,14.1,"      $9,882,874","  $68,727",    143.8,46.0,      45,  97.8,   8.9,  88.9,   2.2,   0.0,"          $25,312,753.00","           1,893.5","              $13,368.23","          $27,470,249.00","           1,952.5","              $14,069.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
Ipswich: Paul F Doyon Memorial,01440007,Public School,Ipswich,MA,01938,"PK,K,01,02,03,04,05",Ipswich,01440000,Public School District,      25,      55,      65,      62,      75,      66,      85,       0,       0,       0,       0,       0,       0,       0,       0,     433,      11,2.5,      10,2.3,      55,12.7, , ,      94,21.7,      38,8.8,0.5,2.5,3.5,91.9,0.0,0.0,1.6,46.9,53.1,     101,19.4,        442,29.8,100.0,     141,100.0,14.5,"      $9,882,874","  $68,727",    143.8,39.0,      39, 100.0,  38.5,  61.5,   0.0,   0.0,"          $25,312,753.00","           1,893.5","              $13,368.23","          $27,470,249.00","           1,952.5","              $14,069.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
Ipswich: Winthrop,01440015,Public School,Ipswich,MA,01938,"PK,K,01,02,03,04,05",Ipswich,01440000,Public School District,      22,      52,      64,      63,      78,      69,      85,       0,       0,       0,       0,       0,       0,       0,       0,     433,      16,3.7,      11,2.5,      48,11.1, , ,     108,24.9,      68,15.7,0.9,1.8,6.0,83.8,0.2,0.0,7.2,49.9,50.1,     136,19.7,        430,35.2,100.0,     168,97.0,12.3,"      $9,882,874","  $68,727",    143.8,42.0,      42, 100.0,  28.6,  69.0,   2.4,   0.0,"          $25,312,753.00","           1,893.5","              $13,368.23","          $27,470,249.00","           1,952.5","              $14,069.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,04630205,Charter School,Mattapan,MA,02126,"K,01,02,03,04,05,06,07,08",KIPP Academy Boston Charter School (District),04630000,Charter District,       0,      72,       0,       0,       0,       0,      72,      72,      72,       0,       0,       0,       0,       0,       0,     288,     121,42.0,      85,29.5,      60,20.8, , ,     230,79.9,     163,56.6,67.7,0.0,30.6,1.0,0.0,0.0,0.7,57.6,42.4,      53,25.8,        288,29.0,44.8,      49,91.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPP Academy Lynn Charter (District): KIPP Academy Lynn Charter School,04290010,Charter School,Lynn,MA,01902,"K,01,02,03,04,05,06,07,08,09,10,11,12",KIPP Academy Lynn Charter (District),04290000,Charter District,       0,       0,       0,       0,       0,       0,     120,     121,     120,      95,     112,     114,      84,      85,       0,     851,     393,46.2,     140,16.5,      96,11.3, , ,     513,60.3,     368,43.2,26.0,2.4,60.5,8.9,0.0,0.0,2.2,47.4,52.6,     269,22.2,        842,76.7,57.5,     194,93.3,11.1,,,,,,,,,,,,,,,,,79.0,88.6,7.6,0.0,2.5,1.3,0.0,     395,2.0,0.5,74.0,58.0,78.4,0.0,31.1,10.8,36.5,10.8,16.2,16.2,67.6,74.0,73.0,98.6,130.0,     183,85.0,37.0,8.0,0.0,0.0,38.0,69.0,43.0,25.0,8.0,58.5,41.5,12.0,488.0,529.0,87.0
King Philip: King Philip Middle School,06900510,Public School,Norfolk,MA,02056,"07,08",King Philip,06900000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     420,     373,       0,       0,       0,       0,       0,     793,       8,1.0,       0,0.0,     114,14.4, , ,     162,20.4,      66,8.3,1.1,1.4,2.6,92.9,0.0,0.1,1.8,53.8,46.2,     383,20.9,        805,45.6,100.0,     283,100.0,17.4,"      $8,781,464","  $69,091",    127.1,58.0,      57,  98.3,   3.5,  89.5,   7.0,   0.0,"          $25,685,405.00","           2,075.4","              $12,376.12","          $29,902,417.00","           2,153.8","              $13,883.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
King Philip: King Philip Regional High,06900505,Public School,Wrentham,MA,02093,"09,10,11,12",King Philip,06900000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     328,     326,     365,     275,      13,"   1,307",      25,1.9,       2,0.2,     128,9.8, , ,     182,13.9,      72,5.5,1.0,1.5,0.9,94.7,0.3,0.0,1.6,50.8,49.2,     484,19.4,"      1,312",81.5,100.0,     348,99.7,16.0,"      $8,781,464","  $69,091",    127.1,98.0,      98, 100.0,   1.0,  87.8,   9.2,   2.0,"          $25,685,405.00","           2,075.4","              $12,376.12","          $29,902,417.00","           2,153.8","              $13,883.56",274.0,97.1,1.1,0.0,0.4,1.5,0.0,"   1,294",8.0,0.6,269.0,230.0,85.5,0.0,37.9,10.0,37.5,9.3,11.5,10.4,75.4,269.0,269.0,100.0,345.0,     593,190.0,91.0,42.0,17.0,5.0,30.0,102.0,189.0,158.0,114.0,22.3,77.7,252.0,541.0,547.0,75.0
Kingston: Kingston Elementary,01450005,Public School,Kingston,MA,02364,"PK,K,01,02",Kingston,01450000,Public School District,       0,     129,     141,     146,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     416,       5,1.2,       5,1.2,      51,12.3, , ,     115,27.6,      71,17.1,1.4,0.5,2.2,94.5,0.5,0.0,1.0,51.0,49.0,     150,20.9,        432,28.2,100.0,     130,100.0,14.7,"      $4,479,519","  $66,560",     67.3,35.0,      35, 100.0,  20.0,  77.1,   2.9,   0.0,"          $10,258,871.00","           1,067.1","               $9,613.79","          $13,969,280.00","           1,115.5","              $12,522.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston: Kingston Intermediate,01450020,Public School,Kingston,MA,02364,"03,04,05,06",Kingston,01450000,Public School District,       0,       0,       0,       0,     136,     160,     172,     172,       0,       0,       0,       0,       0,       0,       0,     640,       4,0.6,       2,0.3,      91,14.2, , ,     160,25.0,      85,13.3,1.4,1.1,0.8,96.3,0.0,0.0,0.5,50.2,49.8,     248,21.6,        644,39.1,97.4,     194,100.0,16.4,"      $4,479,519","  $66,560",     67.3,47.0,      47, 100.0,   0.0,  93.6,   6.4,   0.0,"          $10,258,871.00","           1,067.1","               $9,613.79","          $13,969,280.00","           1,115.5","              $12,522.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
Lawrence: Alexander B Bruce,01490015,Public School,Lawrence,MA,01841,"03,04,05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,      87,      98,      84,      93,      84,      93,       0,       0,       0,       0,       0,     539,     409,75.9,     154,28.6,     109,20.2, , ,     445,82.6,     355,65.9,2.2,1.9,91.3,4.5,0.0,0.0,0.2,52.7,47.3,     209,21.7,        543,42.5,97.6,     224,90.2,12.7,"     $72,916,951","  $70,872","  1,028.9",56.0,      54,  96.4,  18.5,  77.8,   3.7,   0.0,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
Lawrence: Arlington Elementary,01490009,Public School,Lawrence,MA,01841,"PK,K,01,02,03,04",Lawrence,01490000,Public School District,      40,      81,     138,     136,     121,     126,       0,       0,       0,       0,       0,       0,       0,       0,       0,     642,     458,71.3,     312,48.6,      57,8.9, , ,     550,85.7,     445,69.3,0.8,0.0,96.9,2.3,0.0,0.0,0.0,51.9,48.1,      90,26.4,        648,58.5,86.3,     160,71.9,11.0,"     $72,916,951","  $70,872","  1,028.9",74.0,      74, 100.0,  20.3,  75.7,   4.1,   0.0,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
Lawrence: Arlington Middle School,01490017,Public School,Lawrence,MA,01841,"05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,     118,     138,     134,     130,       0,       0,       0,       0,       0,     520,     453,87.1,     168,32.3,      70,13.5, , ,     448,86.2,     345,66.3,1.5,0.0,96.9,1.5,0.0,0.0,0.0,51.5,48.5,     263,18.2,        531,37.8,97.4,     192,96.4,13.8,"     $72,916,951","  $70,872","  1,028.9",51.0,      50,  98.0,  28.0,  68.0,   4.0,   0.0,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
Lawrence: Edward F. Parthum,01490053,Public School,Lawrence,MA,01841,"K,01,02,03,04",Lawrence,01490000,Public School District,       0,      64,     137,     144,     120,     139,       0,       0,       0,       0,       0,       0,       0,       0,       0,     604,     294,48.7,     191,31.6,      55,9.1, , ,     477,79.0,     382,63.2,1.2,0.3,88.7,8.6,0.2,0.0,1.0,48.8,51.2,     114,20.1,        600,41.8,100.0,     196,100.0,14.4,"     $72,916,951","  $70,872","  1,028.9",53.0,      53, 100.0,  13.2,  79.2,   7.5,   0.0,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Lawrence: Emily G Wetherbee,01490080,Public School,Lawrence,MA,01843,"K,01,02,03,04,05,06,07,08",Lawrence,01490000,Public School District,       0,      62,      82,      85,      76,      85,      74,      87,      82,      74,       0,       0,       0,       0,       0,     707,     461,65.2,     198,28.0,     119,16.8, , ,     548,77.5,     437,61.8,0.4,3.1,90.2,5.8,0.0,0.0,0.4,50.9,49.1,     188,22.5,        712,44.5,97.2,     222,100.0,15.9,"     $72,916,951","  $70,872","  1,028.9",63.0,      63, 100.0,  27.0,  61.9,   7.9,   3.2,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
