School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Lynn: Lynn English High,01630510,Public School,Lynn,MA,01902,"09,10,11,12",Lynn,01630000,Public School District,,,,,,,,,,,     506,     447,     409,     273,0.0,"   1,635",     719,  44.0,     241,  14.7,     149,   9.1, , , , ,  14.1,   8.4,  40.7,  32.9,   0.2,   0.0,   3.5,  47.3,  52.7,98.7,94.8,     455,82.4,  16.6 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",       331,76.7,9.1,1.2,3.3,9.7,0.0,"   1,635",46.0,2.8,,,,,,,,,,,97.0,     137,68.0,20.0,7.0,2.0,0.0,54.0,31.0,29.0,15.0,8.0,62.0,38.0,148.0,444.0,455.0
Lynn: Lynn Vocational Technical Institute,01630605,Public School,Lynn,MA,01902,"PK,K,01,02,03,04,05,06,08,09,10,11,12",Lynn,01630000,Public School District,      25,,,,,,,,,,     388,     260,     277,     240,10.0,"   1,200",     657,  54.8,     214,  17.8,     287,  23.9, , , , ,  11.1,   8.2,  52.1,  25.8,   0.4,   0.0,   2.4,  60.7,  39.3,98.0,93.9,     436,65.6,  12.2 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",       278,61.2,12.9,2.9,1.1,21.9,0.0,"   1,165",103.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,59.0,372.0,399.0
Lynn: Lynn Woods,01630075,Public School,Lynn,MA,01904,"K,01,02,03,04,05",Lynn,01630000,Public School District,,      19,      24,      28,      23,      33,      29,,,,,,,,0.0,     156,      27,  17.3,      13,   8.3,      38,  24.4, , , , ,   9.6,   4.5,  21.8,  62.2,   0.0,   0.0,   1.9,  55.1,  44.9,11.1,95.5,      37,81.1,  14.1 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Pickering Middle,01630420,Public School,Lynn,MA,01904,"06,07,08",Lynn,01630000,Public School District,,,,,,,,     205,     205,     214,,,,,0.0,     624,     162,  26.0,      27,   4.3,     109,  17.5, , , , ,  10.6,   9.1,  25.3,  50.6,   0.0,   0.0,   4.3,  49.7,  50.3,51.4,92.2,     161,84.5,  12.1 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Robert L Ford,01630050,Public School,Lynn,MA,01902,"01,02,03,04,05",Lynn,01630000,Public School District,       5,      78,      88,      86,      81,      86,      70,      83,      81,     118,,,,,0.0,     776,     458,  59.0,     236,  30.4,     111,  14.3, , , , ,  11.5,  12.9,  56.2,  15.3,   0.0,   0.0,   4.1,  53.7,  46.3,56.8,92.8,     216,81.9,  13.7 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Sewell-Anderson,01630085,Public School,Lynn,MA,01905,"K,01,02,03,04,05",Lynn,01630000,Public School District,,      36,      44,      40,      43,      43,      33,,,,,,,,0.0,     239,      65,  27.2,      52,  21.8,      36,  15.1, , , , ,  13.0,   2.1,  34.3,  45.6,   0.0,   0.0,   5.0,  54.4,  45.6,21.4,100.0,      85,94.1,  11.2 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Thurgood Marshall Mid,01630305,Public School,Lynn,MA,01902,"06,07,08",Lynn,01630000,Public School District,,,,,,,,     247,     279,     269,,,,,0.0,     795,     502,  63.1,     234,  29.4,     154,  19.4, , , , ,  16.0,  10.8,  54.8,  16.2,   0.1,   0.0,   2.0,  52.1,  47.9,75.8,93.3,     237,86.9,  10.5 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Tracy,01630100,Public School,Lynn,MA,01905,"01,02,03,04,05",Lynn,01630000,Public School District,,      47,      47,      37,      33,      36,      32,,,,,,,,0.0,     232,     123,  53.0,      90,  38.8,      40,  17.2, , , , ,  11.2,  14.2,  51.3,  18.1,   0.0,   0.4,   4.7,  47.0,  53.0,18.0,94.4,      68,76.5,  12.9 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Virginia Barton Early Childhood Center,01630004,Public School,Lynn,MA,01905,PK,Lynn,01630000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Washington Elementary School,01630005,Public School,Lynn,MA,01902,"PK,K,01,02,03,04,05",Lynn,01630000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: William R Fallon,01630080,Public School,Lynn,MA,01905,"01,02,03,04,05,06",Lynn,01630000,Public School District,,      19,      18,      24,      26,      29,      19,,,,,,,,0.0,     135,      46,  34.1,      24,  17.8,      26,  19.3, , , , ,  16.3,  11.1,  33.3,  36.3,   0.7,   0.0,   2.2,  54.1,  45.9,12.0,100.0,      45,84.4,  11.3 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn: Wm P Connery,01630040,Public School,Lynn,MA,01905,"PK,K,01,02,03,04,05",Lynn,01630000,Public School District,       9,      89,      84,      79,      81,      72,      79,,,,,,,,0.0,     493,     363,  73.6,     285,  57.8,      91,  18.5, , , , ,  17.2,  11.0,  62.7,   6.5,   0.2,   0.0,   2.4,  51.7,  48.3,42.9,93.9,     171,83.6,  11.5 to 1,"     $63,730,359","  $60,523","  1,053.0","         $170,987,856.31","          13,376.5","              $12,782.71","         $182,785,438.31","          14,064.8","              $12,995.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynnfield: Huckleberry Hill,01640010,Public School,Lynnfield,MA,01940,"K,01,02,03,04",Lynnfield,01640000,Public School District,,      67,      86,      86,      79,      94,,,,,,,,,0.0,     412,      15,   3.6,       0,   0.0,      31,   7.5, , , , ,   2.7,   4.9,   2.7,  87.9,   0.0,   0.0,   1.9,  51.7,  48.3,24.0,100.0,     136,100.0,  17.2 to 1,"     $10,022,947","  $65,940",    152.0,"          $22,770,141.74","           2,317.0","               $9,827.42","          $24,135,529.74","           2,348.8","              $10,275.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynnfield: Lynnfield High,01640505,Public School,Lynnfield,MA,01940,"09,10,11,12",Lynnfield,01640000,Public School District,,,,,,,,,,,     184,     170,     148,     158,0.0,     660,      28,   4.2,       0,   0.0,      75,  11.4, , , , ,   1.7,   3.9,   1.2,  92.6,   0.5,   0.0,   0.2,  50.9,  49.1,50.1,100.0,     207,99.5,  13.2 to 1,"     $10,022,947","  $65,940",    152.0,"          $22,770,141.74","           2,317.0","               $9,827.42","          $24,135,529.74","           2,348.8","              $10,275.69",       163,96.3,0.0,0.0,1.2,2.5,0.0,     660,2.0,0.3,,,,,,,,,,,121.0,     210,58.0,44.0,14.0,3.0,2.0,11.0,21.0,56.0,64.0,58.0,15.2,84.8,145.0,529.0,554.0
Lynnfield: Lynnfield Middle School,01640405,Public School,Lynnfield,MA,01940,"05,06,07,08",Lynnfield,01640000,Public School District,,,,,,,     189,     172,     188,     166,,,,,0.0,     715,      17,   2.4,       2,   0.3,      85,  11.9, , , , ,   2.5,   2.4,   1.3,  92.6,   0.6,   0.0,   0.7,  52.0,  48.0,42.6,98.1,     208,99.5,  16.8 to 1,"     $10,022,947","  $65,940",    152.0,"          $22,770,141.74","           2,317.0","               $9,827.42","          $24,135,529.74","           2,348.8","              $10,275.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynnfield: Lynnfield Preschool,01640005,Public School,Lynnfield,MA,01940,PK,Lynnfield,01640000,Public School District,      66,,,,,,,,,,,,,,0.0,      66,       0,   0.0,       0,   0.0,      10,  15.2, , , , ,   0.0,   0.0,   4.5,  93.9,   0.0,   0.0,   1.5,  59.1,  40.9,3.2,100.0,      12,100.0,  20.6 to 1,"     $10,022,947","  $65,940",    152.0,"          $22,770,141.74","           2,317.0","               $9,827.42","          $24,135,529.74","           2,348.8","              $10,275.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynnfield: Summer Street,01640020,Public School,Lynnfield,MA,01940,"K,01,02,03,04",Lynnfield,01640000,Public School District,,      79,     103,     105,     100,      99,,,,,,,,,0.0,     486,       3,   0.6,       0,   0.0,      42,   8.6, , , , ,   0.4,   1.6,   3.1,  94.0,   0.0,   0.0,   0.8,  54.9,  45.1,31.7,100.0,     190,100.0,  15.4 to 1,"     $10,022,947","  $65,940",    152.0,"          $22,770,141.74","           2,317.0","               $9,827.42","          $24,135,529.74","           2,348.8","              $10,275.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma Academy for Math and Science: Ma Academy for Math and Science School,04680505,Public School,Worcester,MA,01605,"11,12",Ma Academy for Math and Science,04680000,Public School District,,,,,,,,,,,,,      49,      44,0.0,      93,      15,  16.1,       0,   0.0,       0,   0.0, , , , ,   1.1,  20.4,   0.0,  78.5,   0.0,   0.0,   0.0,  51.6,  48.4,8.0,87.5,      10,100.0,  11.6 to 1,,,,,,,,,,        41,100.0,0.0,0.0,0.0,0.0,0.0,      93,1.0,1.1,,,,,,,,,,,2.0,,,,,,,,,,,,,,43.0,652.0,705.0
Malden: Beebe,01650003,Public School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08",Malden,01650000,Public School District,,     100,     111,     105,     105,     105,     107,      99,     108,     111,,,,,0.0,     951,     369,  38.8,     132,  13.9,     130,  13.7, , , , ,  12.2,  30.0,  12.3,  42.7,   0.4,   0.0,   2.4,  51.0,  49.0,62.2,100.0,     238,100.0,  15.3 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden: Ferryway,01650013,Public School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08",Malden,01650000,Public School District,,      95,     111,     104,      92,      85,      97,      96,     115,     105,,,,,0.0,     900,     403,  44.8,     101,  11.2,      94,  10.4, , , , ,  18.0,  22.3,  22.6,  31.6,   1.2,   0.0,   4.3,  53.0,  47.0,64.0,98.4,     250,98.4,  14.1 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden: Forestdale,01650027,Public School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08",Malden,01650000,Public School District,,      64,      70,      76,      57,      62,      70,      61,      56,      51,,,,,0.0,     567,     141,  24.9,      48,   8.5,      84,  14.8, , , , ,  12.3,   8.1,  26.1,  50.3,   0.4,   0.2,   2.6,  53.4,  46.6,43.5,93.1,     134,95.5,  13.0 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden: Linden,01650047,Public School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08",Malden,01650000,Public School District,,      77,      98,     103,     100,     103,      98,      90,      78,      64,,,,,0.0,     811,     312,  38.5,      82,  10.1,     113,  13.9, , , , ,  13.4,  26.8,  15.0,  39.0,   0.9,   0.0,   4.9,  51.8,  48.2,61.6,98.4,     223,100.0,  13.2 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden: Malden Early Learning Center,01650049,Public School,Malden,MA,02148,PK,Malden,01650000,Public School District,     284,      35,,,,,,,,,,,,,0.0,     319,     107,  33.5,       1,   0.3,      79,  24.8, , , , ,  16.6,  26.6,   5.0,  49.5,   0.0,   0.3,   1.9,  58.9,  41.1,19.0,100.0,      95,100.0,  16.8 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden: Malden High,01650505,Public School,Malden,MA,02148,"09,10,11,12",Malden,01650000,Public School District,,,,,,,,,,,     491,     422,     407,     380,13.0,"   1,713",     619,  36.1,     167,   9.7,     255,  14.9, , , , ,  21.2,  22.2,  16.9,  36.4,   0.6,   0.1,   2.6,  50.8,  49.2,118.6,92.5,     503,84.1,  14.4 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",       474,72.8,9.9,0.8,3.4,13.1,0.0,"   1,700",89.0,5.2,,,,,,,,,,,148.0,     265,64.0,60.0,17.0,5.0,2.0,68.0,47.0,56.0,50.0,44.0,43.4,56.6,261.0,445.0,476.0
Malden: Salemwood,01650057,Public School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08",Malden,01650000,Public School District,,     115,     124,     116,     120,     120,     118,     128,     144,     141,,,,,0.0,"   1,126",     409,  36.3,      88,   7.8,     179,  15.9, , , , ,  26.6,  11.1,  24.2,  33.2,   0.9,   0.0,   4.0,  52.1,  47.9,85.6,100.0,     304,100.0,  13.1 to 1,"     $33,390,560","  $73,547",    454.0,"          $76,370,669.50","           6,431.6","              $11,874.29","          $85,064,359.50","           7,056.4","              $12,054.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Essex Regional: Essex Elementary,06980020,Public School,Essex,MA,01929,"K,01,02,03,04,05",Manchester Essex Regional,06980000,Public School District,      19,      40,      34,      39,      41,      41,      42,      41,,,,,,,0.0,     297,       3,   1.0,       2,   0.7,      50,  16.8, , , , ,   0.3,   0.0,   0.3,  99.3,   0.0,   0.0,   0.0,  53.9,  46.1,22.9,100.0,     114,100.0,  13.0 to 1,"      $6,864,319","  $65,940",    104.1,"          $16,633,613.42","           1,365.2","              $12,184.01","          $18,306,453.36","           1,408.4","              $12,998.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Essex Regional: Manchester Essex Regional High School,06980510,Public School,Manchester,MA,01944,"09,10,11,12",Manchester Essex Regional,06980000,Public School District,,,,,,,,,     109,     106,     114,     100,      98,      94,0.0,     621,       0,   0.0,       0,   0.0,      71,  11.4, , , , ,   0.2,   0.2,   0.3,  99.4,   0.0,   0.0,   0.0,  48.5,  51.5,30.1,94.2,     265,93.2,  20.6 to 1,"      $6,864,319","  $65,940",    104.1,"          $16,633,613.42","           1,365.2","              $12,184.01","          $18,306,453.36","           1,408.4","              $12,998.05",        94,97.9,0.0,0.0,0.0,2.1,0.0,     406,5.0,1.2,,,,,,,,,,,105.0,     257,34.0,23.0,22.0,21.0,5.0,6.0,31.0,77.0,83.0,60.0,14.4,85.6,84.0,595.0,588.0
Manchester Essex Regional: Manchester Essex Regional Middle School,06980030,Public School,Manchester,MA,01944,"06,07,08",Manchester Essex Regional,06980000,Public School District,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,,,,,,"      $6,864,319","  $65,940",    104.1,"          $16,633,613.42","           1,365.2","              $12,184.01","          $18,306,453.36","           1,408.4","              $12,998.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Essex Regional: Manchester Memorial Elementary,06980010,Public School,Manchester,MA,01944,"PK,K,01,02,03,04,05",Manchester Essex Regional,06980000,Public School District,,      52,      58,      57,      66,      71,      68,      70,,,,,,,0.0,     442,       2,   0.5,       1,   0.2,      55,  12.4, , , , ,   0.0,   0.9,   0.0,  98.4,   0.0,   0.0,   0.7,  48.4,  51.6,30.5,98.7,     174,84.5,  14.5 to 1,"      $6,864,319","  $65,940",    104.1,"          $16,633,613.42","           1,365.2","              $12,184.01","          $18,306,453.36","           1,408.4","              $12,998.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield: Everett W Robinson,01670007,Public School,Mansfield,MA,02048,"K,01,02",Mansfield,01670000,Public School District,,     317,     342,     371,,,,,,,,,,,0.0,"   1,030",      23,   2.2,       7,   0.7,     135,  13.1, , , , ,   2.3,   3.1,   2.8,  89.0,   0.1,   0.1,   2.5,  53.0,  47.0,57.8,100.0,     290,100.0,  17.8 to 1,"     $19,566,189","  $60,576",    323.0,"          $43,489,720.79","           4,904.9","               $8,866.59","          $46,882,186.79","           5,070.3","               $9,246.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield: Harold L Qualters Middle,01670035,Public School,Mansfield,MA,02048,"06,07,08",Mansfield,01670000,Public School District,,,,,,,,     409,     396,     411,,,,,0.0,"   1,216",      36,   3.0,       7,   0.6,     254,  20.9, , , , ,   2.8,   2.7,   0.9,  92.2,   0.1,   0.2,   1.2,  52.0,  48.0,82.1,85.5,     311,91.3,  14.8 to 1,"     $19,566,189","  $60,576",    323.0,"          $43,489,720.79","           4,904.9","               $8,866.59","          $46,882,186.79","           5,070.3","               $9,246.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield: Jordan/Jackson Elementary,01670014,Public School,Mansfield,MA,02048,"03,04,05",Mansfield,01670000,Public School District,,,,,     370,     367,     380,,,,,,,,0.0,"   1,117",      32,   2.9,       8,   0.7,     190,  17.0, , , , ,   1.4,   3.0,   1.4,  92.4,   0.8,   0.3,   0.7,  51.2,  48.8,76.8,96.1,     518,99.0,  14.5 to 1,"     $19,566,189","  $60,576",    323.0,"          $43,489,720.79","           4,904.9","               $8,866.59","          $46,882,186.79","           5,070.3","               $9,246.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield: Mansfield High,01670505,Public School,Mansfield,MA,02048,"09,10,11,12",Mansfield,01670000,Public School District,,,,,,,,,,,     375,     368,     339,     331,1.0,"   1,414",       5,   0.4,       3,   0.2,     248,  17.5, , , , ,   3.5,   1.3,   1.8,  92.4,   0.1,   0.1,   0.8,  53.3,  46.7,98.7,86.9,     249,97.2,  14.3 to 1,"     $19,566,189","  $60,576",    323.0,"          $43,489,720.79","           4,904.9","               $8,866.59","          $46,882,186.79","           5,070.3","               $9,246.43",       346,94.8,1.7,0.0,0.9,2.3,0.3,"   1,413",11.0,0.8,,,,,,,,,,,159.0,     254,87.0,53.0,15.0,4.0,0.0,11.0,29.0,56.0,77.0,81.0,15.7,84.3,281.0,526.0,546.0
Mansfield: Roland Green School,01670003,Public School,Mansfield,MA,02048,PK,Mansfield,01670000,Public School District,     110,,,,,,,,,,,,,,0.0,     110,       0,   0.0,       0,   0.0,      59,  53.6, , , , ,   0.0,   3.6,   0.0,  96.4,   0.0,   0.0,   0.0,  59.1,  40.9,8.0,87.5,      35,100.0,  13.8 to 1,"     $19,566,189","  $60,576",    323.0,"          $43,489,720.79","           4,904.9","               $8,866.59","          $46,882,186.79","           5,070.3","               $9,246.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map Academy Charter School (District): Map Academy Charter School,35170505,Charter School,Plymouth,MA,02360,"09,10,11,12",Map Academy Charter School (District),35170000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marblehead: Glover,01680020,Public School,Marblehead,MA,01945,"PK,K,01,02,03",Marblehead,01680000,Public School District,,      44,      63,      44,     100,,,,,,,,,,0.0,     251,      13,   5.2,       0,   0.0,      16,   6.4, , , , ,   0.4,   1.2,   1.2,  96.8,   0.0,   0.0,   0.4,  56.6,  43.4,16.3,100.0,      65,100.0,  15.4 to 1,"     $13,564,618","  $57,477",    236.0,"          $35,330,178.69","           3,248.6","              $10,875.51","          $37,336,694.19","           3,353.8","              $11,132.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marblehead: Lucretia and Joseph Brown School,01680030,Public School,Marblehead,MA,01945,"PK,K,01,02,03",Marblehead,01680000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,564,618","  $57,477",    236.0,"          $35,330,178.69","           3,248.6","              $10,875.51","          $37,336,694.19","           3,353.8","              $11,132.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marblehead: Marblehead High,01680505,Public School,Marblehead,MA,01945,"09,10,11,12",Marblehead,01680000,Public School District,,,,,,,,,,,     266,     255,     222,     235,0.0,     978,      45,   4.6,       8,   0.8,     186,  19.0, , , , ,   4.5,   1.2,   2.4,  91.6,   0.0,   0.2,   0.1,  48.4,  51.6,74.8,93.6,     330,81.2,  13.1 to 1,"     $13,564,618","  $57,477",    236.0,"          $35,330,178.69","           3,248.6","              $10,875.51","          $37,336,694.19","           3,353.8","              $11,132.65",       245,92.2,0.8,0.8,0.4,5.7,0.0,     978,43.0,4.4,,,,,,,,,,,157.0,     208,115.0,34.0,7.0,1.0,0.0,15.0,24.0,75.0,59.0,35.0,18.8,81.3,211.0,546.0,552.0
Marblehead: Marblehead Veterans Middle School,01680300,Public School,Marblehead,MA,01945,"07,08",Marblehead,01680000,Public School District,,,,,,,,,     219,     239,,,,,0.0,     458,      26,   5.7,      13,   2.8,      79,  17.2, , , , ,   3.1,   1.5,   1.7,  93.4,   0.0,   0.0,   0.2,  54.1,  45.9,37.8,97.4,     144,96.5,  12.1 to 1,"     $13,564,618","  $57,477",    236.0,"          $35,330,178.69","           3,248.6","              $10,875.51","          $37,336,694.19","           3,353.8","              $11,132.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marblehead: Village School,01680016,Public School,Marblehead,MA,01945,"04,05,06",Marblehead,01680000,Public School District,,,,,,     248,     219,     240,,,,,,,0.0,     707,      29,   4.1,       3,   0.4,     106,  15.0, , , , ,   1.6,   2.0,   2.3,  94.2,   0.0,   0.0,   0.0,  50.6,  49.4,50.8,94.1,     171,97.1,  13.9 to 1,"     $13,564,618","  $57,477",    236.0,"          $35,330,178.69","           3,248.6","              $10,875.51","          $37,336,694.19","           3,353.8","              $11,132.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marblehead Community Charter Public (District): Marblehead Community Charter Public School,04640305,Charter School,Marblehead,MA,01945,"04,05,06,07,08",Marblehead Community Charter Public (District),04640000,Charter District,,,,,,      39,      50,      38,      33,      32,,,,,0.0,     192,       1,   0.5,       0,   0.0,      33,  17.2, , , , ,   0.5,   0.5,   4.2,  93.2,   0.0,   1.0,   0.5,  55.2,  44.8,20.5,80.5,      68,100.0,   9.3 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion: Sippican,01690005,Public School,Marion,MA,02738,"PK,K,01,02,03,04,05,06",Marion,01690000,Public School District,      22,      48,      66,      70,      48,      47,      67,      67,,,,,,,0.0,     435,       1,   0.2,       1,   0.2,      67,  15.4, , , , ,   2.1,   1.4,   0.9,  94.0,   0.0,   0.0,   1.6,  46.9,  53.1,33.9,97.0,     115,100.0,  12.9 to 1,"      $2,285,301","  $67,215",     34.0,"           $5,076,276.46",             437.4,"              $11,605.57","           $5,517,412.96",             440.7,"              $12,519.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough: 1 LT Charles W. Whitcomb School,01700045,Public School,Marlborough,MA,01752,"06,07,08",Marlborough,01700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $21,385,119","  $59,902",    357.0,"          $56,169,844.68","           4,582.0","              $12,258.81","          $66,363,821.79","           4,936.4","              $13,443.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough: Charles Jaworek School,01700030,Public School,Marlborough,MA,01752,"K,01,02,03,04,05",Marlborough,01700000,Public School District,,     124,     167,     133,     137,,,,,,,,,,0.0,     561,     177,  31.6,     106,  18.9,      93,  16.6, , , , ,   2.3,   3.2,  29.4,  63.8,   0.0,   0.0,   1.2,  49.0,  51.0,41.1,95.1,     205,95.1,  13.6 to 1,"     $21,385,119","  $59,902",    357.0,"          $56,169,844.68","           4,582.0","              $12,258.81","          $66,363,821.79","           4,936.4","              $13,443.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
